X,x,classifi
1,@patrickhealynyt @christiknight Be a much more interesting race if Trump v Sanders. Polar opposites. Hillary is Trump like.,positive
2,@TheCieloFuego I like that Cruz is now linking Trump to Hillary. Making them one in the same.,negative
3,"RT @ryanlcooper: Hillary Clinton’s AIPAC Speech Was a Symphony of Craven, Delusional Pandering https://t.co/ClCOCuO13F by @michelleinbklyn",negative
4,RT @JosieMagee: ,
5,"RT @nicktjacob: Trump: ""Hillary, you're terrible.""
Hillary: ""Then why'd you donate so much $$ to me?""

Boom. Over. https://t.co/LgPHHDhGKN",negative
6,RT @YvetteDC: She should've released a flock of hawks to fly overhead as she spoke.... https://t.co/ik8Ha5G70L,negative
7,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald Trump: Mr. Arpaio, th... https://t.co/3PM4hwMGFD",negative
8,Hillary Clinton and Donald Trump Vow to Protect Israel but Differ on Means https://t.co/5B33OUN7mv ,
9,RT @ImWithHillary: Hillary as she arrives at ,
10,"RT @GuyCodes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/n02sn0mNJq",positive
11,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
12,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald Trump: Mr. Arpaio, th... https://t.co/o2OWXPFCt2",negative
14,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald Trump: Mr. Arpaio, th... https://t.co/wnz9y4kAjt",positive
15,"RT @Ricky_Vaughn99: Hysterical millennials make a lot of noise, but there aren't enough of them to defeat Trump. They hate Hillary anyways.",negative
16,"RT @ConsiderThis1: My favorite was Hillary, Where was my opponent when I was working for healthcare in 93? @CaseyCat2007 https://t.co/cof2u…",positive
19,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
20,"Gov. Kate Brown endorses Hillary Clinton for president | News, Weather, Sports, Breaking News @Shoq #Oregon  https://t.co/Cz05B07h5W",positive
21,@elongreen @ICUDrEd @reedfrich fair enough but you said Hillary was running a horrible campaign,negative
22,if you vote Hillary you dumb af,negative
23,RT @ReaganCoalition: Bombshell Audio Leaked: Hillary Clinton’s Plan to Take Away Your Guns https://t.co/gDgnAFUmL5,negative
24,RT @cnni: Opinion: Why the haters should wake up and stop abusing ,negative
25,"Ep. 92 - Hillary Is Anti-Israel, Obama Is Pro-Cuba, Is Anybody Pro-Ameri... https://t.co/jV68iulkMB via @BenShapiro",positive
26,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
27,"RT @cshirky: When Sanders finds out black people live ALL OVER the US, he'll be bummed https://t.co/34gyaNtRul #OhioIsntDeepSouth https://t…",negative
28,"$20 says it'll be a gotcha/ inquisition on CNN 4 Hillary, meanwhile most of the others have no clue but won't be called out on that.",negative
29,"If Cruz is the nominee, the Senate goes Democrat guaranteed and maybe the house. Oh, and Hillary wins in a landslide https://t.co/LjvXYzdrxa",positive
31,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald Trump: Mr. Arpaio, th... https://t.co/z7cpWE8TFp",positive
32,@sydney2m I bet Hillary's would explode! Ewwwwww,negative
33,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
36,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
37,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald Trump: Mr. Arpaio, th... https://t.co/zNyP6NQosw",positive
40,"RT @lisabailey2014: Hillary Clinton Lands in Texas, Goes DIRECTLY to Muslim Fund-Raiser, Collects $500,000 https://t.co/V49dzUWgaE https://…",positive
41,@GovJVentura Voting for Hillary is voting for bush - https://t.co/4PTDw3vPbd,negative
43,"RT @politicalmiller: Gov Brown: Hillary ""aims to break down the barriers that hold working families back"" Amen! #ImWithHer #ShesWithUs http…",positive
44,"RT @Newsweek: Hillary Clinton slams Donald Trump at AIPAC: ""We need steady hands"" in the White House https://t.co/tfpoon0B9a https://t.co/G…",positive
45,"@SarahEMcBride #MedicareMermaids, Pro Hillary Webseries! 6 Episodes all for Hillary! 

PILOT
https://t.co/cgynDdOqhi",positive
46,"RT @ShowUp4Bernie: #StillSanders #Hillary 

Liberal media is stupid to blackout Bernie

Conservative media is genius to blackout Bernie htt…",negative
47,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
48,"RT @itsGirICode: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/5KXV45PFb0",positive
49,RT @wikileaks: Clinton email reveals that Hillary worked with Google CEOs to keep ,negative
50,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",positive
51,"RT @CNNPolitics: Ted Cruz: ""Trump's foreign policy is the Obama-Hillary leading from behind"" https://t.co/MdHAi0ZKvb #FinalFive https://t.c…",positive
