Primary.specialty,Gender,count,tot,percent
ADDICTION MEDICINE,F,22,165,13.33
ADDICTION MEDICINE,M,143,165,86.67
ALLERGY/IMMUNOLOGY,F,1029,3043,33.82
ALLERGY/IMMUNOLOGY,M,2014,3043,66.18
ANESTHESIOLOGY,F,7976,32358,24.65
ANESTHESIOLOGY,M,24382,32358,75.35
AUDIOLOGIST,F,4712,5699,82.68
AUDIOLOGIST,M,987,5699,17.32
CARDIAC ELECTROPHYSIOLOGY,F,139,1515,9.17
CARDIAC ELECTROPHYSIOLOGY,M,1376,1515,90.83
CARDIAC SURGERY,F,70,1383,5.06
CARDIAC SURGERY,M,1313,1383,94.94
CARDIOVASCULAR DISEASE (CARDIOLOGY),F,2453,18061,13.58
CARDIOVASCULAR DISEASE (CARDIOLOGY),M,15608,18061,86.42
MIDWIFE,F,2424,2450,98.94
MIDWIFE,M,26,2450,1.06
CHIROPRACTIC,F,8261,36426,22.68
CHIROPRACTIC,M,28165,36426,77.32
NURSE,F,1836,1948,94.25
NURSE,M,112,1948,5.75
CLINICAL PSYCHOLOGIST,F,12655,22223,56.95
CLINICAL PSYCHOLOGIST,M,9568,22223,43.05
CLINICAL SOCIAL WORKER,F,23325,29411,79.31
CLINICAL SOCIAL WORKER,M,6086,29411,20.69
COLORECTAL SURGERY (PROCTOLOGY),F,253,1186,21.33
COLORECTAL SURGERY (PROCTOLOGY),M,933,1186,78.67
CRITICAL CARE (INTENSIVISTS),F,686,2761,24.85
CRITICAL CARE (INTENSIVISTS),M,2075,2761,75.15
DERMATOLOGY,F,4453,9746,45.69
DERMATOLOGY,M,5293,9746,54.31
DIAGNOSTIC RADIOLOGY,F,5870,25626,22.91
DIAGNOSTIC RADIOLOGY,M,19756,25626,77.09
EMERGENCY MEDICINE,F,3663,14919,24.55
EMERGENCY MEDICINE,M,11256,14919,75.45
ENDOCRINOLOGY,F,2285,4793,47.67
ENDOCRINOLOGY,M,2508,4793,52.33
FAMILY PRACTICE,F,28747,74219,38.73
FAMILY PRACTICE,M,45472,74219,61.27
GASTROENTEROLOGY,F,1896,11235,16.88
GASTROENTEROLOGY,M,9339,11235,83.12
GENERAL PRACTICE,F,1320,5215,25.31
GENERAL PRACTICE,M,3895,5215,74.69
GENERAL SURGERY,F,3375,17866,18.89
GENERAL SURGERY,M,14491,17866,81.11
GERIATRIC MEDICINE,F,728,1487,48.96
GERIATRIC MEDICINE,M,759,1487,51.04
GERIATRIC PSYCHIATRY,F,76,173,43.93
GERIATRIC PSYCHIATRY,M,97,173,56.07
GYNECOLOGICAL ONCOLOGY,F,354,846,41.84
GYNECOLOGICAL ONCOLOGY,M,492,846,58.16
HAND SURGERY,F,130,1178,11.04
HAND SURGERY,M,1048,1178,88.96
HEMATOLOGY,F,217,671,32.34
HEMATOLOGY,M,454,671,67.66
HEMATOLOGY/ONCOLOGY,F,2330,7291,31.96
HEMATOLOGY/ONCOLOGY,M,4961,7291,68.04
