"","NA.","experience","Primary.specialty","grads"
"1","1",0,"ALLERGY/IMMUNOLOGY",1
"2","2",0,"ANESTHESIOLOGY",19
"3","3",0,"ANESTHESIOLOGY ASSISTANT",103
"4","4",0,"AUDIOLOGIST",129
"5","5",0,"CARDIAC ELECTROPHYSIOLOGY",1
"6","6",0,"CARDIAC SURGERY",1
"7","7",0,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",4
"8","8",0,"CERTIFIED NURSE MIDWIFE",27
"9","9",0,"CERTIFIED REGISTERED NURSE ANESTHETIST",726
"10","10",0,"CHIROPRACTIC",129
"11","11",0,"CLINICAL NURSE SPECIALIST",15
"12","12",0,"CLINICAL PSYCHOLOGIST",3
"13","13",0,"CLINICAL SOCIAL WORKER",16
"14","14",0,"COLORECTAL SURGERY (PROCTOLOGY)",1
"15","15",0,"CRITICAL CARE (INTENSIVISTS)",1
"16","16",0,"DERMATOLOGY",4
"17","17",0,"DIAGNOSTIC RADIOLOGY",1
"18","18",0,"EMERGENCY MEDICINE",1
"19","19",0,"ENDOCRINOLOGY",1
"20","20",0,"FAMILY PRACTICE",31
"21","21",0,"GASTROENTEROLOGY",3
"22","22",0,"GENERAL PRACTICE",2
"23","23",0,"GENERAL SURGERY",3
"24","24",0,"GYNECOLOGICAL ONCOLOGY",1
"25","25",0,"HEMATOLOGY/ONCOLOGY",4
"26","26",0,"INFECTIOUS DISEASE",1
"27","27",0,"INTERNAL MEDICINE",44
"28","28",0,"MAXILLOFACIAL SURGERY",2
"29","29",0,"NEPHROLOGY",2
"30","30",0,"NEUROLOGY",2
"31","31",0,"NEUROSURGERY",2
"32","32",0,"NURSE PRACTITIONER",2260
"33","33",0,"OBSTETRICS/GYNECOLOGY",26
"34","34",0,"OCCUPATIONAL THERAPY",48
"35","35",0,"OPHTHALMOLOGY",8
"36","36",0,"OPTOMETRY",322
"37","37",0,"ORAL SURGERY (DENTIST ONLY)",6
"38","38",0,"ORTHOPEDIC SURGERY",5
"39","39",0,"OSTEOPATHIC MANIPULATIVE MEDICINE",1
"40","40",0,"OTOLARYNGOLOGY",8
"41","41",0,"PAIN MANAGEMENT",2
"42","42",0,"PATHOLOGY",1
"43","43",0,"PEDIATRIC MEDICINE",4
"44","44",0,"PHYSICAL MEDICINE AND REHABILITATION",8
"45","45",0,"PHYSICAL THERAPY",1265
"46","46",0,"PHYSICIAN ASSISTANT",8
"47","47",0,"PLASTIC AND RECONSTRUCTIVE SURGERY",1
"48","48",0,"PODIATRY",12
"49","49",0,"PSYCHIATRY",5
"50","50",0,"PULMONARY DISEASE",3
"51","51",0,"RADIATION ONCOLOGY",2
"52","52",0,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",10
"53","53",0,"RHEUMATOLOGY",2
"54","54",0,"SPEECH LANGUAGE PATHOLOGIST",11
"55","55",0,"UROLOGY",4
"56","56",0,"VASCULAR SURGERY",1
"57","57",1,"ANESTHESIOLOGY",22
"58","58",1,"ANESTHESIOLOGY ASSISTANT",163
"59","59",1,"AUDIOLOGIST",203
"60","60",1,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",6
"61","61",1,"CERTIFIED NURSE MIDWIFE",132
