"","Specialty","Number"
"1","INTERNAL MEDICINE",85074
"2","NURSING",74874
"3","PHYSICAL THERAPY",39088
"4","CHIROPRACTOR",36426
"5","ANESTHESIOLOGY",32358
"6","OBSTETRICS/GYNECOLOGY",26862
"7","OPTOMETRY",26497
"8","DIAGNOSTIC RADIOLOGY",25626
"9","PSYCHIATRY",42319
"10","ORTHOPEDIC SURGERY",19020
"11","CARDIOLOGY",18061
"12","GEN. SURGERY",17866
"13","OPHTHALMOLOGY",15157
"14","EMERGENCY MEDICINE",14919
"15","PODIATRY",12397
"16","NEUROLOGY",12239
"17","GASTROENTEROLOGY",11235
"18","PATHOLOGY",10041
"19","DERMATOLOGY",9746
"20","PULMONARY DISEASE",8427
"21","UROLOGY",7942
"22","OTOLARYNGOLOGY",7932
"23","HEMATOLOGY/ONCOLOGY",7291
"24","NEPHROLOGY",7185
"25","PEDIATRIC MEDICINE",6891
"26","PHYSICAL MEDICINE AND REHABILITATION",6398
"27","AUDIOLOGIST",5699
"28","GENERAL PRACTICE",5215
"29","ENDOCRINOLOGY",4793
"30","INFECTIOUS DISEASE",4788
"31","OCCUPATIONAL THERAPY",4662
"32","PLASTIC AND RECONSTRUCTIVE SURGERY",4089
"33","NEUROSURGERY",4087
"34","RHEUMATOLOGY",3921
"35","RADIATION ONCOLOGY",3866
"36","ALLERGY/IMMUNOLOGY",3043
"37","CRITICAL CARE (INTENSIVISTS)",2761
"38","MEDICAL ONCOLOGY",2689
"39","VASCULAR SURGERY",2664
"40","REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",2579
"41","CERTIFIED NURSE MIDWIFE",2450
"42","INTERVENTIONAL CARDIOLOGY",1992
"43","THORACIC SURGERY",1976
"44","CLINICAL NURSE SPECIALIST",1948
"45","PAIN MANAGEMENT",1694
"46","ORAL SURGERY (DENTIST ONLY)",1594
"47","CARDIAC ELECTROPHYSIOLOGY",1515
"48","GERIATRIC MEDICINE",1487
"49","ANESTHESIOLOGY ASSISTANT",1459
"50","INTERVENTIONAL PAIN MANAGEMENT",1449
"51","SPEECH LANGUAGE PATHOLOGIST",1394
"52","CARDIAC SURGERY",1383
"53","PHYSICIAN ASSISTANT",1336
"54","INTERVENTIONAL RADIOLOGY",1227
"55","COLORECTAL SURGERY (PROCTOLOGY)",1186
"56","HAND SURGERY",1178
"57","MAXILLOFACIAL SURGERY",978
"58","GYNECOLOGICAL ONCOLOGY",846
"59","SPORTS MEDICINE",813
"60","SURGICAL ONCOLOGY",767
"61","HOSPICE/PALLIATIVE CARE",744
"62","HEMATOLOGY",671
"63","OSTEOPATHIC MANIPULATIVE MEDICINE",535
"64","NUCLEAR MEDICINE",459
"65","PREVENTATIVE MEDICINE",426
"66","UNDEFINED PHYSICIAN TYPE (SPECIFY)",298
"67","SLEEP LABORATORY/MEDICINE",256
"68","GERIATRIC PSYCHIATRY",173
"69","ADDICTION MEDICINE",165
"70","NEUROPSYCHIATRY",96
"71","PERIPHERAL VASCULAR DISEASE",59
"72","UNDEFINED NON-PHYSICIAN TYPE (SPECIFY)",8
"73","SINGLE OR MULTISPECIALTY CLINIC OR GROUP PRACTICE",4
