"","X","user","review"
"5",4,"Nada Shams","Not my cup of tea. Yet another writer writing 560 pages on what could have been covered in 300; paying off debts..."
"7",6,"Mira","Okay... I only finished the first two chapters of this book, but I have no desire at this time to go further... and I love Dostoyevsky! So, go figure. But honestly, I can't see what made him write this (extremely long) novel! I don't find murderers interesting, nor do I believe in redemption of them. Maybe I'll try again later... there could be something beyond the first two chapters that makes this novel worth reading! "
"8",7,"Oma Eagle","I have 1960 edition - this cover"
"10",9,"Marsha","Couldn't get through it....too dark!"
"11",10,"Dave Gold","In my effort to read the best classic fiction, I read this book around 2001 or so. I have to say, of the books on that list, I felt this was the worst. The plot is simple, and in this day and age, is very dated. The characters argue with each other endlessly and monotonously, which is 95% of the book, plot being the remaining 5%. I cannot understand why this is considered to be such a classic; I do not recommend it unless you feel like being tortured and bored. It was a chore to read it."
"12",11,"Nadia","Hard work!"
"15",14,"Annie Grigg","They say an author reveals himself in his work. It could not be more true than with this book. You get a very clear depiction of not only the author's opinion and experiences but his state of mind and state of mind in the past. That being said, while it was a very intellectual read which I usually enjoy, this seemed long winded and drawn out. What could have been said in three sentences took up a page and a half which I found aggravating. I often had to reread parts to make sure I caught everything. "
"16",15,"emily","Can someone who loved this book explain it to me? I felt like it was so long, so verbose, and so pedantic. It felt like a school assignment to me, getting through it. Yes, it was a musing on guilt, and I got the basic moral dilemma. But it wasn't enjoyable, and I felt like it could have been, I don't know, 350 pages shorter. Still ... I finished. CHECK! UPDATE: Just heard on NPR today (timely), that Dostoevsky was likely suffering from something called hypergraphia, which is mental disorder resulting in the overwhelming urge to write. That explains a lot. (FYI, other authors associated with hypergraphia include: Byron, Dante, Moliere, Petrarch, Poe, and Tennyson)."
"24",23,"Meg Kumm","The story of Crime and Punishment is good. The plot keeps the reader engaged and the motifs present throughout the novel are interesting. However, there is a lot of extra material that enables the book to drag on and on. While the story is good, the reading of Crime and Punishment is slow and at times, boring."
"26",25,"Epicbookaddict","Wow…The story is dark to be sure as are most that delve into moral dilemmas, mental anguish and the like. There were times (very, very far into the book) that I 'felt' for Rodion and wished I could crawl into the pages and help him along his way. I am glad that I read the book as I found the story intriguing and thought provoking; however you must commit yourself to finish this book if you start it. For me I was more than half way through before it began to justify itself. Perhaps something is lost in translation…I don't know but there are SO MANY words and I'm a fan of words. "
"28",27,"Kailee Croft","This book left me feeling terrible inside. The twisted mind and terrible way about the antagonist was something to be felt. I found myself hoping, waiting, wanting him to get better, to feel happy. This book left me feeling rather depressed. And the names of the characters, don't even get me started. I couldn't tell you how to read them even if someone said them for me. The book did carry a lot of symbolism in it though, and that was appreciated. After i read it, i felt very empty inside, but also kind of satisfied as well, because justice always wins. I wouldn't really say this was a favorite book of mine, and it wasn't something i would tell a bunch of my friends to go read, but it had its good moments and if you like crime, depressing, hard names to read, and killing, then this book it all for you."
"29",28,"Kathi Smith","I'm sure this is a good book. I just can't get through it - I keep getting lost to the point where I finally had to give up."
"31",30,"Jennie De","Too depressing to finish..."
"33",32,"Ame Mahoney","This book took me about 12 attempts over 7 years to finally get through. And it still wasn't worth it. To this day, I don't remember much about it except that it was arduous and painful reading. "
"40",39,"Thomas","Crime and Punishment is an intriguing three-hundred page story muddled by the additional three-hundred pages comprising its length. What might otherwise prove a timeless meditation on the nature of guilt and its effect upon the human psyche, is constantly interrupted by its own characters’ diatribes and treatises (to say nothing of Dostoyevsky’s penchant for melodrama). These aforesaid passages nearly always prove awkward and out of place, like the date of an invited guest forcing small talk at a party full of strangers. Apparently Dostoyevsky felt his readers needed instruction on his every academic whim. The result is a novel far from deserving of the title masterpiece. That so many people say otherwise makes for an apt study of cognitive dissonance: perhaps people inflate C-and-P’s worth in order to rationalize the time it takes to finish reading it...Long story short, Dostoyevsky’s Crime and Punishment is a disjointed novel peopled by loquaciously insufferable characters, which – most frustrating of all – is still good enough to compel one to finish it! "
"44",43,"Eric Lin","Turn yourself in, or accept that you're the bad guy. The 400 pages of angst is unbecoming. Come on, man."
"45",44,"John Byrd","This book wasn't for me and I don't totally get the hype. It was too predictable and based on the morals/principles of aristocracy; Common man would not have acted in this way. Whereas Tolstoy's War and Peace presented his narrative from multiple viewpoints from all levels of society as well as dissenting views from same levels of society. Crime and Punishment just didn't get me to THINK in new ways.Also, the title character is presented as a sociopath initially, redemption from which would never occur in the form of confession. "
"47",46,"Chrissy","Tough read!"
"48",47,"Lisa Wellington","I read it because I thought I should. I travel to Russia for business sometimes and am on the look-out for interesting reads set in or about the country. This one was rather long and drawn out. I wanted to just watch the movie while doing some light housework or something like that."
"49",48,"Gauri Poswal","The topics discussed in the book are critical for the health and happiness of any society, as observed since ancient times and similar will be possible conclusions in foreseeable future. The book is definitely relevant. And there were many aspects of the protagonist's complex character that today's average citizen may relate with. The story itself had the few surprises that made it interesting. However, all this, together, could not sustain my undivided attention for any length of time. The book was not a page turner. But then again, I read the English version. Maybe a lot was lost in translation. "
