"","X","user","review"
"6",5,"Alissa Nelson","The advice is sound (it's all basically what you learn about trust building and change management in social work), but the writing is horrible and corny and so very very sexist in the edition I read. "
"26",25,"Peyman","با بعضي از مظالب اين كتاب مخالفم، ولي در كل كتاب خيلي خوبي هستش. چند سال پيش اين كتاب را خوانده بودم و با خواندن اين كتاب تحولات زيادي در خودم ايجاد كردم. "
"32",31,"Michael A","I read about half of this book before giving up (almost in disgust). I suspect I should not be all that surprised given the author's deliberate name change to try and associate himself with Andrew Carnegie in order to market himself and boost his own popularity. That should have been a huge red flag to begin with.This book is essential reading if you are a politician or salesman and necessarily have to stay on the good side of people most of the time. But I'm willing to bet that most of us don't fall into that kind of category and need more than the advice this book gives to get through our daily lives. Life is far too complex for a book like this to address in any substantive way in my opinion. Further, this book is fundamentally very dishonest in the way it works. It will take some time to explain, but I think it is worth it so that you at least know what you are getting into when you crack open this self-help tome.First, a lot of the advice in this book is perhaps age old wisdom from various sources. He does not hide this fact and still the book has sold millions of copies. I guess as a reading public we like being lectured in morality/manners because this book is no different than a series of Sunday sermons mostly on the same themes. Just to illustrate, here are the ""core"" bits of advice you'll find in the book:The Big Three: ""Don't criticize, condemn, or complain."" ""Give honest and sincere appreciation."" ""Arouse in the other person an eager want.""The Mid-Rank Six: ""Become genuinely interest in other people."" ""Smile."" ""Remember that a person's name is to that person the sweetest and most important sound in any language."" ""Be a good listener. Encourage others to talk about themselves."" ""Talk in terms of the other person's interests."" ""Make the other person feel important -- and do it sincerely.""The Lower-Class Twelve:""The only way to get the best of an argument is to avoid it.""""Show respect for the other person's opinions. Never say, ""You're wrong.""""""If you are wrong, admit it quickly and emphatically.""""Begin in a friendly way.""""Get the other person saying ""yes, yes"" immediately.""""Let the other person do a great deal of the talking.""""Let the other person feel that the idea is his or hers.""""Try honestly to see things from the other person's point of view.""""Be sympathetic with the other person's ideas and desires.""""Appeal to the nobler motives.""""Dramatize your ideas.""""Throw down a challenge.""9 Ways to Be a Leader:""Begin with praise and honest appreciation.""""Call attention to people's mistakes indirectly.""""Talk about your own mistakes before criticizing the other person.""""Ask questions instead of giving direct orders.""""Let the other person save face.""""Praise the slightest improvement and praise every improvement. Be ""hearty in your approbation and lavish in your praise.""""Give the other person a fine reputation to live up to.""""Use encouragement. Make the fault seem easy to correct.""""Make the other person happy about doing the thing you suggest.""Well, as much of a slog as that list might be, I just saved you from reading the book itself. The only thing you will find in the book not in this long comment is chapters that provide example after repetitive example of stories that exemplify those pieces of advice. Do you notice how some of these overlap or even mostly repeat themselves? Also, why are two or three stories based on famous people supposed to provide all the evidence we need to accept the advice? The man studied logic himself -- surely he knows about the fallacies of arguing based on tradition and based on ""authority figures."" It's not a good way to go about proving a point!Here's the thing, though, I recognize that a lot of this advice isn't bad to follow in public and I could be a better person, introspective cynic that I am at times, by taking such advice from time to time. When I am in the classroom, for example, I do try to practice a lot of these things and empathize with other students and colleagues because you do have to act in these ways sometimes to inspire or encourage in that setting. That's why I don't give it one star because it reminds me of that.That being said, I would find it very hard to be around people like this in my own personal life because the ideal person of this book, in Dale's imagination, is the social robot. This person would hardly speak, be far too polite, and be perhaps too attentive to the other person. Nor would this person really say much of consequence because he would be too busy not trying to rock the boat with you to really speak his or her mind. This is probably why I don't have many friends in the sense of this book's definition, but I'm okay with that. It would be a huge waste of time listening to folks I didn't really care for. I'm an introvert at heart and I don't like always being around other people.But I suppose my biggest beef with this book has to do with something entirely different-- here is yet another example of a writer/author not doing what he preaches. Why? This book is mostly filled with persuasion just to get you to take his point of view. Despite all those nice little bits of advice he tries to push, he about breaks every one of them based on his writing style. Here's a man who wants to lecture you, tell you how to act, tells you need to change and that you're wrong about your previous behavior, who doesn't respect your opinion, and so on. It's an odd thing to run into this so often in movies and books -- human beings really are self-centered I suppose. But, for a book that bases its content on being so respecting of other people, this author comes off as having about zero respect for the reader and THEN WANTS YOUR MONEY at the same time for the privilege of reading this book. Could this be any more patronizing?Bear in mind this is just my personal opinion and the book has obviously found an audience within the USA especially, but, if you read like me or think like me, I'd advise you to stay away from it -- and if you must read it, a simple way of doing so would simply be to take the key points from the summary above and putting it into a Word file or list for quick perusal. "
"63",62,"Douglas Echenique Zambrano ","Un libro dedicado a como ganar amigos e influir sobre la gente, o como ser pasivo y dejarte montar la pata por los demás, desde mi punto de vista el libro tiene muchos errores porque hay cosas en la vida que uno puede pasar, obviar, o no hacer nada para cambiarlos pero no puedes tomar un rol pasivo y dejar que todo el mundo te pisotee"
"67",66,"Denise Hogan","Basically good messages, though somewhat simplistic at times. I often felt that the suggestions to ""win friends and influence people"" were manipulative behaviors, worthy of a salesperson trying to make that sale. The author did remind me several times that sincere desire to want to make connections with people is needed, thereby counteracting the intention of manipulation. Since it was written in 1936, the language is somewhat quaint. For me, this made it more entertaining. I've always heard about this book and glad that I finally got around to reading it."
"86",85,"Rawan Al-Wazzan","Though I'm not a fan of self-help books, I decided to give this one a shot. Kinda wish I didn't!The author didn't present any new ideas -or in this case, tips. There weren't any 'aha moments' which I expected to find abundantly. I have to admit, I was a bit disappointed especially after reading all the book's positive reviews.Hope it serves its purpose to other readers even though it didn't with me. "
"120",119,"Rachel Gopal","I did not read the entire book nor was it my intention to. This was an assignment for philosophy where the task was to summarize, criticize and decide if the book was philosophically ethical (which it is not!).However, I did read the main points and all the tips of the book and it did not give bad advice. If your actual intention is to ""win friends and influence people"" it may not be of any help, but the tips are useful in terms of improving your social skills. "
"122",121,"Ashley Johnson","This book was very redundant and went over the same stuff over and over just kind of wording it differently. There were a million and one examples to back up the principles which was kind of annoying. I will say some of this stuff made sense, but I feel like it was also common sense. This would probably benefit someone who really struggles with positive social skills. I'm sure it could be a real gem for them! "
"132",131,"Luke Langley","Art of manliness listed. The book gives decent but obvious advice. It is long winded in telling simple points. Draws a fine line between 'influencing' and 'manipulating' people, but I think Carnegie was sincere in his efforts. "
"144",143,"Nizar Ch","ce livre dans quelques chapitres ne nous apprend pas à nous faire des amis mais plutôt à devenir des apprentis hypocrites et des lèche-bottes professionnels "
"170",169,"Virginia Varland","I want to appreciate this book for some of the timeless truths that it delivers but as a whole it just feels to fake, patronizing, and simplified for me to like."
"177",176,"Jeanny","Throughout the book I felt a sense of enragement and conflict. While Carnegie sets out to deliver the ultimate ""how-to"" guide in relationship building, he, in essence, draws a crippling image of humanity denouncing us all for being shallow, self-absorbed and judgmental. It's sad that we need to be taught to be human, and that genuine curiosity and compassion is twisted into manipulation."
"179",178,"Michael Greenwell","I enjoyed the anecdotes that season Dale Carnegie's How to Win Friends Influence People, they have a folksy charm from another era. However, I really wonder whether this book is that valuable. The anecdotes, however charming, have dated considerably, and often strike me as rather selfish despite the books continued claim that the suggested sentiments must ""come from the heart"". The principles that are put forward seem reasonable enough, but the book simply lays them out with only anecdotes to support them, which leaves me with little faith in the practical value of such sweeping suggestions."
"192",191,"Vegard Pettersen","TL;DR Read the summary of points on wiki instead, here: https://en.wikipedia.org/wiki/How_to_...The book is a bit outdated, and starts with the premise that if you show attention to others they will like you.It's superficial in that it does not address the differences between politeness and genuine friendships, it is way to wordy, and it struggles with trying to establish how actual relationships would be expected to form from politeness, as opposed to merely a set of aquaintances.Stopped reading at page 64, may get back to finishing it at some point when I am bored, as it has its good points and tidbits, but not enough to way up for its tediousness."
"222",221,"Marija Jure","I have read this book loooong ago and didn't enjoy. But some new people appeared in my surrounding who praised it so much that I decided to give another try after years. Book seemed soooo damn primitive, I had to put a lot of efforts to finish it. I didn't feel like I learned anything new when reading it first time and neither reading this time.The only reason I give this book two stars is because I understand it could be useful for: 1) salesmen (yes, definitely) 2) people who aren't familiar with any basic concepts of human communication.Otherwise it is only for those who want to exploit the friendship for the sake of any kind of gain.My own socialisation success probably comes just intuitively from the basics of education that I received from my family: be nice, thoughtful, considerate, supportive, educated and interesting person that You could have interesting conversations. Most important – genuine, if You want to have likeminded people around You. I can talk quite a lot because I got pretty dominant temper but still for me is important to be a good listener, so I am doing my best to be conscious and observe when people want to talk themselves. One doesn't have to agree on everything and all the time to have real friends, that's for sure! And don't forget that there's nothing more beautiful than a genuinely smiling face."
