"","X","user","review"
"4",3,"Julie M","This book was boring and a terrible story. The descriptions were great, but that's about all."
"5",4,"Tim Weakley","I have to divide this review in two.Firstly, I have to say that I was biased against this book before I even began because of the subject matter. There is just no way in which you can paint this material as uplifting, or mind broadening, or anything positive that I can think of. Yet it continues to make the various lists of ""great works"". I am not narrow minded...mostly ;) This book however is beyond the bounds of endurance for me. It was difficult to complete.Secondly, I have to look at the bones and blood of the book. Did the author accomplish what he set out to do? Did the work affect me? Yes on both counts. The writing, with the exception of the supposed conflict at the end of the book, I thought was very well done. The combat at the end actually had me laughing because it seemed so silly. Maybe there was supposed to be tension, I'm not sure, but it really hit me as funny.Also...let's not pretend that this is a love story. This entire thing is about control, and mental illness on the part of Humbert and Dolores. He keeps telling himself that he is in love. He doesn't even know what love is. He's fixated on a child that he has turned into a possession. The climactic struggle of the work occurs when some other mental defective manages to steal his toy. His world unravels because he is finally forced to see that it was false and based on this playhouse that he had built around the young girl.I'm not going to go into the perverse mindset required to see a child as a sexual object. The work provokes reactions and strong opinion so in that respect I would say that it is a successful book. Could I have done without reading it? Yes truthfully. Is it a ""great"" work? I think the race of man can aspire to much better things than reading about the thoughts of rapists and pedophiles. It's not great. At most I think history will see it as a curiosity. "
"6",5,"floowee","I have to say one thing... It was hard to finish!! Probably because I read the Indonesian translation. There were to many confusing words and the plot didn't seem coherence one to another. It took me quite a time to finally finish it. Despite all the difficulties, the final chapter was a real enlightenment. It revealed nearly all of my questions for the whole story. And indeed, it is a twisted piece as the rumour said it. I can't give a good rating for it, since I don't like the translated version, but someday, I might read the English version and like it more. "
"7",6,"Maddie Holden","It's hard for me to classify this as a book I've ""read"" when I could hardly even make it over halfway through. I'm sure that any positive reviews about this book are in regards to the lovely writing style, the seemingly heart-wrenching quality of a forbidden love, or the overall popularity of this book. To me, this book is so famous because of one reason: it is terribly controversial. I'm not sure how many people can stomach reading the tale of a middle aged man preying on a pre-teen girl - his step-daughter no less! What some may see as romantic reports of trying to fight the odds to have a happily ever after, I see as the obsession and possession of a young child by an insane and creepy man of a father's age. This book is more criminal than enjoyable. It's horrid, disturbing, and down-right pedophiliac. I would suggest against reading this if you're looking for a truly enjoyable book that won't put your mind at unease."
"12",11,"Reza","Yeah, I thought this book was okay. It hooked me in with the first two paragraphs, and then slowly became a struggle to read. I found him to be long-winded and pretentious. In short, I was bored the majority way through."
"13",12,"Hawra Alq","I honestly thought the book was over rated by my friends who made it sound so good. The author's writing was so confusing at times that i was literally dragging through each chapter hoping for it to get better. "
"15",14,"Pinkyivan","Overall I'd describe it as a good insight into a twisted mind, much like A Scaner Darkly or The Gambler, but even as that it doesn't offer that much. It has more complex language than the two, in fact the writing is what made me interested in it. If it had a more standard writing I probably wouldn't have finished it.It is a good read, but somehow I feel it has not earned the praise it is so often given. In terms of content it is not on the level of other classics and in terms of aesthetics Proust, Poe and heck even Dostoyevsky do a better job (if you got the right translation of course).All in all the best thing about this book is the influance it had on Gene Wolfe so I'm very glad that it exists."
"16",15,"Farida","Apa bangeet -______- "
"20",19,"Martin Fallon","Thoroughly disappointing "
"21",20,"Valla","Mi aspettavo di più.Per me è stato il classico libro che finisci e non puoi dire altro che :""Mah"""
