"","X","user","review"
"22",21,"André","What carnegie is saying is that your communication does have an effect on the other side. You cannot not communicate. If you want to sincerely be an asshole to other people, be it. But be ready for an likewise reaction. Carnegie emphasizes our creative part in any relationship. As you sow, so you shall reap. Period. You always manipulate other people, but be aware of the ambiguity of the word ""manipulation"" !Manipulation itself is neither good nor bad, it just means that you are influencing, that you are creating.People who accept their responsibility (their power of their response[-bility]) Can use communication as an uplifting process to create beautiful and appreciative relationships. In my humble opinion that is what I interpret in the message of Carnegie: You alway influence others, but how will you ? with construcitve or destructive words, acts and thoughts ?In communication not only what is said , but hwo it is received is important.Acting involves the part of pretending. But that very point makes the difference. If you pretend to be appreciative and interested in the other person, people will recognize, because your actions are incongruent. The difference between sincere and insincere appreciation etc. is that you are convinced that you do create relationships. Yes, sometimes you feel lets say angry because of the other person, and acting all nice whilst being angry is such an incongruent behaviour. But Carnegie never said anything like ""pretend to be appreciative while not"" he said : Be sincerely appreciative, that means in thought, word, feeling and deed.But the book is not free of criticism. I do not like that caregie calls his book a manual to win friends, but by nature it is rather a guide to be a good salesperson. That is one point of big misunderstanding Carnegie is evoking. Because in his examples people almost always want to make money or profit. But that's not what friendships and family are about. Yet his overstressing of sale could lead the reader to that false premise.Also Carnegie is missing to emphasize certain most important points, that a crucial to any functioning relationship, like telling all that is important to know, or that I di have a choice with whom I spend my time. The examples he's giving are shaped by people you wouldn't necessarily chose as friends, but are related in terms of work to you in some way. I think of it as good to be able to handle those people he's showing as an example, but I'd never chose as freinds.Would you chose someone as a friend who talks of himself, but shows no real interest in you ? I wouldn't. But I also wouldn't mind to sell someone like that something.2 Stars because Carnegie meshed up business relations with friendships.That book is meant to handle people, not to gain and enjoy friends."
"28",27,"Evelyn Marinoff","Dale Carnegie offers helpful guidelines on how to connect with others. Seemingly intuitive, the steps he offers are powerful tools for everyone who wants to succeed in their personal and professional life."
"74",73,"abu alya Makruf rahmat","good aja"
"87",86,"Navin","This is a sad book. A book that aims to turn us into manipulating individuals who would want to achieve their means through flattery and other verbal-mental tricks. Even technically, it seems to me that the ploys' in this book would never really work. Here is a quote from the book - “Don't be afraid of enemies who attack you. Be afraid of the friends who flatter you.” And what does the book do? It tries, or at least pretends to turn you into a someone who would flatter everything that moves – so that you get - WHAT YOU WANT. Most of us read so that we are inspired, moved, even shocked or atleast entertained by stories. We also read so that we understand better and stretch the possibilities of our minds and hearts, to be better human beings. We definitely do not read to become conniving ugly creatures to be held prisoners by our greed. And come on get a grip – this is essentially a sales book. "
"88",87,"Jordan","Read Quiet instead. Even if you're an extrovert. "
"92",91,"Joy Prior","mmm... I recognize the literary significance of this book as a novel publication for self help books that I believe changed literature. on that note I found much of the information biased and it struck me as a book written by a man for men similar to how I believe Twilight was written by a women for women. The audiance was very specific and part of me wanted to stand up and scream, ""if you do not know this basic information about people you need more than a self-help book to help you learn this."" some of the information was good but I was slightly disturbed by how the author emphasized the selfishness of kindness"
"115",114,"Bethany Beachum","When it comes to offering keen psychological insights into interpersonal relations, Dale Carnegie's got it down. His underlying motivations, however, are entirely wrong, in my opinion. This book is aimed at salespeople, and thus seeks to influence people as a way of manipulation or gain. It also ends with a particularly enlightening passage on advice to husbands and wives which highlights the deeply sexist culture of the 1930's in the United States."
"164",163,"Nicolai","awful maniupative shyte"
"166",165,"Robert Oswald","I did not mean to add this book and can not figure out how to remove it from ""the shelf"". Fuck."
"175",174,"Micaela","It's ridiculous. Most of it is just common sense on how to be a decent human being all while shadowed with tricks for blatant, shameless manipulation. It is outdated and just plain stupid in my opinion. Run around being a fake and a fraud and you are basically following the rules this book sets. The sexism was not appreciated either. I read a few parts back when I was 11, it was a gift from my mother (haha) since I wasn't too sure of how to make friends, however I quickly noticed it was meant for 'older' people; it simply felt useless to me aside from the common sense stuff. 7 years later, I picked it up again out of curiosity and it turned out to be just plain laughable. Badly written, bad advice, overall questionable ideas. Nah."
"215",214,"Robyn Peterson","I found this book full of common sense advice that I do every day already. I'm glad people are finding this book useful still after all this time, I just wish I had learned something from it."
"242",241,"Rúben","This is a dangerous book in my opinion and the proposed 'techniques' can be mischievously used by people without principles. It is inconsistent since it claims that the proposed 'techniques' promote friendship, which might be true (if well used), but then offers several examples of how you can use them to trick others to your benefit. There are many other good, modern self-help books that have upgraded Dale Carnegie's work."
"254",253,"Andy Norris","Spoiler alert: As a sentient being you should probably already know everything in this book. The existence of this book makes me both sad and angry. Sad that it has to exist, and angry that people will say this ""changed their lives."" That there are that many people who need lessons in empathy is startling. And many of those folks are using -- probably faked -- empathy as a tool to sell shit."
"265",264,"Lauren Cook","This book is just so outdated! The advice was comical."
"267",266,"Doug","Forced to take a Dale Carnegie class. This book was presented as true stories but was obviously apocryphal stories made up to illustrate whatever point he was trying to make. The other managers where I worked all had to take the class and there was a lot of lip service paid to what a great class it was, but I noticed that nobody changed the way they dealt with people."
"271",270,"Steve Whiting","One of the all-time classics of self-improvement texts. It's pretty dated now, and some of the examples now seem quaint and unlikely to succeed, but there is still some good advice in there on how to get along with people. On the other hand, I felt some of the techniques strayed well into the territory of manipulation or gamesmanship, and despite his earllier protestations of avoiding flattery seemed to be remarkably similar to applying ample amounts of insincere flannel. It's also extraordinarily long-winded, and stuffed to the gunwhales with anecdotes about people with improbable names."
"285",284,"Alexandra","I mean it's great if you are into capitalism and being a white man. "
"325",324,"Velika","This book needs some major updating. I wanna know how to handle a bitchy co-worker who doesn't admit their wrong....not how Abe Lincoln drafted a letter about how angry he was he didn't win the war. Get with the times and include modern situations including social media and the workplace. Very disappointed and a waste of time. This book is going in my donation pile."
"370",369,"Lourenço Ceia","5% knowledge 95% bored stories"
"386",385,"Huyền Trang","Cuốn sách mình ghét nhất, ghét từ nội dung đến cách người ta ca tụng nóChỉ là dạy cách khai thác tình bạn để phục vụ cho lợi ích của bản thân."
"388",387,"David Peterson Mendoza","the book is too much of story than theory to the point that you just loosing your interest to the book I'm sorry to the writer too much introduction "
"398",397,"Josh","Should be titled how to manipulate people and get what you want from them. This book teaches you how to see people as a means to an end, rather than an end unto themselves."
"442",441,"Chiara","Put this down and read more poetry."
"463",462,"Bhaamati","This book is sexist. Racist. With anecdotes that are hopelessly misconstrued to make Carnegie's point. For Blatant Evidence of Sexism Please Read the Following Passages:""Every man knows that he can jolly his wife into doing anything, and doing without anything. He knows that if he hands her a few cheap compliments about what a wonderful manager she is, and how she helps him, she will squeeze every nickel. Every man knows that if he tells his wife how beautiful and lovely she looks in her last year's dress, she wouldn't trade it for the latest Paris importation. Every man knows that he can kiss his wife's eyes shut until she will be blind as a bat, and that he has only to give her a warm smack on the lips to make her dumb as an oyster.""""For Wives 1. Do you give your husband complete freedom in his business affairs, and do you refrain from criticizing his associates, his choice of a secretary, or the hours he keeps? 2. Do you try your best to make your home interesting and attractive? 3. Do you vary the household menu so that he never quite knows what to expect when he sits down to the table? 4. Do you have an intelligent grasp of your husband's business so you can discuss it with him helpfully? 5. Can you meet financial reverses bravely, cheerfully, without criticizing your husband for his mistakes or comparing him unfavourably with more successful men? 6. Do you make a special effort to get along amiably with his mother or other relatives? 7. Do you dress with an eye for your husband's likes and dislikes in colour and style? 8. Do you compromise little differences of opinion in the interest of harmony? 9. Do you make an effort to learn games your husband likes, so you can share his leisure hours? 10. Do you keep track of the day's news, the new books, and new ideas, so you can hold your husband's intellectual interest?"" "
"465",464,"Michael Stein","This book is completely overrated. It is not about making true friends. It is about how to be obsequious and smarm people. Sucking up to somebody because of what they may do for you is not making a friend."
"467",466,"Yaaresse","Or ""How to be a Complete Slimeball and Annoy People Who Will Learn to Avoid You Like the Plague."" I think I was in junior high when this thing appeared in a bag of used books given to us by someone who was moving. I read it out of boredom and realized it contained every oily, insincere, disingenuous tactic I'd observed people use when they wanted to pull one over on someone else. This is the guy we blame for Ziglar, Hopkins, Sandler--all the ""manipulate people for fun and profit"" guys. To this day, I detest these kinds of tactics and anyone who tries them on me is pretty much looking to be shown the door in an ungentle manner. "
"490",489,"Alberto","Do not read it if you have a grandfather who you can talk to from time to time."
"510",509,"Lorrie","I can't believe that this man had so much success telling people how to be kind to others... It made me sad that so many people had to be instructed to do what I would think should come natural... "
"536",535,"Martin","Junk."
"574",573,"Mary Evans","Just awful. Reading this book is like watching tv with someone else who holds the remote and keeps changing the channel."
"648",647,"Thomas Schrepfer","Does. Not. Work."
"679",678,"C. Adam Volle","It's one paragraph's worth of great advice you can probably find summarized on the web, evenly distributed across 300-plus pages of testimonials and suggestions you attend the company's classes."
"686",685,"Georgi Danov","useful only as a window to peek into the world of the cynical superficially friendly people that exploit the human ego weaknesses."
"689",688,"Carolyn","I was initially going to rate this book 2 stars, or in my rating system ""few redeeming qualities."" While there are a few tips on positive phrasing, what I learned from this book was that white dudes with money and authority can influence people if they're nice to them. Women, people of colour, poor people, etc are already socialized to appear ""nice"" and subordinate and to compromise, and people still don't take them seriously. The mythology throughout the book of the poor man bootstrapping his way up the ladder is just that: mythology. These tips don't help break down the systematic disrespect that comes with racism, sexism or classism.Then the last section on marriage is a product of its time: ragingly sexist advice for middle-class 1950s housewives. The last section negatively countered any usefulness in the first section. I ended by rating it 1 star, or in my rating system ""wasted my time."""
