"","X","user","review"
"1",0,"Samara Smith","It was an ok book. An easy read considering I finished it one day. I'm not sure if it was the fact that I had to read it for school, but it just wasn't my cup of tea."
"2",1,"Shameka","I honestly don't even know what to rate this book. It greatly disturbed me and what's even more upsetting is that this book is marketed towards children. In The Giver, the author creates a world that is seemingly perfect. The children are well behaved, people are kind to one another, families sit down at dinner together every night to discuss their ""feelings"", and everyone has a task/job that they perform that contributes to the overall growth and progress of society. But this world is also marred by atrocities such as population control (each family is only allowed two children), euthanasia, and the ""release"" of the weak and troublesome. The people cannot choose anything for themselves including their spouse, their profession, or even their own children's names. At first I thought the author was setting it up to ultimately reveal that these viewpoints are wrong and that controlling every aspect of a person's life from the time they are born until they are ""released"" is not only unnatural but also immoral. But in my opinion that never really happened. I mean there are parts of the book where young Jonas and The Giver weigh some of these atrocities and come to the conclusion that they may be necessary. For example in one conversation Jonas decides that population control is not completely bad because it prevents food shortage which in turn prevents anyone from ever having to endure the pain of being hungry. Really...I guess one can reach the conclusion that the author did ultimately convey that living in this world is undesirable by (view spoiler)[having The Giver plot Jonas' escape (hide spoiler)] but man do you have to dig deep to come to that conclusion. It seemed to me that the book was more focused on how much these people were missing out on by not having memories and choice rather than on the complete immorality of having a world even remotely resembling the one created in this book.After reading this book I want to know what was your point Ms. Lowry. I mean what exactly did you want me to walk away from this book with. Because quite frankly all I was left feeling was disgust and confusion.And I don't know why some people claim that this is a Christian themed book. It is not!"
"3",2,"Val","No Margaret Atwood"
"4",3,"Mathias","Dear Reader,If you have not read this book let me tell you a litle bit about it. This book is very good but the subject is not the best. This book has a community were they do everything. The main character is Jonas a boy who in the book at the end is 12 years old. He is very matture like all the othter boys his age. In this book theyre are many characters and also the community took all the feelings away from them. They do not feel anything. In this book the climax is that Jonas runs away and they are looking for him. He runs away and takes a baby named Gabriel goes with him. Jonas takes care of him and he is a very good big brother to him. At the end of the book he sees a house in wich they are playing music and then the book stops. Sicerely,MathiasP.S Check out my rating you may see what I really think."
"5",4,"Jim","the worst book to be given a newbery"
"6",5,"Brenna McGovern","This book was awful. My 7th grade English class had read this book in early 2011. I did not enjoy it. The characters in the book are living as robots and it was confusing and hard to relate at all to this book or its characters.The Giver is a children's novel by Lois Lowry. It is set in a society which is at first presented as a utopian society and gradually appears more and more dystopian. The novel follows a boy named Jonas through the twelfth year of his life. The society has eliminated pain and strife by converting to ""Sameness,"" a plan that has also eradicated emotional depth from their lives. Jonas is selected to inherit the position of ""Receiver of Memory,"" the person who stores all the past memories of the time before Sameness, in case they are ever needed to aid in decisions that others lack the experience to make. When Jonas meets the previous receiver—The ""Giver""—he is confused in many ways. Additionally, the Giver is able to break some rules, such as turning off the speaker that listens to peoples' conversations in their homes, and lying to people of the community. As Jonas receives the memories from the Giver, he discovers the power of knowledge. The people in his community are happy because they do not know of a better life, and the knowledge of what they are missing out on could create major chaos. He faces a dilemma: Should he stay with the community and the safe, consistent but shallow life it offers, or should he run away in pursuit of a life full of love, color, choices, and knowledge, but also potentially full of danger?"
"7",6,"Sonjia","I had to read this for school. I didn't like it."
"8",7,"Evy Ry","I liked the whole idea and barely got lost in the plot. But it was all happening to fast. The end was vary confusing when they went down the hill. I think she could have explained it a bit more clear, and why did she just leave it at that? Vary irritating."
"9",8,"Betsy","This book is probably in the top ten worst books I have ever read. The story didn't even make sense. The book had little background and I had to force myself to finish it, due to being a school assignment. An extreme disappointment. So if you're thinking of reading this book, don't even go there..."
"10",9,"♥ Kaneshaa  Gorgeouss ♥","The Giver was about a boy named Jonas living in a community that was different from the usual community people live in now a days. Their community was known to be a "" Utopia "" which means perfect world. They were pretty much like robots. They did the samething everyday. The community was controlled by people called Elders who made the decision. Jonas was just turning 12 and the tradition of the community was that when you reached the age of 12 you were considered adults. They had to do adult things like get a job and be responsible for the own selfs. I did not like this book, it was really boring to me and very confusing."
"11",10,"liTTleTalks","hated it. "
