,user,review
0,Leae,this was a creepy book for me because I see so much of it happening now that I have to make myself stop being anti-government and despondent. Just one big idea is the compressing of language until it is impossible to talk about anything thought provoking and then I see everybody texting and I realize that a group of letters strewn together is actually code for a whole sentence and I think Oh No! It's already happening!
1,Soad,"This book will always be a classic, no matter what generation reads it. Things in 1984 have not changed much and don't plan on changing any time soon. But the ending was difficult to understand, why does he love big brother? Why do we love oppression,domination is it in our nature??? There is this Iraqi saying البزون يحب خناغا I wonder if it applies here :))"
2,Aya Yehia,"""في كل مكان ودائما ,, لا مهرب لك ,, انت لا تملك سوى السنتيمترات المكعبة داخل جمجمتك """"ان جوهر حكم القلة ليس وراثة الابن لأبيه, انما هو استمرارية رؤية للعالم, وأسلوب حياة يفرضها الموتى على الأحياء, وتظل الفئة الحاكمة حاكمة, مادامت قادرة على تعيين خلفائها, لتخليد مبادئها""من اكتر الحاجات اللي أعجبت بيها ف الرواية دي , مش بس تصوير للحكومات الديكتاتورية , والقمع لدرجة مراقبة الأفكار,,مجرد الأفكار أياً كانت نوعها او توجهها .. انت تفكر اذن انت خائن وستموت!!تصوير الكاتب لأحساس الفرد بالمحاصرة فكل مكان,,فالشارع فالبيت فالصحو والمنام ,, خوفه من عاقبة مجرد تعبير غريب على الوجه قد يوحي بفكرة ,, حتى الروابط الأسرية والعلاقات البسيطةوفي النهاية ينتهي النضال,,لكن لا ينتهي بقيام الثورة أو انتفاضة العامة"" انتهى النضال , وها قد انتصرت على نفسي ,, وصرت أحب الأخ الكبير ""حقاً هذه رواية تقرأ, ثم تقرأ من جديد ..."
3,Abd Elrhman,"الى عجبنى فعلا هو انه عرف ينقلك احساس وينستون بأنه ""ما باليد حيله"", فى الأخر انت بتحس انك مغلوب, مفيش فايده, انت مش بس مغلوب, لأ انت كمان من جواك هتحبهم, بشاعة !, التعذيب الفكرى قبل البدنى, هو ده فعلا الصعب, انى أقنعك من جواك انك غلط, انى أقدر أغير أحساسك, ""That is betrayal"" زى ما جوليا قالتالمهم انه أسقاطاتها على الواقع فشيخة, انا لو كنت وزير تعليم, كنت درستها فى المدارس"
4,Leanna Wheatley,"Winston Smith wrestles with oppression in Oceania, a place where the Party examines human actions with ever-watchful Big Brother.Winston dares to express his thoughts in a diary and pursues a relationship with a woman.It's terrifying to think of a world in which your own children are spies for the government and can turn you in, where cameras are watching you 24/7.My mind did wander quite a bit while I was reading this book, thinking of the eerie possibilities, trying to find parallels between what I was reading and what I was observing in society. LOVED this book. I would recommend to any and everyone. So many interesting concepts. "
5,Annette,"Capolavoro, niente da aggiungere."
6,Yolanda Sfetsos,"This is a classic that I've been meaning to read for ages, so when I saw it on the Google Play Store, I grabbed it for my Galaxy Note. The year is 1984, the world is at war and Big Brother not only controls everything and everyone, but he can also see what everyone is doing. Every home and place of work has a telescreen which spits out propaganda, news, and can watch your every move.In this world, there is no privacy. There's no individual thought. There's only fear and hate. Children are horrid little spies, marriages are organised, and betrayal happens all the time. It's a barren society with no colour.It's also where Winston Smith's story takes place. He's in the Outer Party and works at the Ministry of Truth. He plays by the rules just like everyone else, but when he starts secretly writing in a journal his whole life changes. Now he's starting to think about things, he's starting to question why the past needs to be altered, and can actually remember instances of changes being made that he knows are false. He's also noticed Julia. When the two start seeing each other in secret, they both know they're breaking the rules and will eventually get caught. But neither one of them cares because Winston is falling in love with her, and has become obsessed with the rebellion... I kept hoping that Winston and Julia would just runaway and escape the Party, but of course they don't do that. This book is an amazing read! It's well written, hooked me in right away, has some pretty elaborate worldbuilding, and a narrator that you can really feel for. I have to admit that at one point the info got a bit much, but I soon forgot about that because of the devastating situation that followed. :(It's a sad story about a man who wants the world to be different but has to pretend he's compliant like everyone else. It's also a story about forbidden love and the strength of the human spirit. It's also about endurance and being pushed so far that breaking point becomes the only solution.It's one of the best books I've ever read, yet at the same time it saddened and angered me. It's depressing, and the ending tore me up inside because it's just so hopeless. But I have to admit that it's fitting, and certainly didn't go the way I expected.Yeah, I loved it. This is one of those books that leaves a lasting impression on you."
7,Ira Gagan,"""Книга-біль"". Історія людини, що готувалася стати мучеником, але в останню мить жахливий страх смерті стер усе прекрасне у душі. ""Те, що тут з вами відбувається - це назавжди.....Є такі речі, власні вчинки, від яких ніколи не одужаєш."" Книга сильна. Історія та її кінцівка настільки сильно вразять вашу пам'ять, що вам не знадобиться перечитувати її пізніше ще раз. Я, в крайньому випадку, не хочу."
8,Reza,"فاصله بین شروع خوندش با خریدنش حدودا یک ماه شد. هربار که از کتاب هایی که خیابون انقلاب تو پیاده رو ریخته شده بودند, رد میشدم این کتاب به چشمم میخورد و یک حسی بهم میگفت بخرش, یک حسی میگفت نه بیخیال فرصتش نیست و بعدا...ولی بالاخره به حس خریدن به حس بیخیالش غلبه کرد و گرفتمش....هیچ پیش زمینه ای هم ازش نداشتم. فقط اینرو میدونستم که جز اون ۱۰۰ کتابیه که باید خوندش و اینکه یه روز یکی از دوستام بهم گفته بود که کتاب خوبی بود ولی آخرش غمگین تموم میشه....تا اینکه خودم بالاخره خونذمش و لذت بردم از این شاهکار جورج ارول. کتاب جمله ها و پاراگراف های سیاسی نابی در مورد جنگ و سیاست و قدرت و... داره که میشه اونا رو نقل قول کرد و اینکه این جمله ها بعضی هاشون برای ما خیلی آشناست..انگار واسمون اتفاق افتادن یا دارن میوفتن...وینستون چرچیل در آن زمان(۱۹۴۸ که کتاب منتشر شد و دو سال بعد ارول از دنیا رفت) به پزشکش گفته بود که این کتاب را دو بار خوانده است.دوتا جمله ماندگار از کتاب：هدف از ایجاد فاصله طبقاتی در جامعه این است که نگذارند فقر و نادانی از بین برود, چرا که اگر فقرا دنبال سواد بروند و نادانی وجود نداشته باشد, اون وقت فقرا دیر یا زود متوجه میشدند که طبقه ممتاز بی جهت از امتیازات استفاده می کنند....تغییر سیاست در واقع اعتراف به ضعف است.."
9,Jamal El,رواية تقرأ لتقرأ من جديد، نقطة إلى السطر
