"","X","user","review"
"12",11,"Saroj Biswal","OVER-HYPED COMMONSENSE. What a waste of my time & money !!!!!! "
"18",17,"Radwa","من المفترض ان الكتاب ليس عن الحرب فقطو لكن عن الحياة بشكل عام .. لكنى بعد أول 50 صفحة حسيت أنى بقرأمذكرات قائد فى حرب .. ممكن انا مفهمتوشلكن حسيت بالملل نوعا ما"
"31",30,"Lorenz Chua","This book used a lot of hard vocabulary and sometimes was hard to understand. This book was only somewhat interesting because half of the time I was confused and couldn't get the full reading experience out of it."
"35",34,"Mark Papa","The rating reflects the terrible edition I read rather than the text. It wasn`t even this edition, but an Indian one with very poorly translated commentary published by Classic Library."
"36",35,"Leanne","Has a lot of quotable lines. The explanations by the translators were interesting."
"39",38,"Joseph Whitt","I don't know what I was expecting, but it wasn't this. For what it is, this book should be un-rateable. Sun Tzu provides his pubils with bulleted points of discussion organized throughout thirteen chapters of warfare topics. While at times it can be insightful, the bulk of the work feels ripe with zealous arrogance and is not without seemingly blatant contradiction. I do not pretend to understand the culture of the ancient Chinese, so this criticism is more directed at the concensus population who seem to admire the work as something to be studied. Take this book as a window into the life and times of the ancient Chinese warrior. Nothing more; nothing less."
"43",42,"Owen O'Neill","This is not a review of the book. That would be rather absurd. My rating is based on the place this book occupies, for (especially) American readers. There seems to be (or at least there was) this notion that reading The Art of War gave one insight into the ""Chinese way of War"" and the Chinese ""psyche"" or something. This is really not the case. The way we (Americans) view The Art of War and the way the Chinese view it (the PLA especially) are wide apart. It would take far too long explain this, so you may take my word for it or not, as you choose. However, the popularity of The Art of War among American readers has mostly to do with its appearance of ""accessibility"" to us. Its concepts appeal to our cultural views as to the way things ought to be done, veneered with a beguiling ""alieness"" that Clausewitz (and Jomini) lack. So quoting the The Art of War does (or once did) tend to get you trendy erudition points where Clausewitz just made you sound ""stuffy."" So read The Art of War for what it is worth. It is an interesting work. But I caution anyone against thinking they will learn much about Chinese thought on the subject by so doing."
"49",48,"Mientras Lees","De todos los mangas filosóficos que he leído hasta ahora (que son unos cuantos) ""El arte de la guerra"" es el que más me ha confundido y aburrido. Lo achaco a que soy un ignorante absoluto de la historia original en la que se basa el manga. De todas formas, creo que no está bien adaptado porque debería ser fácil de seguir tanto para gente que conoce a Sun Tzu como para quien no. "
"50",49,"Cagne","The translator writes in a difficult way, the intro was hard to get through. I liked the definition of order, courage and strength as weaknesses with an added element to balance them.I've heard recently Conan O'Brian talking about having had success by finding himself stuck in a situation without options so the part about incursions in enemy territory as a strong motivation resonated with it."
"51",50,"David Blaylock","The more I read classics that are must reads, the more I enjoy the stuff I pick out on my own."
"59",58,"Kucing","Standing on the defensive indicates insufficient strength.."
"69",68,"Wilhemina","It's better to read this in its original text. It's hard to appreciate the true meaning behind the original text in its translated form."
