,user,review
0,Karun,
1,Fikri Mahmud,
2,Paula Durgan,
3,Édý Siswäñtö,
4,Walaa,
5,Tawfiq Eshteiwi,
6,Leah,
7,Abdullah.khoudeer,
8,Amar Singh,
9,Annie Weldon,
10,Jonathan Sugriwo,
11,Hassan,
12,Belinda Ferguson,
13,Sahar Badiab,
14,Richard Musoni,
15,Naruto123,
16,David Lowell,
17,Arifrahmatillah,
18,Michal,
19,Eva Maresti,
20,Dlga,
21,Ayodeji,
22,Michelle Barron,
23,Donato Borrello,
24,Hellsbells91,
25,Sajith,
26,Marvin,
27,Dan,
28,Jw Mar,
29,Bonesandlove,
30,Jen Tucci,
31,Amina Mengashaki,
32,Asdfads,
33,Kainui,
34,Ehab Al obaidy,
35,Najla'a,
36,Erick Wollo,
37,A.Na,
38,Ayufidyah,
39,Mrleejl,
40,Ali Ali,
41,Ocd305,
42,Vicrot,
43,Ifsana Khan,
44,Karthick Rajendran,
45,Jennifer Trentman,
46,Amna Hijab,
47,Kayce Clendenen,
48,Aaine Siddiqui,
49,Jennifer Capets,
50,Deondre,
51,Fares Fares,
52,Nurul Ain,
53,George Norman,
54,Alejandro Rodriguez,
55,Nirupama,
56,David Torres,
57,Marwin88,
58,Melissa Kohler,
59,Pratik Kataria,
60,Ali Houssainy,
61,Tas,
62,Muhammad Affan,
63,Jade Heslin,"This is one of the most boring things I have ever read in my life. Before beginning this gruelling collection of anecdotes, I had never even heard of Nobel Prize winner Richard Feynman. I’m not very good at science, particularly physics, so this book was far too technical for me. I thought it was supposed to be lighthearted and funny. Instead, it was a collection of really dull, self-satisfied yarns with a common theme: how Feynman is so much better at everything than everybody else. Safecracking, painting, maths problems, fixing broken radios – whatever it is, Richard has done it, and not only has he done it but he has enjoyed rubbing his genius in the faces of those unfortunate enough to be around him. He’s a highly intelligent man, but he is also a self-aggrandising know-it-all prick who has little in the way of modesty. These stories often build up and build up, and you get the feeling that there is a punchline coming (there must be some sort of a pay-off for listening to this twit ramble on for pages), but it never comes. Twit? But how can somebody who has won such a prestigious award for his contribution to physics be considered a twit, Jade? Well, because he just is, okay? He has absolutely no idea about real things and real people. He has the social skills of a ball of lint, and most importantly – he doesn’t realise that he is boring. He is like the dullard that sits next to you on the train and witters on for hours about mundane, trivial nonsense, as though it is the most riveting tale you are ever likely to hear - all the while, completely oblivious to the fact that you are edging away slowly, yawning and looking out of the window. In his mind, he is enthralling.The one part of the story that he should be proud of – the winning of the Nobel Prize – he plays down and acts as though it was such a burden and an inconvenience to him. He is more interested in telling us about the time he learnt how to pick up girls than telling us of his wife’s death, which is mentioned only briefly as an aside.I actively dislike this man, and I hope to never have to hear another of his rip-roaring, side-splitting, thigh-slappingly hilarious anecdotes again."
64,Patrickshay,
65,Thibaut Normand,
66,Jaida,
67,Faramarzi,
68,Kathleen Koster,
69,Anna Mae,
70,Gd,
71,Lorelai,
72,Levit,
73,Kam En,
74,Jorge Arper,
75,Rasha,
76,Cesar,
77,Mauricio Garcia-mendez,
78,Basavaraj Kottur,
79,Sandy,
80,Ekaterina,
81,Erin Pike,
82,Tatiana,
83,Heba Serhan,
84,Scotty Wilson,
85,Lupse Oana,
86,Saly Arnett,
87,Domenico Capano,
88,Rhymz Worange,
89,Fahmida Habib,
90,Kaleb Walton,
91,Jordan Nowak,
92,Arda İsmail,
93,Jane,
94,Kareema Greenidge,
95,Bailey Shey,
96,Dua'a Sh,
97,Ahmad Novriza,
98,Fernando MGonzalez,
99,Red,
100,Mualim Muslim,
101,Richard Hearn,
102,Callie R.,
103,Zion,
104,Aline,
105,Tanisha Jarvis,
106,Sharon Williams,
107,Analou,
108,Awais,
109,Niakia Brown,
110,Joe Curves,
111,Tom Romspert,
112,valeh,
113,Shaimaa,
114,Jessica A Blaine,
115,Janei,
116,Valeria Pinuelas,
117,Francis,
118,Sally,
119,Janel,
120,Kururu,"I feel that Feynman's character is sort of a mythos or legend of science and physicists because he was so peculiar. From what I've noticed this peculiarity has transfigured into some demi-god aura or status.The book definitely helps substantiate that aura but it also cuts away from it. First off, we can tell that he is intensely curious, like all great scientists, and that leads to awkward situations. My favourite story, or rather factoid, is the one where he proves that urination doesn't use gravity by peeing whilst doing a handstand. But that curiosity also creates an unnecessary tension at times. Like when he was taking a stand by not giving receipts for his travel fees. He seemed like, at a lot of times in this book, childish and foolish, rebelling against the man for no real reason. I was stupefied that someone as smart as him couldn't see past himself for one second, but as the book illustrates at times, he remains very arrogant and pompous. Another character flaw that was quite evident was his apparent misogynistic attitude. There were several events littered throughout the book from that self-help ""all girls are whores"" to trolling waitresses that spelled it out.Finding character flaws in a book like this was the most interesting part of the read. That even though this book is part of geeklore and was written posthumously as a memoir, which you'd expect to laud him and his genius endlessly, he remains as human as ever."
121,David Huber,
122,Marty,
123,Beth Wolfe,
124,Jairo Abarca,
125,Gundowry Sarishna,
126,Azer Eldukali,
127,Briana Fisher cisna,
128,Mohammed,
129,Patti,
130,تمتمات أمل,
131,Jada Mone',
132,Amrit Anand,
133,Erica Hill,
134,Clay,
135,Arun,
136,Svetlin,
137,Parvaneh Jahani,
138,Amanda,
139,Alyssa,
