"","X","user","review"
"4",3,"AGC","Amazing book. Funny, interesting, intellectual, yet understandable. With the amount of interesting adventures and hobbies Feynman mastered during his life up to that point, it makes me wonder if professors actually do any work. But of course they do!Richard Feynman, physicist, professor, Manhattan Project-er, Nobel laureate, amongst many other prestigious titles, writes about his many shenanigans as he grew up that did not stop even until his professional adulthood. He portrays his sense of wonder, persistence (which is why he mastered so many things like cracking safes, painting, and playing the drums), and humor throughout the whole book as we get a glimpse inside the mind of one of the greatest scientists in human history.Just read it."
"5",4,"Penney Kolb","*smile*"
"9",8,"Graham Mumm","Amazing tales and insights from one of the greatest minds of the 20th century. Feynman is so down to earth, you can't help but admire his lifestyle and philosophy on everything he interacts with. A must read."
"11",10,"Vinci","What an incredible joy to read this book! His enthusiasm, humour, and curiousity jumps out vividly from the pages as if Feynman himself were telling you his story. I loved every chapter of it. "
"16",15,"Shirley","A classic. One of the first (auto)biographies I ever read (from my dad's book shelf), which may explain my ongoing fascination with Richard Feynman. "
"20",19,"Andrea ","Reading this book really feels like I'm having beers with Feynman himself. "
"21",20,"GC","I have to say, he is one of my favorite authors and probably one of my favorite thinkers. I like the way that his brain works and the way his mouth conveys thoughts directly. "
"23",22,"Toma","This is one of the best books that I've read lately. It's incredible to see how a Physics Nobel Prize Winner had such a curiosity and tried everything, from playing drums to painting. Funny & lots of life lessons to take away."
"25",24,"Richter","Loved this book. It´s an easy read and still full of insights. Feynman is pretty amazing, definitely recommended for everyone not just readers with interest in Physics."
"31",30,"Chrissy","This was one of those consistently solid books that built up to an even solider ending, so solid that it deserved a sustained slow clap, if only the author were still around to hear it.Feynman as a narrator is hilarious, intelligent, mischievous, adventurous, and-- perhaps most importantly-- honest. I get the strong impression that these are traits that would have described him as a human being, an artist, a scientist, a friend, and a musician as well. No matter what he tackled, he seemed to approach it with the same humble confidence, the same commitment to truth and discovery, the same self-deprecating nonchalance. From lock-picking to fluid physics, he was afraid neither of pretending that he knew more than he did, nor of admitting that he didn't know as much as he pretended. His devotion to inquisitiveness, to trying and questioning everything, led to a remarkably unique and influential life. An inspiration to scientists everywhere.I recently finished a biography of Paul Erdos which talked about Stanislaw Ulam's contributions at Los Alamos, and it was fascinating to tie it together with insight on the project from Feynman's perspective. All these phenomenally interesting minds! In one place! At one time! Knowing that such minds exist even today (as yet undiscovered, even!) gives me an eager anticipation for all the collaborations, explorations, and conversations I can look forward to as I move ahead in my field. The last chapter particularly spoke to me, as a student of psychology-- which Feynman describes, in his 1974 address, as ""cargo cult science"". I feel like I learned more about myself as a scientist than I did about Feynman in reading this book. And I learned a hell of a lot about Feynman. "
"35",34,"Sandy","Hilarious and fun to read!"
"36",35,"Ann Lepore","Both funny and informative. Feynman is a physicist who worked on the Manhattam project and won the Nobel Prize for his important contributions to quantum mechanics. The book contains various incidents from his life--tragic, interesting, and amusing."
"37",36,"Lori Pulichino","What a great life lived!! Can you imagine being in this physics class???? It would have been AMAZING! Great stories from a man who truly found the live in his work"
"39",38,"Mitch","First memoir read here, really really good likely because Richard Feynman is an easily idoliazble character. Loved Leighton's transcription decisions, did evoke a sense that Feynman was orating these stories, a favorite chapter/story: Meeeeeeeeeee! (might be the best titling, too, and the whole thing's title was fitting, as I'm sure they thought).Found the bits of math tricks and science wisdom delicious trivia, like to get the squares near 50 you subtract 100x the difference of the number from 50 squared and then add double the difference to that.Found Feynman's exploration of art wonderful and inspirational, brought back the drawing exercise of not looking at what you were drawing which I've heard before.His dabbling in music, both Brazil and drums, delighted as well. His attitude toward things like that inspires, right. He exploited pretention and laziness nicely, and he admits his mistakes too.Feynman is incredibly lucky at points, which might or might not be true, but makes a good story, so I was on the look-out for ""makes a good story"" twists, biases.Chapter notes:He Fixes Radios By Thinking!: Inventing his own math symbols and realizing it wasn't great for communicating to others. String Beans: Innovation is a very difficult thing in the real world, at least for him as a kid surrounded by adults. He read the Life of Leonardo.Who Stole the Door?: deaf&dumb dance anecdote, Latin or Italian?: Made me think of Life Is BeautifulAlways Trying to Escape: Fun experiment with dreaming, lucid dreaming, and the teacher's Charlie Brownish droning :)Meeeeeeeeeee!: Hypnotism recounting.A Map of the Cat: Why do you memorize muscles, or bunches of things you can look up?Mindreaders: Or, how they work.The Amateur Scientist: Nice anecdote with ants, ending with a way to get rid of ants humanely.Testing Bloodhounds: An investigation into the powers of human smell.Los Alamos from Below: Fun with censors, other issues with military bureaucracy, meeting Bohr (has the wonderful skill illustrated in Monster Minds), saw the bomb through truck windshield because UV light hurts, not brightness.Safecracker Meets Safecracker: Self explanatory.Uncle Same Does Not Want You: Psychological deficiency is good if the army's involved, sort of.The Dignified Professor: Brilliant ideas is, if people expect something of you, it's on them, not you, if you don't live up to it. You have no responsibility to their expectations. Playing with the plate led to his Nobel stuff, and he was playing for no reason!!!Any Questions?: ""Get out of my way, or I'll pee right through ya!""You Just Ask Them?: On disrespecting womenLucky Numbers: Number tricks!O Americano, Outra Vez!: Delightful story of frigideira playing, good distinction between science and not science, on memorizing definitions and encouraging experimentation (good for other fields too).An Offer You Must Refuse: On avoiding difficult decisions.Would You Solve the Dirac Equation?: Appreciating culture, not avoiding it (stay in the Japanese hotel!), Military phrasebooks are probably rude, Pais says publicity is a whore, Japanese has polite versions of verbs.The 7 Percent Solution: Try everything for yourself, be skeptical or don't listen to the experts.But Is It Art?: Good for a reread.Is Electricity Fire?: Dangers of interdisciplinary conventions, hate of pompous foolsJudging Books By Their Covers: Science, math textbooks get it mostly right, but aren't very good usually.Alfred Nobel's Other Mistake: It's the things nobody knows anything about that we can discuss: weather, social problems, psychology, international finance, and international relations, as added by the Japanese ambassador. Japan values education a lot.Bringing Culture to Physics: Mayan math!Found Out In Paris: Drumming, Ukonu, percussion ballet!Altered States: hallucinations, sensory deprivation tanks, resource for those things.Glad I spent some time with him, he also has videos explaining stuff in YouTube, like this one: http://www.youtube.com/watch?v=N1pIYI5JQLEMakes me smile to see that after I spent time with him."
