"","X","user","review"
"1",0,"Deozaan","I did not like this book. None of the characters were likeable."
"2",1,"Jason Dills","The most overrated book of all time. All the mysterious symbolism that everyone spouts off about doesn't change the fact that it is a terrible read. "
"3",2,"Alathea","terrible. I hated this book."
"5",4,"Chanice","Absolutely hated this book, I read it in high school maybe my hate is because I read it in high school as an assignment but I hated it lol I can't stress that enough"
"6",5,"Karl Pendlebury","It seems unfair of me to review or rate this book since I only managed to get to page 2 before wanting to rip my eyes out and shove them down the authors throat... With it being such a classic everybody raved about (and with the movie making it even bigger) I thought I'd give it a try... However after getting bored of every other word being too try hard descriptive I realised this book wasn't for me... The style of writing just doesn't sit comfortably with me...I'm sure it's a brilliant book for those who enjoy this type of thing, but I'll pass..."
"7",6,"Mujtaba Syed","If you want to bore yourself to death, read The Great Gatsby."
"8",7,"Esther Rigby","I was greatly disappointed in this book. I did not like it at all!"
"9",8,"Casey","It's not that the writing in this book is bad, Fitzgerald is a good writer. But for me I need to at least care about the characters a little bit, and I didn't even care about Gatsby himself. I honestly didn't sympathize with all these people running around, sleeping (or wanting to do so) with those they weren't espoused to. Unfortunately, I really despised this book. My favorite part was when it was over. No, I'm not saying I don't like it to seem cool, or because I didn't understand it; it just didn't catch me. I can understand where other people might like it though."
"10",9,"Alicia Beckmann Stearns","Erin. I second your review...other than I went 38 years without reading it and I want my few hours back."
"11",10,"Kay Barley","This book is about selfish people destroying themselves; and the fact that they all get what they deserve is the only good thing about it."
"12",11,"Quianruley","Hated it."
"13",12,"Natalia h","1 estrella por ahora porque me cargó y decidí no terminarlo. Voy a leer otra cosa por mientras y después volveré a este libro."
"14",13,"Elizabeth Loughridge","I understand a lot of people like this book, but I guess it's just not for me."
"16",15,"ablomof","به نظر من گتسبی بزرگ از نقطه نظر داستانی چیزی برای ارائه نداشت و با توجه به اینکه در زمان انتشار و مدتها بعد از آن مورد توجه قرار نگرفت اما اکنون دلیل توجه بیش از حد به این کتاب واقعا جای سوال دارد؟ "
"18",17,"Morten","Droppede den hurtigt. Sagde mig ikke noget. Ligesom filmen."
"20",19,"Thomas","I really can't stand this book, which is a shame since so many others love it. While I've thouroughly enjoyed reading and listening to analyses of Fitzgerald's most famous text, I found the language in the book to be dry and the plot to be less than interesting."
"21",20,"Kim Shears","I hated this book - maybe if I read it again now I would like it, but that probably isn't going to happen. "
"22",21,"Krish Domingo","What have I just read? I hated (loathed, even) about 90% of this book. Gatsby was weak. Daisy was a slut. Tom was a jerk. I liked Jordan a little. Nick was okay. But I can't, for the life of me, figure out how this book became one of the favorite books of all time. Maybe in a few years, I'm gonn try reading this again. But now, I'm not sure, I think its overrated."
"23",22,"Sandi","It may be a classic American novel, but I hate it! The rich and the self indulgent"
"24",23,"Austin Morris","The Great Gatsby was a long but good book. It starts out with Nick, looking to live the american dream. Nick moves to New York and ends up moving next door to a very rich man, named Jay Gatsby. Gatsby lives on one side of the bay and on the other side lives Gatsby's cousin, Daisy. Daisy is married to a buthole dude named Tom. From there this whole story unfolds with drama and suspense everywhere. this book is a well thought out novel. I wouldn't recommend this book to a young audience, because it was a bit confusing to read. I would recommend this book to a 13+ audience. This is a good book if you're looking for a jack of all genres type of book. I rate this a 7.74 out of 10."
"26",25,"Jeremiah Depta","A great piece of crap. Highly over rated. The paper should be used to insolate dog houses, providing you hate your dog."
"28",27,"André","If this is the seminal master piece of American literature, I'll stick with the Hollywood version. "
"30",29,"Leanne","Stupid. Waste of paper and ink."
"31",30,"Abigail Vaerten","I did not like this book one bit. Some people see it as a beautiful love story, but in my opinion this book is about a stalker who doesn't want to give up a girl that he has already lost. I guess I may have analyzed the book too much, but that was still my interpretation regardless. I was not a huge fan of this book. My opinion of this book did improve, however, after I saw the new movie. I felt that the movie complimented the book very well and it made me actually enjoy the story, I would recommend reading this book before you go see the movie, but I still do not think I would go around telling people to read this book just because."
