,user,review
0,John Nelson,"Wow! What a hell of a way to quit drinking, Rachel!I'm giving this a four stars. Not because the quality of the story deserves it (quite silly, childish and almost generic. More like a two stars). I'm giving it a four star because it was hella fun to read. It was exciting, in that high school drama sort of way. What a bunch of pathetic losers they all were. None of this would have happened if there was one responsible, emotionally mature person in the group. However I loved this in the same way I loved Braodchurch. Grim, lost...memories of better times and twists. Who cares if it's like Gone Girl. I never read it and I don't care too. This one is British :)Why I find even more hilarious is how the people who give this a one star write enormous reviews; about as long as the book. The way I see it: you're not fooling any one with long winded reviews. You read the damn book, and now you feel like you've cheated your sense of pretentious intellect by doing so. So you have to write an entire essay explaining why you think it sucks, and why you're so smart. Well, you seem stupid caring much. How about a ""fuck this book, this book sucks"" and leave it at that? "
1,Adrianne,"People have compared this book to Gone Girl... but I beg to differ.I give this 4 stars. It was quite good , It had so many twist and turns that I was not able to guess who the killer was until it got to that point. It's hard to say that it was a good thing because well, it's good that I and probably a lot of people were not able to guess the ending but it had so many twists that I felt like it was purposely overloaded with all of that junk to mask the revelation at the end which sometimes I felt was unnecessary. I love how she gave the 3 readers three voices that really helped paint a picture of what was happening and kept us on the loop as to what the other relevant characters where thinking, what happened on their side ,make us root and accuse one person based on what was currently happening in the story.The only similar thing about this and gone girl is this: Someone goes missing, someone will get blamed and the missing someone is a victim.. BUT not really.It did kept me intrigued and helped me out of my 2 year reading slump. I felt bad for the characters it felt dark but exciting. it's the kind of book that makes me want to grab my kindle every chance I got just to know what happens next. Overall I thought she still did a great job. Definitely worth reading. "
2,Annabel,"I really enjoyed this novel - a true thriller that had me gripped throughout. I appreciated all of the characters, and (despite what other reviewers say) they were believable and relatable. The plot and the protagonist were original and the narrative voice of Rachel really kept me engaged and kept the pace going. I loved the plot twist at the end (although I found the final couple of pages a bit anti-climactic).Any thriller fan will enjoy this - it hasn't got a ton of action but it is gripping and engaging. "
3,Leah,This is one of those books that I felt a little sad seeing end. I just know whatever comes on its heels will pale in comparison. 
4,The Just-About-Average Ms M,"I have no idea why I am bothering to leave a review for a book that already has more than 14,000 reviews on Amazon—surely enough folks have left their opinions by now so that mine is irrelevant. But still…First off, I wonder about the title, when the rider on the train left her girlhood behind her quite some time ago, and is now a thirtyish, pudgy, lank-haired and utterly forgettable and serious alcoholic. Perhaps “The Drunk on the Train” or even “The Woman on the Train” does not have the same resonance, and certainly loses the subliminal tie-in to “Gone Girl” that so many people have gone on and on about. So we have a girl on the train. Very well.Many reviews track the plot very thoroughly, so go read those for the storyline. I’m going to share my thoughts primarily about the characters, and then the story arc as a whole. For those of you in my august age group who remember Hitchcock’s “Rear Window,” and the much more youthful ones who saw “Disturbia,” I think you’ll agree that the characters in both movies who were such voyeurs and did some risky things were at least likeable, and we cheered for them to succeed against the bad guys. I did not like the characters in this book, none of them, female or male. I thought whatever they did to be supremely idiotic, and found myself hoping they would meet a Very Bad End…and soon. And yet, I kept reading, tapping those Kindle pages, one right after the other.Rachel’s appalling alcoholism, her weaknesses and bargain-basement self-esteem led to her riding the train in the first place to a job that no longer existed because of her drinking. She fantasized about a couple whose terrace she saw from her train window, and whose house was five doors down from the one she had shared with her ex-husband. Her life was the pits, so this couple must have everything she did not, and that everything must be perfect. Almost everything Rachel thought, everything she did from this point on was a frustrating mix of clichés, of stereotyping, of improbability, and just plain nuts. I wanted to slap her about every ten pages or so, jerk some sense into her, and simply not care when she backed herself into a dangerous corner.Megan the unhappy wife with a past—where have we met this character before, and how many times? She who was to be Rachel’s perfect substitute was not, and her story, which we get in installments, had not the slightest hint of novelty in it, and therefore not much of interest. I didn’t want to slap her for the predictable choices she made, but she did make me yawn quite a bit.Anna was the worst of the three—self-satisfied mistress to Rachel’s husband, and now his wife. She reproduced and became a boring, insufferable Earth Mother who drinks lattes, does Pilates, and whines a great deal. I loathed her, and wanted something dreadful to happen to her. Quickly.The less said about the two men—Tom, Rachel’s former husband and Anna’s present one, and Scott, Megan’s husband and Rachel’s Mr. Perfect—the better. Not only are they walking talking clichés but also the nearly fanatical focus of the three female protagonists. Even now, I fail to understand why. They were stupid, abusive, superficially charming, and as three-dimensional as cardboard. They did not improve one iota from first to last, in my opinion.So, in light of characters I thought were almost impossible to like, or for whom I couldn’t muster the slightest empathy, why did I bother? Why should you bother? Because in spite of the faults, the reckless actions, the out of character behavior, Anna’s incessant whining and Rachel’s non-stop drinking, and even the almost but not quite predictable denouement, I forgot all my irritations at the end…well, almost all. Somehow the book came together then, not particularly tidy, or necessarily conventional, but oddly in line with the generally messiness of the plot and its characters. At the end I cared about Rachel, and Anna, although I would still like to slap her. At the end I was glad I read the book, even as I cussed as I was reading it.Someone—or several someones, actually—said this is a good beach book, and it is. A good book for a rainy evening with a glass or two of wine, or a long commute, especially on a train. Certainly not great literature, or a great example of the genre, but worth the read, I believe. Sometimes it’s fun to talk back to characters."
5,Burak,Her şeye rağmen güzeldi. Sevdim gerçekten.
6,Jessica K," I gave it four stars because it was an original story and kept my attention. Like the main character, Rachel, I was an observer from the distance that got completely sucked into the lives of characters in this novel. Even though I wasn't enjoying the storyline and where it was taking me, I still had to keep reading to find out what happened. In my opinion, kudos to this debut author in creating a story that may not be an enjoyable read but still caused the reader to keep reading to get some resolution at the end.  I don't want to go into too much details on the plot- because this is a story in which a lot hangs on the details. Rachel, train rider and observer of life, spends her days speculating and creating a world with the people she views from the window of her carriage on the day. When she watches an altercation involving two individuals she watches on a daily basis- her imaginary world is shaken. It is completely turned upside down when she discovers one of the individuals has disappeared. The book is really the voices of three characters as Hawkins chronicles the events of a disappearance, alcoholism, fall out from divorce, adultery, and pure psychological angst.  It wasn't a favorite of mine. I think all the hype around it set the bar for my expectations. Overall, I would say give it a try so you can discuss with your friends who more than likely have also read it due to the hype. "
7,Trish,"Read for a book club. One heck of a ride. Every single character is a hot mess. I seriously had no one idea who had done what to whom until the end. By the end I was very glad for my calm, boring life. "
8,Bailey,Fantastically fun thriller - definitely check this one out when it's available.
9,Jayaram Vengayil,"For someone who enjoys peeking into others' lives, this book is a treat. By the time I got to the end, I was as exhausted and hungover as the protagonist. The author writes with the immediacy of a journalist and the diary format works very well for her. Telling the story in multiple first person form, makes for a mosaic of engrossing word pictures leading to a fitting climax. By the time you get to the end, you may wonder if the ride was worthwhile, but then do you really care as long as it was enjoyable?"
