"","X","user","review"
"1",0,"Mike Green","Not very impressed. The writing was good but the pointless story seemed to drag. I could only take so much paranoid drug induced social commentary before I lost interest."
"4",3,"Doug May","I read this during my college days when I was an aspiriing Gonzo journailist. I can not deny Hunter is a good writer and I appreciate that he was apolitical to some extent. He was actually an old school journalist we could use more of today. I can not see him fitting into an authoritarian culture under any circumstances which accounts for his rabid anti-sovietism that I appreciate. Given that I read it more than a quarter century ago I have a hard time judging how I might appreciate the writing by my standard today, however, I imagine I would still find it entertaining but the amoral attitude toward drug use and outright cheerleading for binge drinking would make the book too offputting to waste my time today. Sorry Hunter but there are too many serious works and too little time left for a middle aged man, or anyone for that matter to waste it on frivolity. Sorry for your end as well, it is sad but the path you chose was demarked from the beginning as leading toward destruction."
"7",6,"Rob Roy","If you ever had a hankering to look into the drug culture of the early 70's, this book is for you. The real value here is the comments on the demise of the 60's counter culture, but they are often loss in drug filled prose. This is a landmark book, but one that if you miss, well, oh well."
"15",14,"Sherry","Do not see what all the hoopla is about."
"16",15,"Fergus Ross","Had its bizarre and humorous moments in a sort-of Douglas Adams/Terry Gilliam style, but there wasn't much meat to the main thesis, nor did I find the story particularly gripping. Also they take a fuck load of drugs. "
"18",17,"Missyk","One of the members of my classics book club chose this as his selection (we decided to define ""classic"" as any book we feel we should have read, or was iconic in some way.) It was kind of funny and interesting, but I'm a little nauseous from the wild, drug-addled descriptions. I think I'm a bit hungover, actually."
"21",20,"Paulo Fernando","I like Hunter's writing in general. This was overboard. I read it because the movie looked insane and I hated the film. I figured the book had to be better. There are people who connect to this kind of stuff. I wonder what life is like inside their heads. Maybe I needed drugs to get it more. "
"23",22,"Honda","Few things are more boring than listening/reading about someone else's drug trip. I dunno how this Thompson made a whole book out of this. "
"29",28,"Frank Taranto","A wild semi-factual drug trip through Las Vegas in search of the American Dream?If the author and his ""attorney"" used drugs and alcohol half as much as described in this book, he has no right to complain about the failure of the 60's counterculture. Drug use as described here is one of the reasons for it's failure to produce more change."
"35",34,"Mandee Light","2.5 stars. I enjoyed the first half of the book, but as it went on I found myself bored. I felt indifferent towards Duke and I despised Dr. Gonzo. It got to the point where I finished the book just to be done with it. I didn't care about the outcome of the main characters. If Duke was a more likeable antihero, it would have greatly changed my feelings about the book."
"39",38,"Ian Gaynor-kirk","There's no real story here, it's ok with a little humour, but I wouldn't recommend it. It didn't hold my interest nearly as much as I thought it would.Disappointed."
"42",41,"Elaine","I just can't enjoy a book where the main character revels in being a complete asshole. But at least I can say I read it."
"47",46,"Brett Myer","An interesting read, but I think you have to have lived through the 60s and 70s to truly appreciate--or even fully understand--it. "
"52",51,"Sheri","So...I saw this movie when it came out with Johnny Depp in the nineties and I was in college and it was great fun (although admitedly I was not sober and don't remember it very clearly). I had never read it, but also heard it praised as having one of the best beginnings to a novel ever.And so, I was disappointed. Certainly it is slightly entertaining and there are some funny moments. But really, it's just one rambling high. Maybe I would have liked it more if I was not sober when I read it, but I doubt this. Raoul Duke is too paranoid, flightly, and generally distracted to be much of a narrator in my opinion. Dr Gonzo (his lawyer) is just an ass and overall I wasn't really smitten by either as main characters.Raoul needs to enjoy his high or just get over it; being so concerned with ""passing"" or getting caught just didn't seem like a good way to spend his high."
"56",55,"Georgi","Филмът ми хареса много и имах високи очаквания към книгата. Уви, много се насилвах, но не издържах..."
"70",69,"Rowdy Stilwell","Good for novelty value. That's about it."
"73",72,"Tracy Morton","Hmm...I don't get it. This is just drug fueled craziness."
"74",73,"Christie","Hunter S. Thompson speaks truth. But in a mixed up way. This book is a bit scatter-brained and doesn't particularly appeal to me apart from the style it's written in."
"76",75,"Dizzyk","I thought for sure I would love this book based on reviews but for some reason it was an effort for me to read. I really tried to understand what all the hype is about but I just didn't get it. It was definitely amusing though. Maybe some day I'll try again."
