"","X","user","review"
"2",1,"Christine Boyer","I only read this book because it was required in high school :)"
"3",2,"Aswin Astronomus","not for teens..."
"4",3,"Magdalena Rhinehart","I really wanted to get into this book, it's the third time I've attempted it, but it is just such a labour to read. Wasn't at all as interesting/thought provoking or well written as it's made out to be. I was bored from the start and gave up on it a few times. Really don't understand the hype. "
"6",5,"laura","it was pretty bad, i only got past 100 pages and i quit"
"7",6,"Parents","Read this in high school a hundred years ago. But it was pretty profound. I was very glad when we passed 1984 & our world wasn't anything like that."
"8",7,"Marie Comes","It wasn't really a good novel to read but was a good literature. . If you are searching for a book for pleasure, I beg of you to drop this book and read something else. "
"9",8,"Michael Philippone","I am so sorry. I just can't seem to get into this book. I've tried several times and I make it to about the 25% point only to realize I'm just not invested.Maybe I've been ruined by the more modern books that have grown from the Orwell classic or maybe I'm illiterate and stupid (as I'm no doubt sure all the readers of this review are already thinking). Whatever the case, I believe that for now, at this point in my life, it is not meant to be.I'm sorry Mr. Orwell, I promise I tried.Sincerely,Michael Philippone"
"10",9,"Karman","Many people had recommended this book to me but it was just depressing for me. The torture, the crimes everything.. Just depressing. People might like this book but I didn't. "
"13",12,"Bill Hamilton","I didn't like it in 1975 when I had to read it and all I could think about was the threat of the USSR. I liked it even less after 8 years of ""W"" playing Big Brother. In a world where the Holocaust has been revealed in photos and moving pictures, where the media supplies ongoing evidence of Orwellian societies in existence everywhere, I cannot enjoy reading a book detailing the horrors that are real. "
"14",13,"Markie Weber","hated it!! "
"15",14,"Alexander Bozidarow","не ми хареса!"
"17",16,"Whitley Johns","I didn't like the book 1984 for many reasons. A couple of reasons would be it was a little confusing to follow and I couldn't follow along like i normally do in others books. Another reason would be that it wasn't an interesting book to read full of adventure and mystery like most books have. Lastly, I felt like many parts of the book I was left wondering why that was even apart of the book or passage. Overall, not my favorite book and I wish the district had given us another book to read this summer.Genre: Utopia/dystopia"
"19",18,"Ash S. H.","Honestly?It's a slap in the face to any romance writers out there.But that's just me."
"20",19,"Cajsa","I couldn't even finish this book. I hated the beginning and there was no way I was going to put myself through more misery."
"21",20,"Kanisa Baker","Felt like I had to read this book out of obligation to the classics. But it's just too distressing and lacking in relevance. "
"22",21,"Ysabelle Orillos","Not really a fan of dystopian societies where everything is controlled and everyone is weak. I feel as though it just couldn't happen, especially with the audacity of today's people. 3/5 stars for being unrealistic, and plot lines that are simply difficult to follow. However, my intense dislike for this book may just be because I was forced to read it for my sophomore literature class. Who am I to judge George Orwell?"
"23",22,"Tishangela","A great warning in book form. However I did find it hard to keep reading all of the way through.... there were significant portions where I just wanted to ""get on with it.""I can see why this is a classic, but I cannot imagine re-reading this novel.Worth the read!"
"25",24,"Gaile","Although my husband greatly enjoyed this book and annoyed me for days for talking endlessly about it, I thought it stupid."
"27",26,"Isabel Torres","I am going to go against popular opinion. I simply HATED this bookMaybe it was because it used hard/boring language, or that it took FOREVER for something to happen, or that I was FORCED ti read this in school. Overall its an uneventful book.Yes, I like the main idea of the future society. But i did not like the book.If i could give it 0 stars i would. -Teenage perspective"
"30",29,"Maryam Essam","I was like if there is non stars would gave it non out of five first is he speaking about revolution revolution means people he only mentioned people once does he care about people NO simply teh novvel full of anxious , negativity hatred and giving very bad influence about socialism but finally gave it one out of five for "" hypocrisy and doublethinking if you are doublethinking, you are deliberately forgetting that the contradiction is there. This subtlety is mostly overlooked by people using the accusation of ""doublethink"" when trying to accuse an adversary of being hypocritical."
"31",30,"Gurkmaja","In my opinion the book was not really what I expected it to be. I think the book did not live up to the expectations. Someone told me that the book was about George Orwell who had a thought about what was going to happen in the future. I imagined a book with maybe 200 pages where George Orwell had written down his thoughts. But so was not the case. Instead, Orwell makes a novel about his thoughts. And that novel was not my cup of tea. I just could not enjoy the book. The language was difficult, the setting was a bit unclear and it did not content so much action.The whole story from characters, the action and the author’s choice of words did not fit together. The book did not have that effect which sucks you in to the story and keeps you in a stranglehold. I want breathtaking stories with a lot of drama and emotions. This was just a grey and boring journey through some kind of unexciting future society. No I am really disappointed, I will not remember this book as a good experience and I would never recommend it further to another person. The books gets 1 of 5 stars."
"33",32,"Peter Berg","terrible. bleak and just plain wrong, not even in the way it was meant to be."
"37",36,"Christy Stewart","misogynistic shit"
"38",37,"Heather Sinclair","I rarely dislike a book but I have to say I hated this one. This book was a chore to read."
"40",39,"Crystal Craig","The fact that this book was published and now labeled classic fiction means there is something good about it; what that is I fail to see.One of the four group reads voted in for the month May in my book club, Sweeter Reads; I went into the book with an open mind. Unfortunately, though, I didn't receive that punch in the face I appreciate getting when I start a novel. Yeah, I know, some novels are a little slower to start, but I didn't even get a collar grab, so....... I was bored then, and now at the 35% mark, I'm still bored. It's time to give up. If you read and loved the book, I'd love to know what you liked about it. "
"41",40,"Kieran","If this book had not been a set text for O Level I would never have got beyond page 50."
"43",42,"Tommylord","devo dire che non mi è proprio piaciuto...sono rammaricato"
"44",43,"Eleanor","Imagine living in a world where emotions such as happiness and love are outlawed and thoughts are constantly being monitored. Where your own children will turn you in to be tortured or killed and freedom of speech is totally unheard of. This is the frightening picture that George Orwell portrays as the future in 1984, the story of Winston Smith and his rebellion against a totalitarian government called “Big Brother.” Throughout the story Winston breaks away from government ideals by having an illegal affair with a mechanic named Julia and recording a journal against the ever watchful Big Brother. Although many people find the book to be bleak and depressing, George Orwell’s 1984 proved itself to be a classic because of its ability to cause the reader to question their idea of heroes, society, and symbolism. Probably the biggest reason why 1984 has remained a classic is because of its views about the progression of society. In the book a totalitarian government called the party rules society with an iron fist and an unquenchable thirst for power. “The ideal set-up by the Party was something huge, terrible, and glittering…a nation of warriors and fanatics, marching forward in perfect unity, all thinking the same thoughts and shouting the same slogans, perpetually working, fighting, triumphing, persecuting” (Orwell 64). This government and the power it holds over the minds of its citizens, forces the reader to question whether the progression of human society is a negative or positive thing.	While most may imagine a hero to be someone who is both strong both mentally and physically Orwell challenged this idea by creating Winston Smith, an anti-hero. Unlike the heroes in television and books, Winston is an overweight middle-aged man with a “varicose ulcer above his right ankle” (Orwell 1) and an inability to climb a flight of stairs. And while the thought of someone who can barely climb a set of stairs trying to overthrow an ever-watching totalitarian is somewhat laugh worthy at first, Orwell proves him to be a memorable character. With each and every chapter that passes it becomes easier and easier to relate to Winston and his somewhat flawed character and by the end of the story the reader is able to imagine themselves in Winston’s place fighting for their freedom against Big Brother. 	The last reason for why 1984 still remains popular is because of its use of symbolism. Throughout the story George Orwell uses short songs and rhymes that symbolize the fate of the main characters. When these songs and rhymes are first mentioned in the story they seem insignificant, thus causing the reader to ignore their importance. However after going back over the quotes used by George Orwell in the story it is noticed that they are actually used as tools to foreshadow the fate of the main characters. The best example of this in the book is the short song sung by Mr. Charrington, the Pawn Shop owner. “Oranges and lemons, say the bells of St. Clement’s…Here comes a candle to light you to bed, Here comes a chopper to chop off your head” (Orwell 83). At first glance this quote is insignificant but later reveals itself to foreshadow the fate of Winston and Julia, the main characters. 	Although at times dark, George Orwell’s 1984 proved itself to be a classic because of its ability to cause the reader to question their idea of heroes, society, and symbolism. For those that enjoy dystopian or just interesting books in general I would definitely recommend it. "
"45",44,"Jaime","Absolutely HATE this book!!! Definitely traumatized me!"
"46",45,"Laurie","The reviews were right. It is one of the most depressing books, that I have read. The message wasn't as clear in 1984. In Ann Rand books the message is clear. I like the Ann Rand books better."
"47",46,"Rachael MacLean","While I respect this book for its literary merit and what it's trying to say, I found it to be a slog and the book within the book was worse. I wasn't a huge fan. "
"49",48,"Paige Hoke","Horrible book!"
"51",50,"John Bednarczyk","One of the worst books I've ever read. I constantly found myself loosing focus on the idea at hand.. this is probably the most mundane book I have ever picked up. On the other hand, this book brings up an interesting philosophy that the past can be altered to control the future? just weird....."
