"","X","user","review"
"11",10,"Henri","Oh my WORD.... What a piece of crap. Boring and senseless. Cant imagine why so many people like this one. "
"20",19,"Sandy","Didn't really need to read this, since I've already read On the Road. Same book, really, although the insanity of the stoned characters is more delightfully creative here. How they interact with others to achieve their insane purposes is a little hard to believe, but it's fun. The lifestyle of the dedicated druggie, on the other hand, is no fun at all."
"30",29,"Pamela D.","This could be the worst book I have ever read. Juvenile, pointless & disgusting."
"32",31,"Nancy McKinley","I hate to quit a book especially 91 pages in but life is too damned short to muddle through this pointless and overrated babble. Wading through inane muck for a few mediocre gems is not worth it."
"57",56,"Tessa","I thought this was OK but really boring so I didn't finish it. I think the book is 100% better than the movie though, because really, who wants to spend 2hrs of their life watching Johhny Depp taking heaps of drugs?"
"62",61,"Faye Ducker","I did not enjoy this book. Although it is seen as a classic, I was bored throughout. There is no real storyline and the constant drug bender was a little gratuitous. Maybe the film will be better."
"71",70,"Alex MacMillan","""One of the most striking characteristics of drug takers is their intense and tedious self-absorption; and their journeys into inner space are generally forays into inner vacuums. Drug taking is a lazy man’s way of pursuing happiness and wisdom, and the shortcut turns out to be the deadest of dead ends. We lose remarkably little by not being permitted to take drugs."" - Theodore Dalrymple""The only thing white people talk about when they get high... is other times that they got high. I could listen to that all night."" - Dave ChappelleIt's only been a few months since I finished a sublease (I unwittingly signed) in which I shared an apartment with a drug addict and his codependent girlfriend. This book was a like a bad acid trip back into the vibe of living with a selfish loser: being an adult besieged daily by the pathetic existence of a corpulent, narcissistic manchild and his rotating coterie of customers.Hunter S. Thompson is an awful, selfish, completely unsympathetic character. So is his attorney in crime, Oscar Acosta. You can see why both ""protagonists"" ultimately died alone, broken men. They demonstrate themselves to be complete monsters in this book, inflicting manipulation and abuse onto anyone they cross paths with. Their antics, as with their idiotic ideological rationalizations for their actions, must be titillating to the kind of juvenile who smokes weed before going to high school english class, giggling to his Hot-Topic clad compradres as though he were Medgar Evers.Was this book edgy when it first came out? Is what happens in this story supposed to be funny?Thompson has a surprising amount of filler here, given that it's a 200 page book where his drug abuse gives him the freedom to make up whatever stories he wants and pass it off as hallucinations. At multiple points he fills pages by repeating, word-for-word, the headlines of newspapers, or describing his paranoia about getting caught and repetitively catastrophizing the consequences. (Nothing ever happens, Thompson never faces up to the consequences of his actions)"
"72",71,"Koen Crolla","Self-indulgent drivel."
"85",84,"Jules","B tho"
"97",96,"Lori Rappucci","Doesn't even deserve one star. It was terrible"
"99",98,"Cathy Hall","Just started this one-interesting..."
"123",122,"Sara Pauff","I read about 100 pages of this book, then skimmed ahead and decided I wasn't interested in finishing it. All he does is take a ton of drugs and drive around the desert. This may have been shocking and interesting years ago when the book was published, but now it's just another weekend. What's the point? What's he trying to say? Is there a meaningful plot buried amongst all these hallucinations of giant reptiles and white rabbits? If there was, I couldn't find it. Maybe it's a book best read stoned."
"132",131,"Jay Kenworthy","This is the first book of the New Journalism ilk that I've read since I struggled through ""The Electric Kool-Aid Acid Test"" in college. I never found it to my liking, but a friend's insistence that this is the funniest book he's ever read piqued my curiosity. I was disappointed, to say the least. I'm sure Fear and Loathing was very important for its time, and Gonzo Journalism was a groundbreaking new genre. But the lack of plot doomed this book from the start. And despite a few funny scenes, the book does not retain its importance today. Worst book I've read in a long time."
"154",153,"Karrie","I was awful. I would give it not stars if I could. Vulgar and profane. Awful, awful. Don't read it!"
"172",171,"Robin Randolph","One of the worst books I have ever read. What a waste of time, paper and ink!"
"179",178,"Tracyh","I thought this was among the most sickening books I have ever read. A complete waste of time."
"180",179,"Kyle Ryan","Sooo….I don’t get the appeal. This observation struck me quite early in the book, and much of the rest of my reading of the mercifully short ‘Fear and Loathing in Las Vegas’ was spent trying to figure out what all the fuss was about and why I didn’t have the urge to participate in the fuss. Let’s start with the primary disadvantage I had – over 40 years of time elapsing between 1971 and 2013. Let’s just say this book doesn’t hold up that great. I can’t recall offhand, but I hope that the contemporary novels and essays that I consider my favorites aren’t as littered with the equivalent of Nixon/Agnew jokes as this book was. Additionally, this book is going to resonate with people who consider hard drugs “cool”, are fascinated with the effects of said drugs, and refer to people that are trying to keep hard drugs away from drug users as “uncool” and/or “The Man.” The country’s perspective on the drug culture has changed so much in the ensuing time that much of Thompson’s sharpest satire falls on deaf ears.  In today’s world, drunk and high driving is universally looked down upon by society. From a drug perspective, outside of marijuana, which recent legalization trends would suggest is now deemed ‘a good time in moderation and pretty harmless in the grand scheme of things’, most other drugs would be categorized as ‘try it out if that’s your thing, but watch out because your life can really go into a toilet spiral in a hurry if you start abusing it.’ Given such societal context, I have trouble commiserating with the two guys blasted out of their minds for a week straight mooching and stealing their way through a Las Vegas joyride. Am I supposed to be idolizing these guys? Am I supposed to side with the guy who vomits in his shoes by mistaking them for a toilet and then attacks an old cleaning lady at the knees because he confuses a mop handle for a battle axe? No matter how square and backwards the law enforcement community is regarding prosecuting criminals, the book’s protagonists don’t exactly scream ‘renegade heroes’ to me.It seems like one of the arguments the book is making is that the American Dream is there for anybody who’s willing to lie, cheat, and steal their way there. And even if you’re high on drugs, if you’re a smooth talker (and ideally a lawyer), there are plenty of idiots out there waiting for you to take advantage of them. It’s a grim worldview and not one I’m eager to inhabit. Plus, the volume of drug use and the depictions of its effects has a ‘look at me! I’m so anti-The Man I do lots of drugs and f*ck stuff up and get away with it!’ vibe to it that turned me off. Or maybe I’m just a square and will grow an unironic moustache and wear aviator shades later in life while telling the kids next door to keep the music down. Given the alternative, maybe that’s not such a bad thing."
"188",187,"Nadine Larter","Oh I don't really know where to begin with my absolute hate for this book. Hunter Thompson is a famous journalist. He is respected. He rode with the Hells Angels and he interviewed all the musicians that we worship. He was Rolling Stone Magazine ""cool"". He was so cool that friggen Johnny Depp played him in TWO movies. Loving him is just a given. Apparently. Unfortunately I can't get past the fact that I just think he's a fucking twat. "
"205",204,"B.C.","Abandoned.This book was awful. There was no plot and no character development. It was just a guy doing drugs. Drugs aren't cool to me, nor are they funny. Watching (reading about) people on drugs makes me feel bad because I watching an empty soul try to fill their black hole with an abundance of futility. The writing was short and choppy. He did not change his style from magazine to novel. He had some good descriptions and the language was very natural. This is because he wrote like he spoke. Drug humor is not my thing and I feel bad having wasted my time. "
"241",240,"Elzakun","I was so not impressed. Should have read this when I was 15."
"258",257,"Echo","A friend insisted I HAD to read this and loaned me his copy. I read it, but I hated every second of it. He tried to explain to me what was so great about it. I still don't get it. I guess I just don't care to read pointless books about a couple of guys getting high. I dislike this book more than anything else I've ever read in my entire life, and that's not an exaggeration."
"269",268,"Ed Bremner","I can see how people might think this was good....maybe the same people who go to a gallery and see a pile of shit in the middle of the floor, with a price tag of millions of dollars.""Oh but how challenging"" they say ""At the very edge of what we call art"" ""Re-establishing the borders of art"" etc etc.No.....its just a pile of crap."
"292",291,"Kathleen Harrington","Expecting great things of Hunter S. Thompson, I was disappointed by this monologue of narcissistic revelry. The whole novel details general fuckery with a heavily egotistical lilt. I'm an ideas person. I prefer ideas to experiences for experience's sake. Thompson spends the book experiencing mescaline, and I was left experiencing nothing but disappointment."
"310",309,"Michael Battye","I've had my share of multiple day booze benders so I GET the appeal of unplugging and not giving a fuck for a few days. The hardest drug I've ever done is grass, so I can't relate to the degree of unplugging in this book. I had to read a few other reviews before sharing my thoughts because I wondered whether I might have read a different version of the book to those who rave about it. I like a bit of self loathing from time to time, but when its completely self-inflicted by a complete lack of regard for everything and everyone around you, it's not quite so worthy of celebration. I appreciate the satirical social commentary of the American culture of excess, but maybe being 40 years old worked against it for me. Some people might find this book liberating, but I found it a pretty shallow and pointless. "
"324",323,"E","I realize you're dead now Mr. Thompson but, Y U WRITE THIS?"
"345",344,"Julie Williamson","I read this book to impress a guy. That's the last time I ever did that."
"373",372,"Marita","Oh man. I don't do enough drugs to enjoy this book. Got about 50 pages in and had to give up."
"393",392,"Tiho Kujo","this book is for people who actually think dan blizerian is king, those who after watching movie wall street thought that they don't live as they should. For those who think that they should try everything and then they dont and then feel unhappy. book for boring ""I have old camera I am pro photographer"" hipsters.in short: no plot, just insane unbelievable amount of drug addled wondering about life. I did 2/3ds of book and no point reading it at all."
"394",393,"Noe Crockett ","This book was crap. 204 pages of some dude staying completely wrecked. There was no point, I kept waiting for some deep meaning to come out of it but it never did. A complete waste of my time."
