,user,review
0,Julie B,"My 30-year-old self appreciated it a heck of a lot more than my 17-year-old self. (I reread it in anticipation of seeing the movie.)I’m haunted by the timeless nature of the themes in this story (adultery, distinct class differences, the American dream, old money, new money). I cannot stop thinking about Myrtle and Daisy. The voluptuous, stubborn, blue-collar adulteress versus the frivolous, wispy, waspy, fickle, dreamer, Daisy (also an adulteress). How they each end up feels so unfair to me and yet so believable. I keep going back to this quote:“She had caught a cold, and it made her voice huskier and more charming than ever, and Gatsby was overwhelmingly aware of the youth and mystery that wealth imprisons and perseveres, of the freshness of many clothes, and of Daisy, gleaming like silver, safe and proud above the hot struggles of the poor” (150).I’m also left thinking a lot about the servants mentioned subtly throughout the piece, as Gatsby’s lavish lifestyle is detailed. “Every Friday five crates of oranges and lemons arrived from a fruiterer in New York — every Monday these same oranges and lemons left his back door in a pyramid of pulpless halves. There was a machine in the kitchen which could extract the juice of two hundred oranges in half an hour if a little button was pressed two hundred times by a butler’s thumb” (39-40).During a time when there is a strong political focus on the 1% versus the 99%, and the masses are crazed by Downton Abbey, the making of another film about this enduring classic is pretty appropriate. I wan't expecting to fall in love with this book so much—in such an aching way."
1,Alys,"I read this book twice, at 26 and and 47. I loved it both times but understood it so much better on the second reading."
2,Léa,"How can I even begin to explain this book and its affect on me. I love the story, the narrative is so beautiful, the characters are really deep, even the ending is amazing, and it has my favourite last line of all the books I’ve read. But it’s not my favourite book? Why? Well, it could be that it could never top the brilliance and genius of The Picture of Dorian Gray but also because I feel it lacks something.Don’t get me wrong, it had everything it needed. It’s a short but engaging novella about the trials of dreams and the realisation of those dreams, it really spoke to me. But, I can’t help but think that somewhere something was lost. Or maybe that’s the effect the writer was going for. Maybe we’re meant to feel like Gatsby…like we finished the book, and it was a good book, but maybe it wasn’t everything we wanted it to be. If that’s the case, it is the most amazing stunt in all of literature and if it’s an accident then it’s an amazing accident.It’s told from the view of Nick Carraway who is sort of outside of the story but also involved in the story and tell the story of Jay Gatsby (who likes parties) and his pursuit of a relationship with Daisy Buchanan (Nick’s cousin) much to the dislike of her husband, Tom (who is also cheating on her…men, eh?)I can’t do it justice so you’ll just have to read it. Read it now. READ IT."
3,Matthew Ryan,"The Great Gatsby was a book that I did not want to put down. The complex and sometimes confounding imagery that was used in this book really portrayed the brilliance of Fitzgerald. My three take-aways from this particular book would be the importance of imagery and euphemism and how authors use it to foreshadow the plot, the effect your socioeconomic class has on your work ethic and motivation in the world, and finally, the importance of not dwelling in the past, but rather focusing on what is ahead. Ultimately, I found this book obtained a great moral of not being capable to relive the past and how we are only capable of controlling our futures. Overall, I would undoubtedly recommend this book to anyone who comes across it. "
4,Leah,"
Originally posted on LibraryThing
Rating: 4.5 of 5""So we beat on, boats against the current, borne back ceaselessly into the past.""BEST last line ever! Or at least up to this point and as far as I can remember. But if I had that sentence memorized after reading it one time then it must truly resonant with me. Over the last 24 hours I've attempted to recall the last sentence of books I call ""favorites"" and I can't. How they ended, sure, no problem. Word for word the last sentence, not a single one.I haven't really had time to analyze the book beyond my gut reaction of ""Wow!"" What stands out the most, right now, aside from the above, is the imagery and the characterization. An example of the former, ""At 158th Street the cab stopped at one slice in a long white cake of apartment-houses (p.28)."" As to the latter, the fact that I absolutely loathe certain characters *coughDaisycough* means they were alive in my imagination, jumped off the page, so to speak. Can't really do that if they're cardboard cut-outs or 2D. Definitely earns it's ""classic"" label. I foresee annual re-reads of this one."
5,Carter McKeon,"I really enjoyed The Great Gatsby and it showed me a lot about the true nature of some people. After reading The Great Gatsby, I have three crucial takeaways: where you are from shapes who you are as a person, the people you surround yourself with shapes you as a person, and wealth does not make you happy. Throughout the entirety of the novel, we are presented with different characters from different parts of the United States and even different parts of New York, the West Egg and the East Egg. Nick, as a westerner in the East, claims to be one of the few honest people.Your friends shape who you are and that is evident when it comes time for Gatsby's funeral. When Gatsby threw a giant party, there was an inexhaustible amount of guests, but when it came time to attend his funeral and show homage to his life, no friends could make the trip.Wealth is apparent in almost every character we meet in The Great Gatsby, and yet the majority of the characters are unhappy, either with their lives or their marriage. This could be symbolic of Fitzgerald's own life. He was a famous celebrity married to a beautiful women, yet they were both unhappy and couldn't maintain a happy marriage."
6,Kevin Zielinski,"The Great Gatsby is often considered Fitzgerald's greatest work and while I can't speak to that, I can say that it is indeed quite the literary gem. Merely reading of the superfluous extravagance portrayed within the upscale neighborhoods that serve as the novels setting is enough to evoke an awe inspired lust from the reader. The minuscule details Fitzgerald uses in the way in which he chooses to express these enormous scenes is what brings them to a level that is larger than life. These places and the story they encompass serve as the metaphorical basis for the novel, they are exemplary of man's incessant desire for more, the tantalizing want that can never be quenched because its very existence is what keeps man moving in a direction. This desire is the foundation for Gatsby's character, a man so consumed by his want that he goes to the moon and back just to grasp it, composing a bittersweet tale of a man who can never have what he wants because he always wants more than he has. But more than that is a novel of an inspiring man whose story has us believe that man is not limited by anything more than his imagination. It is an American novel that shows us that a James Gatz can become a Jay Gatsby.
""Possibly it had occurred to him that the colossal significance of that light had now vanished forever...His count of enchanted objects had diminished by one.""
"
7,Loren Orts,I loved loved this book! I had no issue reading it in one morning. I definitely will be rereading this every few years.
8,Roland Perreault,"I have to re-read this book every few years. This time round, I enjoyed the dinner time discussions with my daughter Rebecca who is reading this book for her high school literature class. We had some really deep discussions about it. One of my favorites of all time."
9,Steff,"This book made me cry, I have never felt so connected to a character the way that I had to Gatsby and Fitzgerald put gatsby through hell.I found Nick to be a calming voice, one that saw everything, connected with everything and most of all he had the ability to tell a story with thoughts, and opinions of a real person. It was just so easy to like Nick that you weren't really bothered to see the story through his eyes.I found Jordan to be a coward and it was precisely this quality that Nick disliked. She wasn't a friend, she was a hanger-on.I hated Tom from the beginning which made me love Gatsby even more. It was obvious Tom wanted what he couldnt have, just like so much of the people around us.I kept trying to find a way to like Daisy and, though I hate to admit it, I did after she cried after seeing Gatsby. I thought that she genuinely loved him but Daisy was only in love with the money, with the illusion she lived in. Gatsby saw this but he couldn't help loving her.My heart broke several times during this book, when I saw Gatsby's eagerness for Daisy, when he proclaimed that Daisy wouldn't leave Tom for him, when Gatsby met Tom and when it was clear to us all that Tom was right (Daisy was just amusing herself with Gatsby), when he spent the night outside her window and then went home alone, when he tried to convince himself that she would call him but she never did. Gatsby was like so many of us living for his past, wanting to just it so badly that he spent five years accumulating enough wealth for Daisy. He felt unworthy but the truth is that Daisy would've never deserved Gatsby. My hearts was shattered when Gatsby died. He didn't deserve death. In truth, I believed him to be a sad man who had believed in something that was just an illusion. I liked the bit with mr. Gatz, he showed Gatsby in a way I suspected him to be the entire book but never got to see. In life he had so many friends, everyone wanted to be around him but in death there was no one but two.In short the wealthy always win because they have this safe little bubble to return to. A little bit of hope can kill a man. Looking back at your past is no way to build a future. People will always use you for what they can get out of you but will never be there for you in the end. My fave point would be that Daisy is a BITCH (there's a lot more profanities I would like to use to describe her but I have to restrain myself remembering that she is just a character). My heart bleeds for Gatsby (the character and man I had come to enjoy unravelling, the man who loved to much, the man who lived in the past, the man with no friends living on false hope given to him from a life that has ceased to exist but one that he cannot forget). I wish things turned out differently for him.A beautiful book, easy to read and an undeniable must read.***an after-thought***I keep feeling like I missed some great revelation that Fitzgerald was trying to impart. So, I thought I would add some more of my thoughts.I think that Gatsby never really loved Daisy but lusted after what she represented. We know that Gatsby had come from an improvised background and when he initially wanted Daisy it was because of the other men that lusted after her. We know that she should him a world that he never really belonged to and had no way of gaining entrance on his own. Sure, Daisy was charming but she was as fickle as they come and I find it hard to believe that a man of Gatsby's character would set his attention wholly on her when it was clear he could've had anyone. But, here is where the problem arises, she was a challenge and would not have him because he didn't have a fortune (keep in mind, that this was never said by Daisy). He built up his fortune to get her even after she had married (still presenting a challenge). It's true, men love a good hunt, it's in their nature.He emerged himself into her world (with the wealthy), trying gain acceptance looking for a place to belong. But he didn't belong, he always felt like an outsider so he never joined but always observed, looking for his key to this world (Daisy). He said it himself when he compared her voice to money, he saw her as the unattainable last piece to achieving his higher status in life. Maybe, at some point he did fall for her (just a little bit) but I believe it was the illusion of her, of finally ""making it"" in life that ultimately became an obsession. The human mind is powerful thing especially with a seed of hope, Gatsby died with that hope. He was a man that was alone in the world even in death. Power and money was everything in this world.I would also like to point out that Daisy did not care if Tom cheated on her, only that it caused her embarrassed her. They too lived in an illusion. Nicky's voice was calming, I loved his loyalty, especially at the end. Gatsby did gain something in this book but he was to blind to realize it, he gained a true friend.I also found it shocking when my friend pointed out that the woman in the book were weak, but I did not feel that way. Daisy was a strong character, all her decisions were made by herself including the one to stay with the money. If she was weak she would have been manipulated and not have exploited Gatsby's feelings in the manner that she did. It just shows you that guys don't know when a woman is pulling the strings (this friend was a guy)."
