,user,review
0,Lars Andersson,This is a very good book indeed. It sure will make you act in a different way! 
1,Ivy Zhang,incredible book. I am not a big fan a non - fiction. but I love this one.
2,Awdhesh Singh,"According to me, this is this the best book ever written on human relationship and communication skill. I must have read it several times and I always find something interesting every time. It may not appeal to people who are young and yet to see the realities of life, but for those who have flexible and mature mind, this book is not to be missed. However, you must never use the formula of the book because that will not work, if copied. The author provides an alternative thought that should be explored before you decide your action based on impulse or commonsense."
3,Leah,"It's an easy read with good principles to follow in any given situation. Some of it may seem like common sense, but it explains that common sense and why it is good to practice it. It will show you how to become a much better people person, even if you're not a people person to begin with. Read it! :-) "
4,Kyle Marsh,"Though it suffers from a bad title, which makes it sound somewhat malicious, I found this book to be just the kind of no-nonsense advice I needed for learning to be a conscientious and thoughtful person. It really helped me to consider the world from the other persons point of view - and was a major turning point in helping me create better relationships with those around me. "
5,Nathan Patrick,"loved the advice, really taught me better ways to interact with others and how to speak more respectfully; I wish the title were different as I find it to be a bit misleading - the book is not about manipulating others"
6,Tiffany Hatch,This should be required reading! Excellent!
7,Ahmed Afifi,it's a very good book 
8,David Grimaud,"I first read this book in ninth grade, and it influenced my whole personality and outlook on life."
9,Jānis Brikšis,A masterpiece and a must-read for everyone. Even if you are not a top notch Forbes 500 manager.
10,Ronald,"This is an excellent treatise on interpersonal relationships, and one that has stood the test of time. A simple, unpretentious book filled to the brim with social wisdom and packed with anecdotes. You could say that much of what is written herein is common sense, but if it is then we take it for granted because far too many people are lacking in good manner. If everyone made an effort to apply these principles in their daily lives then I have no doubt that the world would become an infinitely more pleasant place. Now, some people accuse Dale Carnegie of being shallow and manipulative, but I didn't get that vibe at all. In fact, he repeatedly makes a point of stating that you should not be reading his book if your intention is to take advantage of people. The core message is that to make a friend, you must first *be* a friend. Most of the book is spent discussing how to look at the good in every situation and become a friendlier and more polite individual, how to be a good listener, how to sympathize with the viewpoints of others, how to avoid causing unnecessary offense, conflict, etc.Still, there are two key things to remember when reading this book: One is that all interaction must be sincere and come from the heart, shallow flattery will only backfire on you (and the author says as much in the book); if you truly have nothing nice to say to a person, either be open about it or don't say anything at all. Be honest, not manipulative. The other thing to remember is that some people (a small minority) are just impossible to deal with regardless of how diplomatic you are and these principles only apply in full when interacting with someone of sound and sober mind; alcoholics, drug-addicts, paranoid schizophrenics etc. may have trouble appreciating and reciprocating your efforts at geniality (this little caveat is not mentioned in the book). That aside, I'm of the opinion that this is one of those rare gems that should be taught in public schools, and it's worth keeping a copy around the house."
11,Barb McDevitt,This book is something to keep around to read and re-read
12,Atalie,This book is one I like to revisit often! The teachings are timeless.
13,Andrea Kladar,"This book is one of the greatest classics of all time. It changes lives for the better as it's been doing for many decades, many different languages and many different countries around the work. A must read. "
14,Larry Basgall,A great treatise on how to communicate with people. Worth the read.
15,Bridgette Hannigan,I think that these principles can still be applied to today's culture. The information was very relevant to both business and personal relationships. I actually had this on audiobook and it was easy to follow.
16,Zarina Gore, A book must read ..
17,Abdullah M. M. S.,This is the most practical book in the art of dealing with people. I have used some of the techniques mentioned in this book. And they really work. I highly recommend this book for people out there who think they have a leader in them.
18,Reagan Ramsey,"My dad made me read this (God bless him) when i was in middle school...and it's amazing how much it has ""influenced"" me without my realizing it. I would encourage reading it a second time for those of you who read it years ago. Just simple, straightforward good sense. "
19,Mohamed Yosry Mohamed,One Word: Life Changing!
20,Alli Dalton,"Pretty much the basics on how to be a decent, kind human being"
21,Juraij Ibnu Rani,"""Human"" is the most complex living thing to understand. Everybody wearing a necklace says ""Make me feel importance""."
22,Jake Barrington,"Dale Carnegie fills his book with many interesting tid-bits and stories. He makes the book enjoyable to read while providing useful life lessons.Age Recommendation: 20+Suggested Audience: Anyone in Business, Politics, or anyone else wanting/needing to learn some good life lessons."
23,Ashley Curnutt,"This coupled with the teaching self-government skills taught in the building a house united book by nicholeen peck are so inspiring! I can parent without force, and heal relationships by changing me in the most Christlike ways! It really is me not you when it comes to success in dealing with people."
24,Mallie,Amazing! 
25,Josh Brown,Excellent book - I learned a lot about people and how they operate. I could read this 100 times and still find new things to apply.
26,Jennifer Ready,"Although you may think this book would be business-speak tripe, it was one of the best books I've ever read. It is full of obvious, common sense-type stuff, but the principles are things you don't spend a lot of time thinking about. I got so much out of this book that this was my second reading. I strongly suggest it to anyone and everyone."
27,Sherif ElHennawy,من الكتب التي اثرت في شخصيتي جدا. وانصح بقراءته 
28,Vinh Nguyen,It really influence me. Amazing
29,Hossam Al-Zahrani,أفضل كتاب قريته عن التعامل مع الناس، انقذني من أزمة
30,Paul,"Ignore the tittle, read the book. "
31,Asdf,Offers immense insight good stuff mate
32,Michelle Hoover,Another essential book for anyone who wants the ability to deal with people well. 
33,Kaan Kasım,"When you are reading the book you may think that it talks about obvious stuff. But these are the things pretty much all of us neglect to do, or just don't know how important they can be. All in all I enjoyed reading it, learned a thing or two and will try to apply some of those to everyday life. Maybe it'll help? Who knows, at least it was an interesting insight into human psychology."
34,Sallybeans,Great book that actually teaches you how to talk to people and be effective at it. A book that you constantly refer back to and constantly re-read. Recommend! 
35,Stef C,A classic must read for everyone who wants to get along with others!
36,Mitch,Amazing book that really opened my eyes to the way people can influence each other. I would say this is a must read for any decent human being. 
37,Matthew,Easily a five star read. This book should be read by everybody at least once. Maybe everyone should read it at least once a year!
38,Joshua Clement,"I absolutely loved this book. I didn't exactly know what to expect when picking this up but I had high hopes, and those hopes were greatly met. The book is emphasizes all the little things that you almost never think about when interacting with others. How To Win Friends... Is filled with common sense topics, yes, but in an age where sense isn't so common anymore it is a great read for anyone and everyone. "
39,Lee Whiting,A must read for everyone
40,Jacqui Daves,Everyone needs to read this book. Highly recommended!!!
41,Dmytro Savchenko,I honestly think everyone should read this book. 
42,Mohammed Alsharif,"Many ideas are well known to anyone, but what I liked that they are organized in principles and you can remember them and apply them to any situation. I liked the way of telling stories to explain each principle. "
43,Kaarthik Anebou,This book will be a good start to change your attitude towards people - & if you do the results are amazing!
44,Bryn Donovan,"I picked this book up because it's been in print for about eighty years, and I wanted to know why. Here's why: it's brilliant, and it might change your life.The title suggested to me that it might have a lot of sneaky tricks to try to get ahead. The book is actually more about being a decent human being, with success being one likely positive outcome. It could just as well have been titled, Have You Tried Not Being a Self-Involved Jackass?I found the first chapter, about how absolutely pointless it is to criticize people, to be particularly provocative. I try not to criticize much, but I could still do it less. I loved this passage:""Do you know someone you would like to change and improve? Good! That is fine. I am all in favor of it. But why not begin on yourself? From a purely selfish standpoint, that is a lot more profitable than trying to improve others--yes, and a lot less dangerous.""Carnegie is a clear and persuasive writer who uses anecdotes to good effect. His chapter titles read like modern clickbait article titles (for instance, ""If You Don't Do This, You Are Headed For Trouble."") It's an engrossing read, and I'm already finding opportunities to put the principles of his book into practice."
