"","X","user","review"
"1",0,"Alisha G","I found the ideas interesting, despite my relative disinterestedness in the subject. My 'definitive English translation', however, was full of typos and that drove me crazy. "
"2",1,"Ivy Zhang","i give ratng 3 is mainly because this is not the typical book i would like to read Mr Sun Tze had lot of interesting points writte in the book. it is a very famous chinese army book. I knew the name of the book and the author by heart when studying history at school. however I had never got interests to read such book back then. I saw the English version of this book at a randomly opportunity, I had chance finally to read it. the books is mainly around topics of how to plan and win a war in different situations. for me, Mr Sun Tzu is actually a pioneer of psychologist. he emphasis how important morals plays in the war. how commander should take advantage of external factors and build up morals of militaries. he talked about winning a war does not mean victory and true victory is winning with easy. there are many interesting physiological points which can br easily applied to any other situations other than war. I can tell why this book is still being read by people nowadays."
"4",3,"Tim Weakley","Marginally more enjoyable than The Prince. I still found this to be basically a collection of common sense advice from the military perspective. It must have been revolutionary when it was first collected but there were very few true insights to my way of thinking."
"5",4,"Rafael Victoria","Es un libro que utilizando las estrategias de guerra podemos usar esas mismas estrategias en los negocios."
"11",10,"Omran NAJJAR","مجموعة من عمليات التحليل الاسترتيجي والمفيدة"
"15",14,"Kelanth","Il libro è sicuramente interessante e degno dio lettura, ma per chi come me non è un poco studioso o informato di filosofia cinese troverà, alcune lacune di comprensione nella lettura.Se teniamo conto che questo libro è stato scritto duemilacinquecento anni fa, possiamo renderci conto del valore di questo testo che è ancora letto tutt'oggi. Quanti lo sono?La narrazione si presta a varie interpretazioni, sia ad un livello di base, che tratta sistematicamente di tecniche militari, sia ad un livello più metaforico ed ampio che è il pensiero di Sun Tzu di come affrontare la vita di tutti i giorni. In questo livello di lettura si possono trarre ""numerose pillole di vita"", ma probabilmente l'insegnamento principe è che ""la miglior battaglia è quella che vinciamo senza combattere"". Da leggere, ma per una vera comprensione del testo, occorre una bella infarinatura di filosofia orientale.http://kelanthsblog.blogspot.com/"
"16",15,"ron btdtbttsawio","A very short and easy to read booklet."
"18",17,"Joel Weinert","“Ultimate excellence lies not in winning every battle but in defeating the enemy without ever fighting.” A nice, though light, translation of the classic. Some historical background is included, but my preference is for more detail and discussion of possible meanings."
"20",19,"Anand Kumar","Just finished reading this book...It's interesting to know about the tactics used and to use in war. But the content mentioned here might help in addressing conflicts or working with corporate competition.It's a good book to read, and nice one if you like to apply it with your current challenges dealing with conflict or competitive world to win.Happy Reading!!!"
"24",23,"Melody","Very interesting. Great wisdom and strategy. No surprise it is required reading at the military academies."
"29",28,"Arielle","Overrated"
"31",30,"Philippe Malzieu","This text is regarded as one of the reference in strategies (with Clausewitz for example). He was written during the time of the combatants kingdoms. There, it was important to be the more effective strategically as possible. We have in France the traduction of the jesuit Amiot. After the Father Ricci who finished his life as Emperor advisor (his tomb in in an university garden in Beijin), many jesuits had gone in China. The book is divided into 13 chapters beginning all with ""Master Sun said."" All is articulated around an only goal, to overcome and beat the enemy, It is necessary to win about is the used ways. We are not in delicacy. One lies, one cheating one trick.That does not disturb me if it is for acts of war. The top of art of the war is to subject the enemy without crossing iron. So the importance of spying.But this book wants to be more than that: a treaty of life. He wants to be a metaphysic manual. Not to see in others his own image is not acceptable. One should not give to this text a universal range. It is only a treaty on the way of gaining a war. Not other.Point."
"33",32,"Vanesa","I wanted more...I found it common sense. Or is my ""common sense"" not so common?, perhaps. I can't tell. But, indeed, I wanted more and that' a good thing."
"35",34,"Jinu","It's all about war and certain aspects of it that I did not enjoy like bribing spies. But it also talks about using force only when needed and best way is when the enemy surrenders. Overall it was a different reading experience for me and war is all about strategy be it with managing resources and army and psychologically manipulating the enemy. The setting of this book is ancient and limited to attack on land."
"38",37,"Gene Leo","Like it or hate it, you have to admit - this is one of the manliest books ever written. Each statement is filled with so much confidence, power and arrogance I had a thick beard by the time I finished reading it. "
