Commodity_Description,Country_Code,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_Description,Value
"Meat, Beef and Veal",US,1960,1960,0,125,Domestic Consumption,(1000 MT CWE),7448
"Meat, Beef and Veal",US,1960,1960,0,88,Exports,(1000 MT CWE),16
"Meat, Beef and Veal",US,1960,1960,0,57,Imports,(1000 MT CWE),352
"Meat, Beef and Veal",US,1960,1960,0,28,Production,(1000 MT CWE),7195
"Meat, Beef and Veal",US,1961,1961,0,125,Domestic Consumption,(1000 MT CWE),7867
"Meat, Beef and Veal",US,1961,1961,0,88,Exports,(1000 MT CWE),16
"Meat, Beef and Veal",US,1961,1961,0,57,Imports,(1000 MT CWE),470
"Meat, Beef and Veal",US,1961,1961,0,28,Production,(1000 MT CWE),7426
"Meat, Beef and Veal",US,1962,1962,0,125,Domestic Consumption,(1000 MT CWE),7535
"Meat, Beef and Veal",US,1962,1962,0,88,Exports,(1000 MT CWE),16
"Meat, Beef and Veal",US,1962,1962,0,57,Imports,(1000 MT CWE),352
"Meat, Beef and Veal",US,1962,1962,0,28,Production,(1000 MT CWE),7195
"Meat, Beef and Veal",US,1963,1963,0,125,Domestic Consumption,(1000 MT CWE),7842
"Meat, Beef and Veal",US,1963,1963,0,88,Exports,(1000 MT CWE),16
"Meat, Beef and Veal",US,1963,1963,0,57,Imports,(1000 MT CWE),470
"Meat, Beef and Veal",US,1963,1963,0,28,Production,(1000 MT CWE),7426
"Meat, Beef and Veal",US,1964,1964,0,125,Domestic Consumption,(1000 MT CWE),8030
"Meat, Beef and Veal",US,1964,1964,0,88,Exports,(1000 MT CWE),15
"Meat, Beef and Veal",US,1964,1964,0,57,Imports,(1000 MT CWE),653
"Meat, Beef and Veal",US,1964,1964,0,28,Production,(1000 MT CWE),7411
"Meat, Beef and Veal",US,1965,1965,0,125,Domestic Consumption,(1000 MT CWE),9387
"Meat, Beef and Veal",US,1965,1965,0,88,Exports,(1000 MT CWE),24
"Meat, Beef and Veal",US,1965,1965,0,57,Imports,(1000 MT CWE),427
"Meat, Beef and Veal",US,1965,1965,0,28,Production,(1000 MT CWE),8957
"Meat, Beef and Veal",US,1966,1966,0,125,Domestic Consumption,(1000 MT CWE),9866
"Meat, Beef and Veal",US,1966,1966,0,88,Exports,(1000 MT CWE),18
"Meat, Beef and Veal",US,1966,1966,0,57,Imports,(1000 MT CWE),546
"Meat, Beef and Veal",US,1966,1966,0,28,Production,(1000 MT CWE),9360
"Meat, Beef and Veal",US,1967,1967,0,125,Domestic Consumption,(1000 MT CWE),10128
"Meat, Beef and Veal",US,1967,1967,0,88,Exports,(1000 MT CWE),19
"Meat, Beef and Veal",US,1967,1967,0,57,Imports,(1000 MT CWE),602
"Meat, Beef and Veal",US,1967,1967,0,28,Production,(1000 MT CWE),9531
"Meat, Beef and Veal",US,1968,1968,0,125,Domestic Consumption,(1000 MT CWE),10469
"Meat, Beef and Veal",US,1968,1968,0,88,Exports,(1000 MT CWE),17
"Meat, Beef and Veal",US,1968,1968,0,57,Imports,(1000 MT CWE),689
"Meat, Beef and Veal",US,1968,1968,0,28,Production,(1000 MT CWE),9804
"Meat, Beef and Veal",US,1969,1969,0,125,Domestic Consumption,(1000 MT CWE),10601
"Meat, Beef and Veal",US,1969,1969,0,88,Exports,(1000 MT CWE),17
"Meat, Beef and Veal",US,1969,1969,0,57,Imports,(1000 MT CWE),744
"Meat, Beef and Veal",US,1969,1969,0,28,Production,(1000 MT CWE),9902
"Meat, Beef and Veal",US,1970,1970,0,125,Domestic Consumption,(1000 MT CWE),10917
"Meat, Beef and Veal",US,1970,1970,0,88,Exports,(1000 MT CWE),18
"Meat, Beef and Veal",US,1970,1970,0,57,Imports,(1000 MT CWE),824
"Meat, Beef and Veal",US,1970,1970,0,28,Production,(1000 MT CWE),10103
"Meat, Beef and Veal",US,1971,1971,0,125,Domestic Consumption,(1000 MT CWE),10944
"Meat, Beef and Veal",US,1971,1971,0,88,Exports,(1000 MT CWE),24
"Meat, Beef and Veal",US,1971,1971,0,57,Imports,(1000 MT CWE),797
"Meat, Beef and Veal",US,1971,1971,0,28,Production,(1000 MT CWE),10184
"Meat, Beef and Veal",US,1972,1972,0,125,Domestic Consumption,(1000 MT CWE),11249
"Meat, Beef and Veal",US,1972,1972,0,88,Exports,(1000 MT CWE),28
"Meat, Beef and Veal",US,1972,1972,0,57,Imports,(1000 MT CWE),905
"Meat, Beef and Veal",US,1972,1972,0,28,Production,(1000 MT CWE),10374
