Date,Opponent,Promotion
9/7/09,Rays,"Hand Sanitizer Keychain - 1:05 PM GamePresented By New York Presbyterian Hospital | 1st 18,000 fans 21 and older"
9/7/09,Rays,"Yankee Stadium Figurine Night - 7:05 PM GamePresented By Sports Authority | 1st 18,000 fans 21 and older"
9/8/09,Rays,"Soup Bowl NightPresented By Boar's Head | 1st 22,000 fans in attendance"
9/9/09,Rays,"Inaugural Season Snoopy Yankees Doll NightPresented By MetLife | 1st 18,000 fans in attendance"
9/12/09,Orioles,"Luggage Tag DayPresented By Stone Mountain Accessories | 1st 18,000 fans in attendance"
9/13/09,Orioles,"Knit Cap DayPresented By Starter | 1st 18,000 fans in attendance"
9/15/09,Blue Jays,"Limited Edition Miniature Collectible Ford Taurus NightPresented By Ford | 1st 18,000 fans in attendance"
9/16/09,Blue Jays,"Plush Yankees Whistle NightPresented By P.C. Richard & Son | 1st 18,000 fans in attendance"
9/29/09,Royals,"Mariano Rivera 500 Saves PosterPresented By Catch-24 Design | 1st 18,000 fans 14 and younger"
9/30/09,Royals,"Limited Edition TY  Beanie Buddy  Night 1st 10,000 fans 14 and younger"
9/8/10,Orioles,"Promotion ItemPresented By New York Presbyterian Hospital | 1st 18,000 fans in attendance"
9/21/10,Rays,"Snoopy Yankees Doll NightPresented By MetLife | 1st 18,000 fans in attendance"
9/22/10,Rays,"Poster NightPresented By Catch 24 Advertising | 1st 18,000 fans 14 and younger"
9/23/10,Rays,"Knit Cap NightPresented By Starter | 1st 18,000 fans in attendance"
9/2/11,Blue Jays,"Poster NightPresented By Catch 24 Advertising | 1st 18,000 Guests 14 and younger"
9/3/11,Blue Jays,"Student Binder DayPresented By Turkey Hill | 1st 18,000 Guests 14 and younger"
9/4/11,Blue Jays,"Calculator DayPresented By Sharp Electronics | 1st 18,000 Guests 14 and younger"
9/5/11,Orioles,"Hand Sanitizer Keychain DayPresented By New York Presbyterian Hospital | 1st 18,000 GuestsFamily Game Ticket Special | More Info "
9/6/11,Orioles,$5 Games Ticket Special | More Info Tuesday Night Games Ticket Special | More Info Family Game Ticket Special | More Info 
9/7/11,Orioles,Family Game Ticket Special | More Info 
9/19/11,Twins,$5 Games Ticket Special | More Info Family Game Ticket Special | More Info 
9/20/11,Rays,"Snoopy Yankees Doll NightPresented By MetLife | 1st 18,000 GuestsTuesday Night Games Ticket Special | More Info Family Game Ticket Special | More Info "
9/21/11,Rays,"Water Bottle DayPresented By Schick Quattro | 1st 18,000 GuestsFamily Game Ticket Special | More Info "
9/22/11,Rays,"License Plate Frame NightPresented By Avis | 1st 18,000 Guests 21 and older"
9/24/11,Red Sox,Roger Maris 61st - 50th Anniversary Tribute (Ceremonies begin at 3:20 p.m. ET) | More Info 
9/25/11,Red Sox,"Limited-Edition Yankee Stadium Exclusive Ty  Beanie Buddie  named Hope to recognize Childhood Cancer Awareness MonthPresented By DKNY | 1st 10,000 Guests 14 and younger"
9/1/12,Orioles,"Student Binder DayPresented By Turkey Hill | 1st 18,000 Guests 14 and younger"
9/2/12,Orioles,"BBQ Apron DayPresented By Stop & Shop | 1st 18,000 Guests 21 and older"
9/14/12,Rays,"Yankees Plastic Mug NightPresented By Budweiser | 1st 18,000 Guests 21 and older"
9/15/12,Rays,"Limited-Edition Yankee Stadium Exclusive Ty Beanie Buddy DayPresented By DKNY | 1st 10,000 Guests 14 and younger"
9/19/12,Blue Jays,"Snoopy Yankees Bobblehead NightPresented By MetLife | 1st 18,000 Guests"
9/20/12,Blue Jays,"Limited-Edition Miniature Collectible Ford Fusion NightPresented By Ford | 1st 18,000 Guests 14 and younger"
9/21/12,Athletics,"Poster NightPresented By Catch 24 Advertising | 1st 18,000 guests 14 and younger"
9/22/12,Athletics,"New York Yankees Halloween Jack O' Lantern Stencil DayPresented By Party City | 1st 18,000 Guests"
9/23/12,Athletics,"Fan Ring DayPresented By Manfredi Jewels | 1st 18,000 Guests 14 and younger"
9/1/13,Orioles,"Yankees Drawstring Backpack DayPresented By Kumon | 1st 18,000 Guests 14 and younger"
9/2/13,White Sox,"Limited-Edition Yankee Stadium Exclusive Ty(R) Beanie Ballz(TM) Day1st 10,000 Guests 14 and younger"
9/3/13,White Sox,"Yankees Sunglasses Case NightPresented By Dominican Republic Tourism | 1st 18,000 Guests"
9/4/13,White Sox,"Yankees T-shirt NightPresented By SATO | 1st 18,000 Guests"
9/21/13,Giants,"New York Yankees Limited-Edition Ty(R) Beanie Buddy(R)Presented By DKNY | 1st 10,000 Guests 14 and younger"
9/22/13,Giants,"Mariano Rivera ""Thank You Fans"" PhotoPresented By Yankees Steiner Collectibles | All Guests"
9/24/13,Rays,"Mariano Rivera Bobblehead NightPresented By AT&T | 1st 18,000 Guests"
9/25/13,Rays,"Yankees Charlie Brown Bobblehead Night - 2nd in a seriesPresented By MetLife | 1st 18,000 Guests"
9/9/14,Rays,"Yankees Lucy Bobblehead Night - 3rd in a seriesPresented By MetLife | 1st 18,000 Guests"
9/10/14,Rays,"Yankees Old School Pennant NightPresented By Goldenberg's(R) Peanut Chews(R) | 1st 18,000 Guests"
9/18/14,Blue Jays,"Yankees Knit Cap NightPresented By WFAN | 1st 18,000 Guests"
9/21/14,Blue Jays,"New York Yankees Limited-Edition Ty(R) Beanie Buddy(R) DayPresented By DKNY | 1st 10,000 Guests 14 and younger"
9/22/14,Orioles,"Yankees Knit Texting Gloves NightPresented By Starter | 1st 18,000 Guests"
9/5/15,Rays,"Yankees T-shirt DayPresented By BASF | 1st 18,000 Guests"
9/7/15,Orioles,"Yankees Luggage Tag DayPresented By Dominican Republic Tourism | 1st 18,000 Guests"
9/8/15,Orioles,"Yankees Old School Pennant NightPresented By Goldenberg's (R) Peanut Chews (R) | 1st 18,000 Guests"
9/9/15,Orioles,"Yankees Peanuts Bobblehead Night - 4th in a seriesPresented By MetLife | 1st 18,000 Guests"
9/12/15,Blue Jays,"Cap DayPresented By WFAN | 1st 18,000 Guests"
9/13/15,Blue Jays,"Alex Rodriguez 3,000th hit pre-game ceremony"
9/26/15,White Sox,"Limited-Edition Yankee Stadium Exclusive Ty(R)  Beanie Ballz TM  DayFirst 10,000 guests 14 and younger"
9/27/15,White Sox,"Limited-Edition Yankee Stadium Exclusive Ty(R) Beanie Buddy(R) DayFirst 10,000 guests 14 and younger"
9/8/16,Rays,"Buy TicketsYankees Peanut Bobblehead Night - 5th in a seriesPresented By MetLife | 1st 18,000 Guests"
9/5/16,Blue Jays,Buy TicketsMasterCard $5 Game
5/2/09,Angels,Inaugural Season Cap DayPresented By H&R  Block | All Fans
5/15/09,Twins,"Inaugural Season Collectible Cup NightPresented By Premio Foods | 1st 25,000 fans in attendance"
5/16/09,Twins,Cap DayPresented By Hess | All Fans
5/17/09,Twins,"Inaugural Season Bat DayPresented By Bank of America | 1st 10,000 fans 14 and younger"
5/19/09,Orioles,"Dunkin' Donuts Gift Card NightPresented By Dunkin' Donuts | 1st 18,000 fans 21 and older"
5/20/09,Orioles,"Cap NightPresented By Canon | 1st 18,000 fans"
5/24/09,Phillies,"Umbrella DayPresented By J&R Music and Computer World | 1st 18,000 fans 21 and older"
5/15/10,Twins,Cap DayPresented By Hess | All Fans
5/19/10,Rays,"Dunkin' Donuts Gift Card NightPresented By Dunkin' Donuts | 1st 18,000 fans 21 and older"
5/10/11,Royals,$5 Games Ticket Special | More Info Tuesday Night Games Ticket Special | More Info Family Game Ticket Special | More Info 
5/11/11,Royals,Family Game Ticket Special | More Info 
5/12/11,Royals,$5 Games Ticket Special | More Info Family Game Ticket Special | More Info 
5/23/11,Blue Jays,$5 Games Ticket Special | More Info Family Game Ticket Special | More Info 
5/24/11,Blue Jays,"Yankees Grass Seed Planter NightPresented By Scotts | 1st 20,000 GuestsTuesday Night Games Ticket Special | More Info Family Game Ticket Special | More Info "
5/25/11,Blue Jays,Family Game Ticket Special | More Info 
