"","X","user","review"
"1",0,"Jojo","I've read this book several times. It is one of the most readable pieces of great literature. The story is compelling on a very simplistic level, but the there are many layers to the novel. When I read this for the second time in college, I remember thinking, this story reminds me of the television series Columbo. The detective who plays dumb, the perpetrator of the crime who feels superior to the detective, etc. I thought I was so clever to make this leap between literature and popular culture. Much later I found out that Columbo was based on the novel. So much for great insight."
"2",1,"Andreas","Hätte ich mir nicht endlich dieses großartige Buch vorgeknöpft, hätte ich in meinem Leseleben wirklich etwas verpasst."
"3",2,"Evelyn H","When I first started reading this book, I was rather unimpressed. But as the story progresses, and the character's inner dialogue is further revealed, it was hard to put down. Overall and excellent investigation into the heart of humanity."
"4",3,"Leah","Amazing character development. You can see inside a person's mind and feel a normal man grow insane. Unsettling at first, as its supposed to be, but utterly amazing. One of the best books I have ever read. "
"5",4,"Zeynepnur Cavcar","5 yıldızın bile yeterli olduğunu sanmıyorum"
"6",5,"Burak","Crime and Punishment is one of my favorite classic ever! I am still not sure about why this one has impressed me so much. Most probably it is because Dostoyevski has really been aware of what human psychology is like, and he has the gift about how to voice it.I'm asking to the ones who has read this masterpiece, who has put himself in Raskolnikov's place, while reading? I bet everybody did! Why? Because you just don't read it, you feel the plot, story, place...everything. Dostoyevski is a great writer ever."
"7",6,"Matar Mohammad","دستوفسكيبأي شيء أعلقترفع لك قبعات جويس و هسه و ييتس و رامبو"
"8",7,"Jeff Bai","Crime and Punishment was recommended to my by many in the Mikkelson AP Literature class this year. Having felt strange for having read so much science non-fiction and science fiction, I decided to delve back into the literary mainstream. Here's what I thought of this work by Fyodor Dostoyevsky.Crime and Punishment was a unique novel, poignant in its timeliness and portrayal of 19th century Russia, but also oddly relatable to modern destitution and poverty. When considering the title of this work, we think logically about the natural transition from crime to punishment, the latter dealt out by law enforcement. However, for protagonist Rodion Raskolnikov, his crime stems from the fact that he believes himself to be capable of dealing with a murder mentally, and his punishment results when his conscience gnaws at him in the coming investigation.Often when reading books where the writer attempts to project his own ideals or vignettes of his own ideas onto the characters, the reader must understand the context and the background before being able to understand the subtle (or sometimes overt) meaning behind the characters' actions. However, with Crime and Punishment, Dostoyevsky is able to show his ideology and his thoughts without further investigation. For example, in Part II, Chapter I, Raskolnikov experiences ""something never before experienced"", that it was ""no longer possible to address [the] people in the police station"", reflects the isolation felt by Dostoyevsky himself during those years and how it could be a catalyst for things such as murder (2.1). For those who know that Dostoyevsky spent many years in exile in Siberia, this is definitely a prime example of his ideas coming out in the pages he wrote.In the epilogue, the sixth and final part of the book, Raskolnikov's love for a certain person is finally realized by that person. There was ""no doubt that he loved her infinitely, and that at last that moment had come"". This signifies redemption for the protagonist, and perhaps redemption for the author as well. The novel, published in 1866, was written only a few years after his time in Siberia. Perhaps, through this book, Dostoyevsky is simply putting on paper his thoughts, his dogma, his ideals.In the end, I found this to be an enjoyable book. Although I have reservations about the epilogue and whether it truly makes sense/is worthy when compared to the novel, I was glad to be able to digest and read into this classic. "
"9",8,"Victoria Rego","thought provoking and intense"
"10",9,"Michelle Smith","This book is a masterpiece. I found myself rooting for an ax murderer. Nearly as good as Anna Karenina (where I found myself cheering on the adulteress). Russians know how to write. That was a quick 950 pages."
"11",10,"Matthew Dunn","If you can swallow Russian literature, there is much wisdom waiting to be unearthed in this novel."
"12",11,"Vince","Time to give this another go. Having read it many years ago (high school?), I remember only the general outlines and the trouble I had keeping all the characters straight because they each had so many different names! This particular translation is highly regarded."
"13",12,"Joseph Devon","My reading of Crime and Punishment was the start of what I hope to be a revisiting of numerous Russian classics. I read all the big guns (barring War and Peace) many years ago and, quite frankly, got NOTHING out of them. I was confused, bored, confused, unable to wade through the thick writing, confused and, lastly, confused. I should probably address my confusion. I am, in real life as well as in art, an absolute clod at handling peoples' names. And it is common in the writing of many languages for characters to be referred to with various handles. In Russian you have the complete name, the last name, and the familiar name all interchanged willy nilly. So your main character will be Raskolnikov for the first ten pages and then suddenly someone named Rodya will be addressed. And you're supposed to know with zero instruction that this is Raskolnikov's nickname, or familiar address. Which is fine. I shorten Elizabeth to Liz or Thomas to Tom or Richard to Dick (though I've never understood that last one). But when it's a nickname for a giant name in a foreign language that I hadn't grasped much to begin with and has very little to do with the original name and there is zero hand-holding given...well I get lost. Combine three names per character with 12 or 13 main characters and for me it's a complete cluster-f**k of proper nouns that I have a hard time keeping straight. Ten years ago I was lost, now I managed to keep my head in the game and sort out what name referred to whom with, for me, shocking accuracy. I know that seems like a terribly superficial thing to dwell on, but nothing has effected my ability to enjoy Russian literature more than this. And I'm not saying it should change, again, this is standard fare for many languages, but man does it make for some rough going. Okay, that's out of the way, now onto the book. The book is awesome. Somehow I missed this ten years ago. It's a brilliantly gripping story of murder told mainly through the eyes of the murderer. Raskolnikov's madness and rambling thoughts are beautifully painted as well as his struggles during lucid moments to come to terms with what he actually believes. This struggle takes place amid tons of philosophical ramblings from all the characters. But the philosophies discussed were only barely overwritten (I generally have little patience for authors who let a character take ten pages to pontificate on their personal philosophy...a few sentences, sure, but I've never been out drinking and heard anyone talk for twenty minutes straight about the nature of man. It just doesn't happen and whenever I catch an author doing this it pulls me out of the story). The cast of characters were interesting, the numerous subplots of blackmail, coercion, love and desperate attempts to cling to the past were all fascinating. Not to mention you get a very interesting twist on the classic Who-Done-It here where...well you *know* ""Who Did It."" You watch him do it. And yet the book manages to keep the police investigation interesting and believable as well as cast just enough doubt on what on earth actually happened due to Raskolnikov's somewhat unreliable viewpoint. And then, after all of this, at the end, you are suddenly given just a stunningly beautiful affirmation of humanity and love that came so out of nowhere yet had a perfect foundation under it that I got chills up and down. I can't wait to read this again in ten years...maybe even less...depends on how long War and Peace takes me."
"14",13,"Keith Steinbaum","Crime and Punishment is a must-read. I first read it many years ago, but I still often go back to it when I don't have any books to read at the moment. One of the many things that I liked about this book is how the characters were molded. Each of them has their own philosophy in life, and I believe that's something that we all should learn from."
"15",14,"Tom Marcinko","I've read this novel four or five times, and IMO the Pevear/Volokhonsky translation is the one that rocks the hardest. If you're reading Dostoyevsky for the first time, this is the novel to start with, and this edition is worth springing for."
"16",15,"Bree","I feel I read this book at the improper time. I was forced to read it for a class over the summer in high school and did not enjoy it. I feel that if I were to re-read it today I would love it for the brilliant piece it is."
