"","X","user","review"
"3",2,"Amany Shams","جابتلى شلل طيب روايه فيه ايحاءات جنسيه كتير وعجوز عنده ميول جنسيه للمراهقات ماشى هنعديها لكن ليه تتشهر كده وكمان تيبقى من احسن الروايات ايه المغزى يعنى منها "
"4",3,"Catherine Morozova","Я не понимаю, зачем читала эту книгу и зачем дочитала ее."
"5",4,"Annette","I read about 75 pages and had to quit on this one. It's just too much when you have a 12 year old daughter to read about a dirty old man trying to romance a 12 year old. I just couldn't do it, classic or not."
"9",8,"AndreaZ","Disturbing. Same review for Love in the Time of Cholera. Why do people like these books about perverted old men sexually molesting teenagers? "
"11",10,"Casey","I just don't get it. Why was this so popular? I could barely stomach it and a quit 1/2 way through. "
"16",15,"Matthew Jackson","My review is on my blog:https://matthewejackson.wordpress.com..."
"23",22,"GM","لأنها مبتذلة، وشاذة، وحقيقية.. اكتسبت شهرة واسعة في العالم، لا أجد تفسيراً غير هذا !!! أشعر أنني خُدعت، أعتقدت أنها قصة حب بريئة بين شخصين يعوق اكتمالها تباعد العمر. قرأت شيء من هذا القبيل في أحد المواقع. ومع ذلك أريد أن أوضح إنني لست من عشاق القصص والروايات الرومانسية لكني اخترت هذه لمعرفة التبعات التي ستؤول إليها القصة بسبب هذا العائق. كان تخميني خاطئ بالطبع، لم تكن الرواية كذلك بل تخطت الرومانسية للقرف. لم أتوقع أن تقع بين يدي رواية كهذه التي خرقت كل الخطوط والمبادئ والأعراف الإنسانية والدينية. أصابتني بالغثيان حيناً وأرعبتني حيناً آخر من شدة الإجرام في هذه الرواية.بإختصار تحكي قصة شاذ جنسي يحب الفتيات الصغيرات عموماً. يؤثر هذا الحيوان الطاعن في السن أن يشبع رغباته الجنسية مع طفلة في العاشرة من عمرها مثلاً على إمرأة ناضجة.ما يؤسفني حقاً هو استمرار نوع هذا المريض النفسي وعدم انقطاعه من مجتمعاتنا، فنجد أخبارهم تملأ الصحف؛ هذا هتك عرض طفلة ما، والآخر يتحرش بإبنته وغيرها من القصص التي يشيب لها شعر الرأس. أنهيتها بصعوبة بالغة لما فيها من لحظات باعثة للإشمئزاز والإنحطاط الخُلقي.وللتذكير: أنصح كل أم وأب له طفلـ/ ـة أن يوفر لهم سبل الحماية الممكنة تفادياً لحالات التحرش من الغرباء، ومن الخطر الكامن الأشد ضرراً من الغرباء وهم الأقرباء. حمى الله أبناء المسلمين والمسلمات من أي مكروه. ***نعم لا أنصح بها أحداً البتة."
"24",23,"Megan Ammer","I admit that I went into this reading with expectations and a little bit of hesitation. I knew the basic plot and controversy surrounding the novel, but tried to keep an open mind in addition to sitting aside basic opinions in order to comprehend this particular story. Unfortunately, due to my moral integrity or frustration, or something of the sort, this novel was extremely hard for me to enjoy. It took a while to reach a halfway point and I found myself struggling to the end. I didn't take to any of the characters; I found myself annoyed with the lot. I guess I felt sympathies for Lolita, at least enough to recognize that her situation was sexual abuse and kidnapping and to want Humbert to pay for all crimes committed, but I didn't like anyone enough to care much for the story. I suspected that much, anyway, before starting the story, but had hopes that the writing or some underlying hatred for Humbert would change my mind. Neither shone through, however, and the writing was just as hard to muddle through as the content. The language used is so juvenile, with euphemisms for sexual terms that made the whole narrative overwhelmingly awful. The language was too puffed up in order to disguise his criminal activity and too much time was spent trying to convince me that Humbert wasn't such a bad guy. The author, Nabokov, presented depictions of Humbert as a caretaker, loving father figure, and regular guy that failed over and over again as he continued to be the villain of this story. No amount of money spent could erase his flawed personality or bad narration. The only thing that kept me reading the novel was his incarceration, and even that doesn't end in death. I felt cheated when Humbert lives and Lolita gets killed off after living in squalor because she was forced to depend on Humbert for a childhood that taught her nothing but made her the sole victim. I despise Humbert and this story is just nothing but a terrible confession of a pedophile. I tried so hard to use outside material to better understand the story but could not agree with anything scholars had to say and found labels like ""comedic tragedy"" or ""erotic"" almost harder to deal with than the actual novel. "
"37",36,"Vanesa","Sigo sin ver la parte sensual y sexual que describe el autor."
"38",37,"Chris Watson","I understand this was a brilliant book, but, sorry it was just __too__ __bent__! I read it a long time ago and I _don't_ recommend it. He puts you _way_ too far into a perverts mind..."
"43",42,"Ellie [The Empress]","I may have been too young when I attempted to read this, we'll probably never know. Unless there is an apocalypses and shortage of books to read. "
"49",48,"Hope Rike","I couldn't get into this book, I tried, I really did but in my opinion it's basically about a pervy pedifile"
"52",51,"Nathan Schwartz","How, dear reader, shall I try and delve into the mysterious appeal of this overwrought compendium of strained metaphors and pretentious vocabulary into which I dove like a struggling child forced to learn to swim by an overbearing father, only to find the pool filled with tapioca. Such is the love for this sad little work that I am filled with trepidation at the chorus of disgust this review will surely evoke among simple minded readers; those who do not understand the harlequin longing for sentences that end without four or five parenthetical asides or a story that can be enjoyed without triggering the gag reflex on every page. Oh, the plot of the novel. The globules of gonadal glow. The grasping at the very the depths of distaste like a gynecologist feeling a tumor.Some, I have heard, justify subjecting unsuspecting diners at the binge and purge of a 1945 thesaurus strewn about this wretched story by suggesting the intent is satire. Someone may wish to remind them that satire is used to excuse everything, but in the end it excuses nothing, and subjecting me to this repellent story and then calling it satire is as clever as punching someone in the face and yelling “slug bug red”."
"54",53,"Rebecca Rogers","I could not even finish it; it was so disturbing. What made this book a classic? I get that the writing was great but the thoughts behind the writing are disgusting. As a relatively new mom I just couldn't deal with his description of his horrible manipulation of a mere 12 year old child. "
"59",58,"Ginger","Terrible--could not get through it!"
"64",63,"محمد على عطية","قرأتها بدافع الفضول لأعرف لم هي (رائعة نابوكوف)...و لم أجد هذه الروعة!"
"65",64,"Emarr99aol.com","Who in their right minds likes Humbert and thinks Lolita is a temptress? And talking around saying something without actually saying it does not automatically define ""witty writing"" as I've seen in other reviews. It was a sick story. I can't remember one thing I liked about it. "
"67",66,"Koz","There's no doubt Nabokov can write. But I couldn't deal with the content for many reasons. I wanted to appreciate it, but I couldn't muster it up."
"68",67,"Toreisii","The fictional memoir of a pedophile who preys on a young girl named Lolita. I found this a tough novel to slog through with its overindulgence of French phrases (which I cannot read) and minutiae. It also left me emotionally numb, as if I had listened to a very long and boring lecture."
"70",69,"Hannah Glenn","I know it's a metaphor but it made my skin crawl too much to get through the second chapter. I skimmed over the rest, thinking it might get better. It doesn't. "
"76",75,"Juna","read this for romantic love literature class at bryn mawr and hated it. its about pedophelia the whole class was like disgusted. i mean really i hate to be judgemental but its just hard to find the beauty in overt rampant abusive destructive pedophelia and child molestation. but i guess it was appropriate; it was 'romantic' in the sense that it describes a mutual seduction of two people"
"77",76,"Kate Richardson","Not even well written enough to distract from the subject matter."
"81",80,"Priya","DNF . Too slow a pace for me to read it till the end . Took me a month to just get half the way . Giving up on it ! "
"82",81,"Isaac Cooper","Lolita is the most pretentious book I've ever read. The characters are immensely unlikeable (even Dolores), the story is repetitive, and the pacing is so incredibly, mind-blowingly, preposterously slow it hurts my brain. But the way it's written! It's so beautifully written!No, it's not. Anyone can write flowery prose; they have a whole profession of it called 'poetry.' But even by poetry standards the flowery prose in Lolita is tedious, and overly-wordy. In fact, the prose becomes so obnoxious that it actually takes away from the story itself (not that there's much of one in the first place - a stepfather rapes his stepdaughter, there we go, that's the story). Almost every paragraph will be halted to draw a useless, pretentious metaphor for no other reason than because the author wants to. Prose is like cinematography in a movie. Sure, you can have really great cinematography, and it can be really pretty and well done and such ... but if it's not mixed in with an interesting, compelling story, and with conflicted and complex characters, it's just masturbation. In the end, that's what Lolita really is: artistic masturbation. There's no attempt to make us care about Humbert Humbert or Dolores Haze whatsoever. In fact, by the end of the novel, I despised both of these characters and wished them nothing but ill will. I'm not saying the subject matter is too transgressive, just that this particular novel handled it in the worst way possible. Flowery paragraph after flowery paragraph, I grew immensely bored with Lolita, and had no feeling other than annoyance to all the main characters in the story. Should I not feel the least bit of pity for poor Dolores Haze who is getting raped by her old stepfather every single night?Because in my mind, I really should feel empathetic to her, and maybe even toward Humbert Humbert, but I didn't, and I don't. I didn't feel anything. Nabakov's writing is so pretentious I can almost picture him standing over his typewriter, masturbating to it. "
"88",87,"Rejoyce","how did i manage not to realize what this book was about? horror. I am now scared to read any more russian authors. I feel dirty."
"90",89,"Melanie Chen","After everything I had heard about this book, I was really excited to sink my teeth into it (hot chocolate, blanket, and dictionary.com close by). Now that I've finished, I honestly don't know quite what to make of it...I didn't like it. But I didn't dislike it either. Hence, this awkward state of tension I've carved for myself.I think my biggest issue with this book (aside from the subject matter, of course) was that the language itself had its ups and downs with me. I thought the prose was breathtaking at points, especially when HH was describing Lolita, and downright unnecessarily difficult at others. Especially when the book turns into a detective cat-and-mouse chase, I got a bit lost in the turns of Nabokov's winding sentences. As a self-implemented rule, I don't reread books (because there are so many out there that I haven't even read once yet!) but perhaps it is just a testament to Nabokov's skill that I must say this: This book BEGS to be reread.Oh, please, for the love of all that is holy, Melanie Chen, please, some day, way far from now, reread this book. There are so many elusive references and gentle reminders and nudges of word play that you undoubtedly missed the first time around! Perhaps now was not the best time. Perhaps after a boyfriend, a marriage, or maybe even a child, but some day come back and give a second glance to these pages.(I am glad I finally got around to reading it though. Till next time, then.)"
"93",92,"Leasha","Achievement in literature? Yes. Creepy as all get out? Absolutely. "
"103",102,"Chelsea Hosford","I hated this book."
"110",109,"Irina Garaeva","I've read enthusiastic critics about this book and its deep ideas about love, importance of having the full family where parents really take care about children but - to tell the truth - I couldn't find any of these thoughts :( I've seen only vulgar story that sometimes is uncomfortable to read. Of course this is just my subjective point of view and I admit I didn't understand something - but no way I will try to reach the depth again, I won't re-read it, no-no-no!!"
"120",119,"Miranda","If I could give this a negative star, I would. This book just creeeped me out. The writing is wonderful, though. "
"123",122,"Lhagen","Worst book EVER."
"124",123,"Renee","Quite possibly the most bizarre and disturbed novel I've ever read."
"126",125,"Romesh","Definitely not my sort of book..."
"134",133,"Alison Annon","What. The. Fuck. "
"135",134,"Chi Chi","What a pretentious piece of crap."
"136",135,"Kate Rice","My passionate dislike of this book is legend amongst my long time friends. When an ex brought this book into my apartment one evening;he and I got into an epic argument about how over rated and depraved a book this actually is. The argument concluded with me tearing his much wanked over paperback copy of Lolita in half and throwing it out the window of my SF Chinatown apartment onto Clay Street.He's lucky I didn't light it on fire, too.Needless to say, the relationship didn't last much longer."
"138",137,"Shantadee Gadson","If I could, I would give it a negative star. I'm not interested in this book. Less then 15 pages and I don't care to read another page. The content is not for me!"
"140",139,"Shae/Shelver","Pretentious, boring, and fails to elicit anything other than disgust."
"143",142,"Marissa","I read it because it is considered a classic. It pretty much weirded me out though. "
