,user,review
0,Bailee,"The Catcher in the Rye, written by J.D. Salinger is about a teenager, Holden Caulfield, who is having troubles letting go of his childhood and maturing into a young adult. Holden doesn't feel like he fits in anywhere and that is what takes him on this journey to find himself. One weakness of this book is that the plot is not intriguing at all. There are no foreshadowing, no wondering what's going to happen next, and no cliff hangers. You get to hear the main character, Holden, talk about how miserable his life is over a course of three days. Another weakness of this book is that this novel is very slow with a story being told and then all of a sudden the main character is talking about something else that is irrelevant to his story. Overall, I would not recommend this book to anyone who is looking for a book filled with action, mysteries, or anything else in that matter. This novel is very boring and dull. You never really know how much a person can complain until you have read The Catcher in the Rye. "
1,Mary Ronan Drew,"What is all the fuss about this weak, juvenile novel? Second reading 10/10/2013The 22nd Avenue Book Club chose this as our November book and so I reluctantly re-read it. It's worse than I thought. I was tempted to write a parody review and all but it was just too goddamn easy."
2,Annabel,"I had to read this for my AP English Language class and it was the most pointless book ever. I honestly didn't care about his feelings and the book was going nowhere. The fact that I have to write an essay on this book is very UGH.If you're thinking about reading this book, dont read it(: trust me, I'm saving you from torture."
3,Mary-Anna,"I don't care how famous this book was, or if it was a classic, it was boring. The main character was dull, uninteresting, and annoying to listen ramble on. I could not manage to finish reading the small thing."
4,Leah,"No words can describe my hatred for this book. Just. urgh it's one of those books that you either love or you hate, and I hated it. "
5,Julie M,"YUK. I think I disliked this book even more on the reread (first read in mid 70's??). Guess I can't relate to the main character even though I know it's supposed to be a classic coming-of-age, teenage angst novel of its era. Doesn't age well IMHO."
6,Burak,"I would not want to be so judgmental on a literary work but I have never regretted reading a book in my life until I read this one. Total waste of time, highly overrated literary piece. Lack of style and plot. Nothing even remotely good about this book from beginning to the end."
7,Carrie Waibel,"Gosh, I just didn't connect with this one, but I would genuinely like to talk to someone who did. I'm thinking I just missed the boat."
8,Sthep Liar,"Tal vez un clásico, pero un fiasco para mí."
9,Annette,"Definitely one of the worst books I've ever read. ""This book should not be tossed aside lightly but hurled with great force"" - love this quote, but can't remember who said it."
10,Sammy Krupski,"I started to read this novel, but had to put it down. I feel bad for not liking it - because it seems so popular, etc. "
11,Eric DeVries,"I've heard people say this is one of their favorite books of all time, but I absolutely hated it. Holden Caulfield is almost unrealistically whiny, and since he narrates the entire book, reading The Catcher in the Rye is almost painful. The plot deals with Holden hopelessly struggling to connect with the various people around him, but he is too awkward and conceited to do it. He's also a complete hypocrite, complaining about ""phonies"" when he himself frequently acts like someone he is not. There's supposed to be some kind of social commentary in Holden's sniveling but I couldn't make myself care about it. Don't read this book."
12,Cheesekate,"Pourquoi n'ai-je pas aimé ? Peut-être parce que j'aurais dû lire en anglais, pour trouver moins insupportables les tics de langage de cet adolescent insupportable. Ma faute donc. La couverture annonçait ""phénomène littéraire sans équivalent depuis les années 50"", ça devait bien vouloir dire quelque chose.Sauf qu'il ne se passe pas grand chose d'intéressant, et que le moindre évènement inintéressant est forcément ponctué des milles défauts de langage de Holden Caulfield, celui que je ne me résous pas à appeler le héros tant il est antipathique. En approchant de la fin, il regagne un peu de mon affection, ou de ma pitié plutôt. Et on me donne un peu l'espoir que la fin va en valoir la chandelle. Mais non.La fin m'a laissée comme l'ensemble du livre. Et je n'ai pas d'adjectif approprié qui me vient..."
13,Chris Heathcote,"It was a horrible book, it really was. The whole time I was reading it I couldn't wait for the end so I would no longer have to read it. By the end I was hoping he would just end his life. "
14,Yilin Wong,"It's such a famous book and I have people recommend it to me. But to be honest I'm not impressed at all. It was interesting when he first started talking about phony and nice, but after reading them so many times I just get tired.It could be that I'm not in high school any more so that I can't enjoy it. But still I'll say that I think The Diary of a Part-Time Indian is a way better book than this one,I won't recommend it."
15,Kristi Wyatt,"I read this book several years ago and didn't really follow it well. I know it is a classic, but classics often don't resonate with me for some reason. "
16,Tag Riggs,"This is a book about self indulgence. A boy who thought the world revolved around him and we, the readers, were forced to listen patiently to his vents. No wonder Salinger became a recluse after writing such a book."
17,Lily Pollard,"While I understand that this book is seen by many as a ""cultural classic"" and continues to be taught in English classrooms commonly, I have never been so bored reading anything. Yes, there's symbolism and teenage angst and rage. Got it. But the style lacks anything other than an ability to ""connect to readers"" for which it has been so often praised. It is not poetic, it is not profound, it is hardly even descriptive. Maybe I'm too old to read this book and connect with its angsty protagonist, or maybe I'm not old enough to connect to the things that he complains about throughout the whole novel. "
18,Mith,"A friend recommended this book to me one day, assuring that it is “an amazing book” and that it would “change my life”.It isn’t and it didn’t.To be fair, this book deals with teenage issues, like angst and rebellion, and I was way past all that when I read it so maybe I wasn’t able to relate to it better.The book follows the story of the main protagonist, Holden Claufield, who gets expelled from his school, packs up and runs away to New York in the middle of the night, instead of returning to his parent’s home as he’s scared of what they might say. He then spends three days there, going dancing with complete strangers and employing the services of a prostitute just to get rid of the loneliness he’s feeling.He eventually sneaks back home to talk to his little sister, Phoebe, whom he adores and who is the only person in the world he can “talk” to. While there, he shares a fantasy with her about him wanting to become the guardian of a group of children playing in a rye field at the edge of a cliff and catching them when they get too close to the brink – a Catcher in the Rye.The rest of the story is about Holden meeting his old English teacher, Mr. Antolini (who offers him advice on life - “A weak man is willing to die for a cause but a strong man lives humbly for one.”) and then deciding whether he wants to go back home and “face the music” or not.Even though the book has its moments, I’m not too sure of the message it is trying to send through. Holden is portrayed as a cynic who just about mistrusts every adult and labels each as a “phony” as they are “very superficial and are ""full of pretences”. He always sees something bad in everybody and is shown running away from his fears instead of facing them.The entire book has a very bleak and depressing tone to it and I would not recommend anybody to pick it up when they are already down as it will just push them over the edge (A mistake I made). Worth a read for anyone going through or trying to understand “teen angst” but it is definitely not my cup of tea."
19,Amber Jones,"My birthday present to myself is to give myself permission to not finish this book. I normally push thru to the end, but I just can't do it. This book is pointless and torture. If my children come home and tell me they have to read this book, I will happily buy them Clif's Notes and send them on their way. Happy Birthday to me--Catcher in the Rye--you are going back to your owner tomorrow to no longer grace my nightstand. I fare thee well!"
20,Andres Pasten,"A lo mejor es de gusto de los criticos. Para mi fue la historia de un pelmazo de buena cuna y pocos amigos, o sea alguien que lo tuvo todo y eligio tirarlo por la ventana, mientras narra sus aventuras mentales. Una lata."
21,Maureen,Sorry...
22,Hien,Maybe because I am 35 years-old but I thought this book was very frustrating and boring. Holden to me was a bored rich boy that complained about everything and everyone. I could not help but want him to fail so that he can realize how good he had it. I know there are some teenagers that can relate to Holden's feelings and thoughts. But i just hope they are going through a phase and will snap out of it when they grow up. 
23,Noha,It was totally useless to read this novel. I do appreciate the confusion which Holden is in (I could relate to it myself)but it was boring and mere. I did not feel even any sympathy for him. I would not recommend it. P.s: my ignorance in literature is more than my knowledge so you ought not to depend totally on my opinion and to check others :) 
24,K.C. Beaumont,"I uncovered a copy of this book while cleaning out a spare room and recalled reading it in HS. As it turns out, I was mistaken. Also, I gave up on it.I realize it's a telling of breaking out of the ""respectable young man"" mold and even helped pave the way for the anti-Vietnam War movement, but I did. Not. Like. It. Holden Caulfield annoyed the crap out of me, and I struggled to find any redeeming qualities in the boy. Of course, he could have very well redeemed himself later in the book, but I didn't care enough to find out. "
25,Hank Davis,"Classically shit. Even more boring than Hemingway's laziest drunken scrawls. Had to force myself to finish it. Much like eating Brussel sprouts, but alas there is no dessert to follow....also responsible for giving us wide use of the incredibly crap word; phoney."
26,Sushi ♥,"You know what they say, there are only two kinds of people, those who can understand and love Caulfield and those who can't and abhor him.I unfortunately am one of those people who can't stand him or this book. "
27,Thomas,"Cards on the table: I listened to the audio book version of this. I'm really glad I did, because I'm pretty sure attempting to read it would make me pluck my eyes out. At least I managed to do things while being bored senseless. Everything this kid does is boring as shit. Somehow - and I think this deserves a round of applause - he manages to make hiring a prostitute boring. ""What I really felt like, though, was committing suicide"". I wish you would, Holden. I wish you would so you'd shut the fuck up."
28,Krissy Rusnok,"Rarely do I ever find a book that I generally dislike. Very slow. Only enjoyable part of the book was at the end. Being an adolescent has its battles but Holden refuses to care about anything, school, friends, the future. There is no reason for this. Just is. "
29,Courtney Leigh,"Not exactly sure why this is a classic. I read it in high school, and I could never connect to Holden or his story."
30,Lesa,"It appears that this is one of those ""love it or hate it"" books and, sorry to say, but I didn't like it and had to force myself to finish it. The kid was so annoying! Such a self-centered drama queen. I couldn't find any redeeming qualities about him. And I didn't care for the language. The GD word every sentence got old REALLY fast. I can't say that I regret reading it, as it is a classic and now I know what it's about, but I won't be reading it again."
31,Sara W,"I hated this book when I read it in high school. I suppose I could give it another try, but it just seems like a waste of time."
32,Paul,"I had to read this book sophomore year in high school, and I can honestly say that I have no idea why we studied it or why its studied at all. The characters, especially the main character, were all annoying and a pain to read. "
33,André,"I hated this book and I still do. Holden's character is badly presented and not authentic at all. The story is boring and pseudo-pubertary. Boring. Even worse when we had to read it again in English, a few years later."
34,Sandy,I read this in high school...many years ago. I was surprised when my daughter also had to read it when she was in high school. I though it was boring and difficult to get through back in high school...my daughter thought the same thing when she was required to read it.
35,Arielle,"This was a terrible book? Why is it a classic? 200 pages of a spoiled rich kid complaining about how phony everyone else is, when he's just as bad as them? He doesn't appreciate what he has -- not my type of book. :("
36,Melisa,"I did not like this book at all. It was all the time depressing and weird. Nothing funny, nothing witty. Full of swearing and thoughts about killing. And I mean - what was the point of it? Really? If there was some kind of message, then i certainly did not get it. I just read more than 200 pages from a guy who is just an idiot. Seriously. I am very disappointed. (Remember that this is my opinion, and if yours is different, then thats completely normal)"
37,Avel,"I don't see the appeal of this book at all. It's an angsty kid roaming around getting drunk, smoking and judging everyone. There was no plot."
38,Philippe Malzieu,"A cult book venerated by generations. However not for me. I never managed to read it. However God knows how many time I try to read it. Everyone has book which resist to him. Often it is Proust or Joyce, for me it is Salinger. I do not explain. Can be the reality of the campuses so stranger for me.I will try again."
39,Dan Porter,"I think Holden is supposed to be a phony. I think that's kind of the point, that's he's so oblivious to his own problems because he's focused on everyone else. In a way Holden's phoniness is part of his obsession with innocence and Allie's death. Holden gets so upset over Jane going out with Stradlater, and the real reason he wouldn't sleep with the prostitute, and why the grafitti in the museum makes him so mad, and a hundred other little things in the book. Holden wants to protect the innocence of everyone around him, and he's mad at people who have already lost theirs, and he's mad at people who try to take it from others. But Holden himself is no longer innocent, and if he's honest with himself then that means he has to deal with the fact that he doesn't live up to his own standards. However, if Holden has to worry about fixing himself, he can't devote his time to protecting Pheobe and the others, so it's easier for Holden to deny his own problems and worry about everyone else. Holden's realization at the end with the carousel and allowing Pheobe to try to grab the ring is important not just because it symbolizes Holden letting go of Allie, or realizing that he can't protect Pheobe forever, but also because if opens the door for Holden to focus on himself."
40,Chad Ponton,"I picked up a copy of this book, simply because I have never read it. It took me almost 6 months to slog through this mess of a novel. The main reason I did not like it, was that he came across as a spoiled little rich kid, who is mad at the world simply because he has to grow up and be something.I am in my mid 30's, and was raised in a small family. There is a possibility that my upbringing may have influenced my opinion. We were not rich, but money was tight, and there were a lot of things I wanted - but never 'needed' any true necessities. After finally finishing this book, I gave it away to the local library. "
41,Tigertiger,"This book is the absolute worst thing that I have ever read and will ever read. I WISH I COULD GIVE THIS BOOK NEGATIVE STARS.I read this book for my ninth grade English class. My teacher got all my classmates hyped about this book but I was unimpressed. It is just about Holden's annoying and pointless complaints about everything. He goes to bars and calls up a prostitute. Holden does absolutely nothing constructive and I hated it. I wanted to strangle him the whole and it pained me to find that there were still pages left to read.J.D. Salinger had no writing skill at all. I think that my first grade cousin could write better than this. Every two words was a curse or phony. I didn't Holden relatable at all, except for maybe a drunkard. My teacher would always say how much she adored this book to my class and they agreed. This is the first book that I have really and truly hated with all my heart. This book is an insult to all books known to man and I will never recomend this to anyone,anywhere. "
42,Matthew,Didn't understand why it drove Mark Chapman to shoot john lennon! Admittedly i read it a long time ago when i was a mere boy!
43,Julie Ann,"Why so bitter, Holden. You can't go on life judging everyone. This is what I think about this book. :( I tried, though. I tried liking this book, but maybe not now. :/"
44,Samantha Williams,"Honestly, I found the book to have no good clear direction. Most of the time I sat there wondering where the heck it was going. I dreaded reading it because it was so aggravating to watch Holden act so stupidly, which ultimately led to my procrastination of reading the book. I looked forward to finishing it and just being done with it. I know that it's a classic and that many people love it, but it just doesn't appeal to me."
45,Kailee Shaw,"Bar hopping and kicked out of school Holden finds himself stuck in The Catcher in the Rye by J.D. Salinger and I did not like it. It was a very quick read. I liked that the main character is very honest from the first page to the very last page. Holden was a very weird person but I think it made the book better than if he was just a normal guy. After getting kicked out of school he spends what seems like forever going to different hotels and bars trying to decide what he is going to do with his life. Run away and go west or go home to his sister Phoebe? He only had a couple days to decide what he was going to do before he was expected to be home for Christmas break. I didn't like that the plot jumped around a lot, it made the book kind of hard to keep up with. It reminded me a lot of the book Perks of being a Wallflower. Both Charlie and Holden are trying to figure out what to do with their lives and resort to getting help. I would recommend this book to people that have read Perks of being a Wallflower and liked it or someone that is just looking for a quick read. "
46,Shahrin,"I hated this book. I hate the main character, there was no real resolution in the ending. I hate. This book."
47,Jinx,"It's been quite a while since I really hated a book and the main character… But this book actually got me pretty fast to the point, where I was asking myself after every page why I keep reading that book… My Dad read it about two years ago in the German translation. I read the first two pages of that edition and liked it… Can't imagine why now… I put it on my to-read list after that and read it in the English original (because I don't read translations of English written books.) When I started to read it I didn’t know what it was about. Well… the storyline is very simple. Holden Caulfield is a teenager, who just got kicked out of school again and can't get his life together. For him everyone is a phony. He is constantly bugged about everything… The book covers only a few days. He constantly screws everything up. He buys a record for his little sister and breaks it. He has a date with a girl he doesn't actually like but he declares his love anyway. He delays to tell his parents about him being expelled. Like it makes a difference… Just to name some… I probably couldn't remember everything even if I tried, because my thoughts constantly drifted away. I didn't like the writing either. The way it was written just bothered me. He constantly repeats the same phrases like ""that just killed me"". It would be a good book if he actually got killed all those times… "
