"","X","user","review"
"3",2,"Rob Roy","A must for all leaders"
"4",3,"Galileo Martinez","Social behavior explained, the only way to overcome fear of doing, is by knowing, because we only fear what we don't understand"
"5",4,"Lear","Loved the book, Dont waste your time with the audio book, very blah."
"7",6,"Chandra Duncan","It's just a classic... must read for everyone, I made my teenagers read it too."
"8",7,"Sean Alesi","A classic; most of it isn't useful in today's world but still interesting. Not very long either."
"10",9,"Zhang Eddy","IN Chinese, old Chinese. "
"17",16,"Emre Poyraz","I think some of the reviews to this book are unfair. They claim that there is everything in this book is common knowledge. I do not think that this is the case. And thinking, as a small business owner myself, applying this book to modern busines (or,to modern world) in not as simple as ""use deception when you can"". There is much much more to it,disguised by the simple writing style of this book. The important thing is, this is not a book to be browsed through, it should to carefully read in entirety to get a good idea."
"18",17,"Supe","A must read...would absolutely recommend it to anyone for understanding the nature of conflict."
"22",21,"David Mills","The kind of slow-cooker writing that can only be produced from centuries of people sitting around reviewing, refining,, and recycling common sense. I have faith that if the Hoosier state, once world supplier of pragmatism, survives the current right-wing ideological plague and finally learns to distinguish between ""niceness"" and collective passive-aggression, why in a few centuries you'll be able to saunter into any IHOP and overhear a nearby booth of codgers as they hash over the fate of the soybeans, the dismal status of the American League's Central Division, or the weather, sound as with the pithy and plain as Sun Tzu. Lord, hasten the day. In the meantime I'll keep this most excellent book handy. It's one I plan on reading frequently."
"25",24,"Lazone Grays Jr","Required reading for leadership development"
"26",25,"THATCHER  HICKMAN SMITH","BEST BOOK EVER WRITTEN BY MAN"
"27",26,"André","I'm always reading and re-reading it. It provides insight for a lot of things in life, not ""just"" war. It can be applied to economics, house chores and more! xD"
"28",27,"Sandy","I registered a book at BookCrossing.com!http://www.BookCrossing.com/journal/13070044"
