,user,review
0,Susan Becraft,"A delicious psychological thriller!I had considered Gone Girl to be at the pinnacle of my favorite genre - the psychological thriller. The Girl on the Train sits beside Gillian Flynn's page-turner, in my opinion. I foolishly began reading Paula Hawkins' book before going to sleep and could not stop until I reached the last page. As was true with Gone Girl, The Girl on the Train must be read carefully, and the reader must pay close attention to details, including the dates embedded in each chapter.The story is told by three women. Rachel, whose life has pretty much bottomed out, rides a train to London every day to fool her flatmate into thinking she has a job. She entertains herself by looking into houses along the tracks and becomes almost obsessed with a couple she sees daily. In Rachel's mind, they are the golden couple and the object of her envy. She even gives them names.Anna, whose house is close to that of the golden couple, is the wife of Rachel's ex-husband, Tom. They have a young daughter, Evie. The affair, which ended Rachel's marriage, was devastating to her, but the most hurtful thing was Anna's pregnancy. Rachel had desperately wanted a child, but the only round of IVF that she and Tom could afford failed and the marriage with it. Megan, the golden wife, lives with her husband, Scott, in another house along the railroad tracks. Rachel is so enthralled by the couple that she fabricates stories about what she considers to be their perfect life. This all charges when she sees Megan kissing another man from the train window.Rachel's already turbulent life takes another nosedive when Megan goes missing. Determined to help the police find her, Rachel is brought into contact with her detractors, Anna, Tom and Scott. Because of her alcoholism, she is treated as a pariah by them and as an unreliable witness by the police. Even she distrusts her faulty memory.The story has countless twists and turns, which demand the reader's complete attention. The characters are beautifully developed as the complex people they are. Just when I thought I had a handle on them, I discovered a new nugget, which completely changed them. As is true in all well-written books of this genre, no one is what he or she seems on the surface. The writing flows effortlessly, gradually building to a climax.I highly recommend The Girl on the Train to fans of books like Gone Girl. Just don't make my mistake and start reading at 11:00 pm because you will most likely lose a night's sleep!"
1,Jordynn Prado,"True to its reviews, this book reads like Gillian Flynn's Gone Girl (and I think with a hint of All Fall Down by Jennifer Weiner). I was a bit slow to get in this story, but as soon as I did...wow! Hooked for sure, I had to know who dun it. Something that really drew me in was the authors ability to thoroughly manipulate the reader's emotions towards each of the characters at any point in the story. For instance, you feel manage to feel sorry for, disgusted and frustrated by, angry and annoyed with the protagonist, Rachel, and then you FINALLY realize (after a slow build. of course) why she is how she is. Oh boy, and then does that anger transfer or what! Finally, I'm not one for loose ends, so where GG left me frustrated, at least TGOTT gave me some, SOME, closure. "
2,Leah,"Thrilling and suspenseful from the very start; a real page-turner. I was seriously impressed by the author's impeccable management of timing and information, which kept me nervous and hooked right until the end. Great book!"
3,Carrie Waibel,"Fun read for a snowy afternoon. Good for fans of Gone Girl, especially those who found the first portion of Gone Girl kind of boring. All action all the time here!"
4,Joanne D'arcy,"This is the book that everyone is going to be talking about in 2015. It is building up a lot of interest. In my opinion rightly so - this debut book is going to make a long journey all of its own.Rachel gets on the 8.04 train to London, she has been doing it for so long she knows not just which stations it will stop at but all the signals along the way.At one of those signals, she can see into the gardens of some houses. She can see the residents. In fact Rachel has become so interested in one particular couple that she has given them names 'Jason and Jess' and created a whole story for them. Their life looks idyllic and obviously divorced Rachel is missing what she once had.But one day when the train stops at the same signal she sees something that does not fit in with this ideal life of these strangers. Suddenly the story she has created becomes a real nightmare. Rachel then gets involved with the real Jason and Jess, actually called Scott and Megan and it all becomes very close to home. Too close.Can you trust Rachel though? As we learn more about her we see her rely on alcohol. These details are like drip fed to us by the author, is it this why she is divorced? Is it something else? And if she is always recovering from a hangover can we really believe what Rachel says or in fact sees?Whilst we read Rachel's story throughout the book, it is alternated with two other female characters Megan and Anna. Which reality is correct, can we trust any of these characters and are any of their actions justifiable. You go through a number of emotions with these characters as you range from page to page with anger, sympathy and love.As the train continues to stop at that signal, the story keeps going. It has you wanting to know why, it questions what you see, what you hear and most of all what you believe. I liked this about the book, I enjoyed being taken through all the twists and turns and getting back to where I originally was. I am not sure if I guessed the resulting outcome or whether I did not want to acknowledge it and let the book take me on this wonderful journey. It kept the heart beating, the pages turning and reading late into the night. Excellent stuff.""I suppose that everyone does it - looks out at the houses they pass - only we all seem them differently. All saw them differently"".Next time you observe other people's lives remember this book..........."
5,Robert Shone,"Gripping, intense and utterly un-put-downable! "
6,Pam Otterback,5 stars for one wild ride and for being able to keep me guessing until the end.
7,Karen Hoskins,"Very, very suspenseful! Great read!"
8,Annette,"If you require characters that you can love, then The Girl on the Train is not the book for you. The characters are all pretty much despicable. And if you can't handle cheating, then stay away from this one. Other than that, The Girl on the Train is a great read.Rachel is The Girl on the Train. She rides the train to work every day, passing by the house she used to live in with her husband, Tom. He still lives there with his new wife, Anna, who he dumped Rachel for. And they have a new baby. Talk about painful. Rachel deals with this pain by drinking. A lot.Rachel becomes interested in a house just down the road from her old house where another young couple lives. She names them ""Jess and Jason."" And they seem to have the most perfect, loving relationship. ""Jess,"" whose real name is Megan, takes care of Anna's child. Megan does not have the perfect life, as Rachel thinks. Megan has lost the art gallery she used to run and now has nothing to do with her days except mope around.Rachel sees something shocking from the train and after someone disappears, she goes to the police with the information. But she's been drunk so many times, she can't even be sure of what she's telling the police, and they don't believe much of what she says.Hawkins weaves an intricate web around these five people. They become intertwined, unwillingly, in unexpected ways. These characters are awful. The more we learn about them, the more we loath. I get that they are unhappy for different reasons, in different ways. But jees. Do something for yourselves instead of complaining. I think the story takes a while to get going, but when I'm listening I tend to be more patient with a slow-building plot.I did suspect (not right away) who the bad person was (well, they were all bad, but I mean the perpetrator.) That didn't take away from the fascination I felt while watching this all play out. The Girl on the Train has been compared to Gone Girl, and while it did have the contemptible characters, it's a different story.If you are a fan of the twisted who-done-it, (as long as you can handle the characterizations and subject matter) then you should definitely pick up The Girl on the Train. Teens should like this one too."
9,Magdalena Sielska,"Really great book. Fascinating, engrossing and nail biting until the last page! Perfect weekend read although ending felt a little bit flat for me "
10,Yolanda Sfetsos,"I've had my eye on this book for a while, so I put it on hold at the library. Problem was, 60 other people did the same. LOL. But it was eventually my turn to borrow it.As soon as I started reading, I was hooked. I mean, how could I not be? The main narrator--Rachel--is still hung up on the husband who left her two years ago. She's also a hopeless drunk who just couldn't stay on track. Well, except for the train track, because she rode that every single day. Even though she'd lost her job MONTHS AGO.Then we meet Megan. A woman who is so bored with her life that lying and cheating becomes her thing. Not to mention that she has some seriously dark secrets.Oh, but there's more. Enter a woman called Anna, who is now married to Rachel's ex-husband. Actually, she was Tom's mistress for a while before he left Rachel. Anna's now a wife herself, and a mother, but she's more concerned about the picture-perfect family they look like from afar than what's really going on.The night Megan disappears, the lives of these three women intertwine. One was so blind drunk she can't remember what she saw and why she got hurt. The other starts getting paranoid. And of course, one of them is missing.I loved this book! It was deliciously messed up. The characters, the story, the conclusion... hell, even the locations are messed up because of these people. The writing is outstanding. It gripped me from the first word. Even though three women share the narration and all three are several degrees of fucked up, each POV felt/sounded different. The one thing they all share is how self-absorbed and unreliable they all are.This story is what makes me look forward to thrillers! When they're written well, man. This is a great example of a complicated, gripping and super dark story that surfaces from a very simple topic: sociopaths. ;)Great book!"
11,Ulla,"Wonderful, simply wonderful, even fascinating! I had the audio version, and the three narrator ladies were magnificent. And the characters were developed in a way, one had no idea, until the end, whom to like and whom to fear. And Rachel made it! Hope that's not a spoiler!"
12,Leslie Horn,this was a good and fast read
