"","CITY","STABBR","ZIP","LONGITUDE","LATITUDE","INSTNM","TUITFTE","INEXPFTE","AVGFACSAL","faminc","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","NPT4_PUB","NPT4_PRIV","HIGHDEG","PREDDEG","sch_deg","CONTROL","RELAFFIL","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","ADM_RATE_ALL","ADM_RATE","SATMT75","ACTMT75","UGDS","female","married","pct_white","pct_black","pct_asian","pct_hispanic","pct_born_us","poverty_rate","DEBT_MDN","GRAD_DEBT_MDN","CDR3"
"1","Normal","AL","35762",-86.5685,34.7834,"Alabama A & M University",9063,7459,7079,40211.22,"18888","NULL","7182","12774","NULL","13415","NULL",4,3,"3",1,"NULL","1","0","0","0","0","0","0","0.8989","0.8989","450","18","4051","0.52999997138977",0.02999999932944,46.8400001525878,"47.9799995422363","1.48000001907348","3.78999996185302","94.7399978637695","14.8800001144409",19500,"33611.5",16.3
"2","Birmingham","AL","35294-0110",-86.8092,33.5022,"University of Alabama at Birmingham",9033,17208,10170,49894.65,"19990","NULL","7206","16398","NULL","14805","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.8673","0.8673","650","26","11200","0.64999997615814",0.10999999940395,69.0199966430664,"27.7600002288818","1.10000002384185","2.02999997138977","96.5","10.9099998474121",16250,"23117",8
"3","Montgomery","AL","36117-3553",-86.174,32.3626,"Amridge University",12057,5123,3849,38712.18,"12300","NULL","6870","6870","NULL","NULL","7455",4,3,"3",2,"74","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","322","0.50999999046325",0.62000000476837,70.8799972534179,"22.5300006866455","1.28999996185302","6.94000005722046","94.0899963378906","10.6499996185302",10500,"26995",8.9
"4","Huntsville","AL","35899",-86.6384,34.7228,"University of Alabama in Huntsville",8322,9352,9341,54155.4,"20306","NULL","9192","21506","NULL","17520","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.8062","0.8062","650","28","5525","0.55000001192092",0.17000000178813,76.3799972534179,"18.9799995422363","1.41999995708465","2.54999995231628","95.2699966430664","9.36999988555908",16500,"24738",7.7
"5","Montgomery","AL","36104-0271",-86.2957,32.3643,"Alabama State University",7813,7393,6557,31846.99,"17400","NULL","8720","15656","NULL","11936","NULL",4,3,"3",1,"NULL","1","0","0","0","0","0","0","0.5125","0.5125","480","18","5354","0.56999999284744",0.02999999932944,42.6899986267089,"52.3199996948242","1.40999996662139","4.09000015258789","94.5299987792968","16.9599990844726",15854.5,"33452",19.1
"6","Tuscaloosa","AL","35487-0166",-87.5458,33.2144,"The University of Alabama",12198,9817,9605,74131.14,"26717","NULL","9450","23950","NULL","20916","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.5655","0.5655","640","28","28692","0.56000000238418",0.05000000074505,75.3499984741211,"21.0599994659423","1.20000004768371","2.41000008583068","96.0800018310547","10.0500001907348",17750,"24000",8.1
"7","Alexander City","AL","35010",-85.9465,32.9244,"Central Alabama Community College",2371,5935,5805,27315.85,"12103","NULL","4200","7500","NULL","6407","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1779","0.72000002861022",0.25,71.5100021362304,"26.8999996185302","0.2199999988079","1.00999999046325","98.8499984741211","13.5500001907348",7554,"PrivacySuppressed",26.3
"8","Athens","AL","35611",-86.9651,34.8056,"Athens State University",5094,6176,7672,40441.28,"NULL","NULL","NULL","NULL","NULL","NULL","NULL",3,3,"3",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","2999","0.72000002861022",0.46000000834465,83.8899993896484,"12.2600002288818","0.64999997615814","2.40000009536743","96.9599990844726","10.4399995803833",14000,"18832",9.4
"9","Montgomery","AL","36117-3596",-86.1774,32.3699,"Auburn University at Montgomery",7625,6817,7173,40107.7,"16556","NULL","8750","24950","NULL","11915","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.8371","0.8371","NULL","23","4322","0.68000000715255",0.14000000059604,59.9700012207031,"37.2099990844726","0.91000002622604","1.62000000476837","96.8499984741211","13",10750,"21791",13.1
"10","Auburn University","AL","36849",-85.4924,32.6002,"Auburn University",13186,11324,9429,88745.91,"23788","NULL","9852","26364","NULL","17541","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.8274","0.8274","650","28","19761","0.49000000953674",0.03999999910593,75.9000015258789,"19.7999992370605","1.64999997615814","2.89000010490417","94.9199981689453","9.59000015258789",18250,"22250",6.1
"11","Birmingham","AL","35254",-86.8536,33.5155,"Birmingham Southern College",11928,9990,7513,106237.94,"44512","NULL","30690","30690","NULL","NULL","22994",3,3,"3",2,"71","0","0","0","0","0","0","0","0.6422","0.6422","640","27","1181","0.56999999284744",0.00999999977648,78.9000015258789,"17.4099998474121","1.38999998569488","2.46000003814697","95.6900024414062","7.90999984741211",21500,"27000",9.9
"12","Phenix City","AL","36869",-85.0315,32.4239,"Chattahoochee Valley Community College",2056,4459,5749,26080.04,"6800","NULL","4260","7590","NULL","1873","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1769","0.70999997854232",0.20000000298023,57.5299987792968,"38.6800003051757","0.85000002384185","2.85999989509582","94.8799972534179","13.6899995803833",4569,"7000",14.9
"13","Selma","AL","36701",-87.0242,32.4223,"Concordia College Alabama",6023,6652,5720,17535.24,"17655","NULL","8090","8090","NULL","NULL","12686",3,3,"3",2,"68","1","0","0","0","0","0","0","NULL","NULL","NULL","NULL","523","0.37000000476837",0.05000000074505,39.2099990844726,"58.5","0.56000000238418","1.62000000476837","97.7799987792969","21.6599998474121",8050,"26500",27.9
"14","Montgomery","AL","36116",-86.2165,32.3427,"South University-Montgomery",14726,4728,4566,42169.58,"28525","NULL","16360","16360","NULL","NULL","23152",4,2,"3",3,"NULL","0","0","0","0","0","0","0","0.4829","0.4366","NULL","NULL","599","0.79000002145767",0.37000000476837,65.2200012207031,"28.5599994659423","1.74000000953674","6.6100001335144","91.0699996948242","10.6999998092651",9500,"27167",23.1
"15","Enterprise","AL","36330-1300",-85.837,31.2975,"Enterprise State Community College",2129,5930,6257,27318.59,"10193","NULL","3780","6888","NULL","5048","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1984","0.52999997138977",0.25,74.0800018310547,"21.0499992370605","1.20000004768371","3.25999999046325","94.8000030517578","13.1599998474121",6000,"11073",25
"16","Bay Minette","AL","36507-2698",-87.7798,30.852,"James H Faulkner State Community College",2187,4101,6116,37506.3,"11921","NULL","4200","7530","NULL","7404","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","4182","0.68999999761581",0.17000000178813,76.1699981689453,"20.2999992370605","0.76999998092651","1.55999994277954","97.3300018310547","11.0500001907348",5500,"9153",16.2
"17","Montgomery","AL","36109-3378",-86.2164,32.3842,"Faulkner University",10997,5382,6657,41904.64,"28485","NULL","18230","18230","NULL","NULL","17660",4,3,"3",2,"74","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","2358","0.68999999761581",0.28000000119209,64.8799972534179,"31.8899993896484","1.04999995231628","1.80999994277954","96.5899963378906","12.3100004196167",18750,"23750",12
"18","Gadsden","AL","35903",-85.9913,33.9919,"Gadsden State Community College",1643,5876,5950,18764.16,"10247","NULL","3900","7230","NULL","4565","NULL",2,2,"2",1,"NULL","1","0","0","0","0","0","0","NULL","NULL","NULL","NULL","5480","0.70999997854232",0.25,80.3899993896484,"16.829999923706","0.44999998807907","2.17000007629394","97.4700012207031","12.3800001144409",333,"NULL",28.5
"19","Albertville","AL","35951",-86.2,34.2593,"New Beginning College of Cosmetology",1624,1764,NA,NA,"NULL","13482","NULL","NULL","9150","NULL","9476",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","89","NULL",NA,NA,"NULL","NULL","NULL","NULL","NULL",7901,"9490",0
"20","Dothan","AL","36303-9234",-85.4636,31.3161,"George C Wallace State Community College-Dothan",1927,5296,5544,18035.9,"8140","NULL","3900","7230","NULL","2681","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","4293","0.75",0.2199999988079,69.3300018310547,"27.7600002288818","0.57999998331069","1.91999995708465","97.1399993896484","14.3999996185302",NA,"PrivacySuppressed",0
"21","Hanceville","AL","35077-2000",-86.7817,34.0734,"George C Wallace State Community College-Hanceville",2707,5289,5843,33184.58,"10822","NULL","4200","7530","NULL","6628","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","4904","0.66000002622604",0.31000000238418,90.5699996948242,"6.61999988555908","0.31999999284744","2.54999995231628","97.4899978637695","9.69999980926513",8250,"11330",21.3
"22","Selma","AL","36703-2808",-87.0132,32.4456,"George C Wallace State Community College-Selma",1312,5581,5809,13685.85,"14835","NULL","3900","7230","NULL","8712","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1604","0.69999998807907",0.14000000059604,43.1500015258789,"55.3199996948242","0.33000001311302","1.11000001430511","98.6800003051758","24.1200008392334",NA,"PrivacySuppressed",0
"23","Birmingham","AL","35209",-86.8323,33.4681,"Herzing University-Birmingham",8048,6942,5645,27630.62,"26656","NULL","11150","11150","NULL","NULL","22518",3,1,"2",3,"NULL","0","0","0","0","0","0","0","0.749","0.7234","NULL","NULL","318","0.56999999284744",0.23999999463558,50.3800010681152,"47.1599998474121","0.70999997854232","1.67999994754791","97.3899993896484","15.0100002288818",12000,"22822",16.9
"24","Montgomery","AL","36106-2148",-86.2853,32.3509,"Huntingdon College",9074,6571,6027,63952.76,"31433","NULL","23500","23500","NULL","NULL","17864",3,3,"3",2,"71","0","0","0","0","0","0","0","0.6279","0.6279","540","23","1100","0.5",0.11999999731779,73.1999969482422,"23.6700000762939","0.93000000715255","1.90999996662139","96.6600036621094","10.6099996566772",16850,"27000",10.5
"25","Florence","AL","35630-9977",-87.6621,34.8591,"Heritage Christian University",10138,9356,5512,32348.1,"21160","NULL","9792","9792","NULL","NULL","9346",4,3,"3",2,"74","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","67","0.27000001072883",0.43000000715255,80.4800033569336,"15.039999961853","0.81000000238418","4.3600001335144","95.870002746582","10.6400003433227",NA,"PrivacySuppressed",13.3
"26","Huntsville","AL","35811",-86.5738,34.7721,"J F Drake State Community and Technical College",1348,5498,6947,15507.38,"12217","NULL","3336","6000","NULL","7163","NULL",2,1,"1",1,"NULL","1","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1040","0.60000002384185",0.20999999344348,61.9900016784668,"33.2900009155273","1.29999995231628","2.1800000667572","94.8199996948242","11.8199996948242",NA,"NULL",0
"27","Jacksonville","AL","36265",-85.7666,33.8221,"Jacksonville State University",6192,6949,6857,47062.65,"19202","NULL","7092","13884","NULL","16078","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.8326","0.8326","540","24","7195","0.57999998331069",0.15000000596046,76.9599990844726,"19.7000007629394","0.6700000166893","2.66000008583068","96.6900024414062","11.4499998092651",16500,"23500",11.3
"28","Brewton","AL","36426",-87.0858,31.102,"Jefferson Davis Community College",1084,5655,5636,18580.6,"9149","NULL","3908","7238","NULL","3796","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1037","0.69999998807907",0.23000000417232,66.8799972534179,"28.9599990844726","0.43000000715255","1.22000002861022","98.4599990844726","15.6999998092651",2000,"NULL",0
"29","Birmingham","AL","35215-3098",-86.7074,33.6524,"Jefferson State Community College",2670,4576,6079,33078.37,"12943","NULL","4260","7590","NULL","8799","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","7494","0.73000001907348",0.20000000298023,70.6399993896484,"26.6900005340576","0.80000001192092","1.80999994277954","97.1900024414062","9.77999973297119",5057,"10000",16.6
"30","Tanner","AL","35671",-86.9491,34.6543,"John C Calhoun State Community College",2985,3720,6083,33714.57,"9829","NULL","4140","7410","NULL","5278","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","9970","0.66000002622604",0.25,75.8499984741211,"19.3700008392334","1.14999997615814","2.54999995231628","95.7300033569336","10.1400003433227",5500,"9940",23.4
"31","Marion","AL","36756",-87.3161,32.6305,"Judson College",7626,9293,5638,49479.42,"27815","NULL","15630","15630","NULL","NULL","17243",3,3,"3",2,"54","0","0","0","0","0","0","0","0.7388","0.7388","600","23","331","0.97000002861022",0.15999999642372,72.3000030517578,"24.6399993896484","0.56999999284744","2.70000004768371","97.0500030517578","14.2100000381469",14250,"26000",11.7
"32","Birmingham","AL","35221-1717",-86.8902,33.4517,"Lawson State Community College-Birmingham Campus",1576,5705,6005,16636.97,"12602","NULL","4230","7590","NULL","7406","NULL",2,1,"1",1,"NULL","1","0","0","0","0","0","0","NULL","NULL","NULL","NULL","2894","0.69999998807907",0.10000000149011,33.5200004577636,"64.4899978637695","0.47999998927116","1.37999999523162","98.0100021362304","18.75",NA,"NULL",0
"33","Livingston","AL","35470",-88.1861,32.5924,"University of West Alabama",9161,8898,6408,37752.64,"17959","NULL","7660","14170","NULL","13221","NULL",4,3,"3",1,"NULL","0","1","0","0","0","0","0","0.9957","0.9957","NULL","22","1988","0.56999999284744",0.11999999731779,55.4900016784668,"42.4799995422363","0.40000000596046","1.71000003814697","98.0199966430664","19.4699993133544",13500,"22500",9.6
"34","Andalusia","AL","36420-1418",-86.4523,31.3229,"Lurleen B Wallace Community College",1757,5904,5629,21222.83,"13204","NULL","4170","7500","NULL","8041","NULL",2,1,"1",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1372","0.6700000166893",0.25999999046325,74.4499969482422,"23.579999923706","0.28999999165534","1.17999994754791","98.3499984741211","16.4099998474121",NA,"NULL",0
"35","Marion","AL","36756-3207",-87.318,32.6224,"Marion Military Institute",2443,6128,5909,59734.02,"16520","NULL","8570","14570","NULL","11013","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","0.6034","0.6034","600","26","411","0.12999999523162",0,72.2699966430664,"21.4200000762939","1.62000000476837","7.42999982833862","92.75","11.2700004577636",5500,"11500",22
"36","Fairfield","AL","35064-2621",-86.9086,33.4813,"Miles College",5101,4921,4026,27816.45,"21336","NULL","11454","11454","NULL","NULL","15217",3,3,"3",2,"55","1","0","0","0","0","0","0","NULL","NULL","NULL","NULL","1663","0.50999999046325",0.02999999932944,35.8800010681152,"60.7200012207031","0.93999999761581","2.81999993324279","96.0999984741211","18.1900005340576",12908.5,"36569",22.1
"37","Mobile","AL","36613-2842",-88.1289,30.7932,"University of Mobile",10339,6715,5024,51471.07,"30108","NULL","18690","18690","NULL","NULL","17970",4,3,"3",2,"75","0","0","0","0","0","0","0","0.7125","0.7125","680","24","1472","0.68000000715255",0.20999999344348,71.0400009155273,"25.1000003814697","1.02999997138977","2.31999993324279","96.8199996948242","12.4899997711181",22500,"27000",3.5
