"","CITY","STABBR","ZIP","LONGITUDE","LATITUDE","INSTNM","TUITFTE","INEXPFTE","AVGFACSAL","faminc","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITIONFEE_PROG","NPT4_PUB","NPT4_PRIV","HIGHDEG","PREDDEG","sch_deg","CONTROL","RELAFFIL","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","ADM_RATE_ALL","ADM_RATE","SATMT75","ACTMT75","UGDS","female","married","pct_white","pct_black","pct_asian","pct_hispanic","pct_born_us","poverty_rate","DEBT_MDN","GRAD_DEBT_MDN","CDR3"
"13","Selma","AL","36701",-87.0242,32.4223,"Concordia College Alabama","6023","6652","5720",609,"17655","NULL","8090","8090","NULL","NULL","12686",3,3,"3",2,"68","1","0","0","0","0","0","0","NULL","NULL","NULL","NULL","523","0.37000000476837","0.05000000074505","39.2099990844726","58.5","0.56000000238418","1.62000000476837","97.7799987792969","21.6599998474121","8050","26500","27.9"
"4792","Mobile","AL","36609",-88.145,30.6711,"Remington College-Mobile Campus","9153","4290","3389",592,"27758","NULL","15995","15995","NULL","NULL","23403",2,1,"3",2,"NULL","0","0","0","0","0","0","0","0.7805","0.8588","NULL","NULL","472","0.82999998331069","0.20999999344348","51.1899986267089","44.9700012207031","1.05999994277954","2.52999997138977","96.4499969482422","15.4499998092651","9500","9500","9.5"
"32","Birmingham","AL","35221-1717",-86.8902,33.4517,"Lawson State Community College-Birmingham Campus","1576","5705","6005",510,"12602","NULL","4230","7590","NULL","7406","NULL",2,1,"1",1,"NULL","1","0","0","0","0","0","0","NULL","NULL","NULL","NULL","2894","0.69999998807907","0.10000000149011","33.5200004577636","64.4899978637695","0.47999998927116","1.37999999523162","98.0100021362304","18.75","PrivacySuppressed","NULL","0"
"16","Bay Minette","AL","36507-2698",-87.7798,30.852,"James H Faulkner State Community College","2187","4101","6116",2544,"11921","NULL","4200","7530","NULL","7404","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","4182","0.68999999761581","0.17000000178813","76.1699981689453","20.2999992370605","0.76999998092651","1.55999994277954","97.3300018310547","11.0500001907348","5500","9153","16.2"
"46","Mobile","AL","36603-5898",-88.057,30.694,"Bishop State Community College","1692","5734","6173",396,"10059","NULL","4200","7530","NULL","5145","NULL",2,2,"2",1,"NULL","1","0","0","0","0","0","0","NULL","NULL","NULL","NULL","3363","0.66000002622604","0.17000000178813","50.0699996948242","46.3800010681152","1.07000005245208","1.25","97.5","19.8500003814697","PrivacySuppressed","NULL","0"
"9","Montgomery","AL","36117-3596",-86.1774,32.3699,"Auburn University at Montgomery","7625","6817","7173",2731,"16556","NULL","8750","24950","NULL","11915","NULL",4,3,"3",1,"NULL","0","0","0","0","0","0","0","0.8371","0.8371","NULL","23","4322","0.68000000715255","0.14000000059604","59.9700012207031","37.2099990844726","0.91000002622604","1.62000000476837","96.8499984741211","13","10750","21791","13.1"
"5","Montgomery","AL","36104-0271",-86.2957,32.3643,"Alabama State University","7813","7393","6557",2070,"17400","NULL","8720","15656","NULL","11936","NULL",4,3,"3",1,"NULL","1","0","0","0","0","0","0","0.5125","0.5125","480","18","5354","0.56999999284744","0.02999999932944","42.6899986267089","52.3199996948242","1.40999996662139","4.09000015258789","94.5299987792968","16.9599990844726","15854.5","33452","19.1"
"39","Muscle Shoals","AL","35661",-87.6773,34.7396,"Northwest-Shoals Community College","1338","5013","6055",1824,"9111","NULL","4140","7470","NULL","4678","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","3235","0.63999998569488","0.23999999463558","85.7900009155273","11.1599998474121","0.28000000119209","2.23000001907348","97.9499969482422","12.1800003051757","5500","11500","26.5"
"7308","Montgomery","AL","36111-2201",-86.2569,32.3377,"Hair Academy","5974","685","NULL",4849,"NULL","13072","NULL","NULL","11100","NULL","10403",1,1,"1",3,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","13","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"29","Birmingham","AL","35215-3098",-86.7074,33.6524,"Jefferson State Community College","2670","4576","6079",2172,"12943","NULL","4260","7590","NULL","8799","NULL",2,2,"2",1,"NULL","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","7494","0.73000001907348","0.20000000298023","70.6399993896484","26.6900005340576","0.80000001192092","1.80999994277954","97.1900024414062","9.77999973297119","5057","10000","16.6"
